placename,aint,arent,ent,innit,int,isnt,longitude,latitude
Fishguard,0.12512501,0.0026669630,0.0000000000,0.09101011,0.0006667407,0.7805312, -4.9759890,51.99393
Inchnadamph,0.07422680,0.0000000000,0.0000000000,0.08164948,0.0074226804,0.8367010, -4.9742950,58.15221
Haverfordwest,0.14612398,0.0034517474,0.0000000000,0.09621746,0.0008629369,0.7533439, -4.9713190,51.80047
Dunoon,0.10601915,0.0000000000,0.0000000000,0.15458276,0.0729594163,0.6664387, -4.9262140,55.95097
Pembroke,0.14728792,0.0016994760,0.0000000000,0.09644526,0.0008497380,0.7537176, -4.9086370,51.67404
Girvan,0.07179728,0.0000000000,0.0000000000,0.18582825,0.1069920225,0.6353824, -4.8542179,55.24016
Wadebridge,0.10052276,0.0000000000,0.0000000000,0.10498802,0.0000000000,0.7944892, -4.8364560,50.51665
Invergarry,0.07162162,0.0000000000,0.0000000000,0.08581081,0.0081081081,0.8344595, -4.8002610,57.07095
St Austell,0.10233018,0.0000000000,0.0000000000,0.10749615,0.0000000000,0.7901737, -4.7834252,50.34038
Greenock,0.10377821,0.0000000000,0.0000000000,0.15750736,0.0667320903,0.6719823, -4.7719830,55.95648
Helensburgh,0.10454770,0.0000000000,0.0000000000,0.15719229,0.0672268908,0.6710331, -4.7340140,56.00232
Bodmin,0.10376542,0.0000000000,0.0000000000,0.10300801,0.0000000000,0.7932266, -4.7188629,50.47150
Tenby,0.15743280,0.0016456391,0.0000000000,0.09585848,0.0008228195,0.7442403, -4.7035790,51.67274
Camelford,0.10583371,0.0000000000,0.0000000000,0.09700492,0.0000000000,0.7971614, -4.6823640,50.62206
Irvine,0.07896764,0.0000000000,0.0000000000,0.16910632,0.1001540832,0.6517720, -4.6696364,55.61157
Cardigan,0.09761709,0.0019720624,0.0000000000,0.08726376,0.0009860312,0.8121611, -4.6608640,52.08370
Holyhead,0.05965909,0.0017045455,0.0000000000,0.12926136,0.0017045455,0.8076705, -4.6330380,53.30944
Ayr,0.07103594,0.0000000000,0.0000000000,0.16744186,0.1090909091,0.6524313, -4.6291790,55.45856
Dumbarton,0.08366660,0.0008419280,0.0000000000,0.18275100,0.0520416754,0.6806988, -4.5645540,55.94529
Bude,0.11154709,0.0000000000,0.0013452915,0.10605381,0.0020179372,0.7790359, -4.5436780,50.82664
Isle of Man,0.08386597,0.0023242301,0.0000000000,0.06643424,0.0046484602,0.8427271, -4.5126331,54.27697
Kilmarnock,0.07619382,0.0000000000,0.0000000000,0.16362360,0.0997191011,0.6604635, -4.4987920,55.61472
Newton Stewart,0.08117017,0.0024721879,0.0000000000,0.14544705,0.0824062629,0.6885043, -4.4831640,54.96030
Liskeard,0.10480596,0.0000000000,0.0000000000,0.10063177,0.0000000000,0.7945623, -4.4647190,50.45552
Altnaharra,0.06469345,0.0000000000,0.0000000000,0.08372093,0.0076109937,0.8439746, -4.4426550,58.28023
Pwllheli,0.06479956,0.0010982976,0.0000000000,0.09372140,0.0010982976,0.8392824, -4.4176339,52.88882
Lairg,0.07014614,0.0000000000,0.0000000000,0.08517745,0.0075156576,0.8371608, -4.4024140,58.02206
Launceston,0.13038585,0.0000000000,0.0000000000,0.11093248,0.0000000000,0.7586817, -4.3604516,50.63683
Carmarthen,0.15138953,0.0036849378,0.0000000000,0.09596192,0.0009212345,0.7480424, -4.3121310,51.85762
Llangefni,0.05558675,0.0016844469,0.0000000000,0.12942167,0.0016844469,0.8116227, -4.3114020,53.25579
Caernarfon,0.06031934,0.0017740982,0.0000000000,0.12034299,0.0017740982,0.8157895, -4.2739110,53.13955
Cumnock,0.08348794,0.0000000000,0.0000000000,0.14304267,0.1012987013,0.6721707, -4.2658289,55.45355
Aberaeron,0.08885851,0.0027341080,0.0000000000,0.08976988,0.0013670540,0.8172704, -4.2581619,52.24279
Alness,0.07652451,0.0000000000,0.0000000000,0.08728577,0.0071741730,0.8290155, -4.2568250,57.69595
Glasgow,0.08078141,0.0008447730,0.0000000000,0.17940866,0.0496832101,0.6892819, -4.2518060,55.86424
Dalwhinnie,0.08997955,0.0000000000,0.0000000000,0.08793456,0.0000000000,0.8220859, -4.2427830,56.93660
Inverness,0.07429963,0.0000000000,0.0000000000,0.09622412,0.0073081608,0.8221681, -4.2247210,57.47777
Saltash,0.11835069,0.0000000000,0.0000000000,0.11652125,0.0000000000,0.7651281, -4.2164300,50.40921
Bideford,0.07471764,0.0000000000,0.0013032146,0.09394005,0.0019548219,0.8280843, -4.2066660,51.01668
Invergordon,0.07544204,0.0000000000,0.0000000000,0.08840864,0.0070726916,0.8290766, -4.1728820,57.68811
Llanelli,0.16272272,0.0033407572,0.0000000000,0.10231069,0.0008351893,0.7307906, -4.1602480,51.68089
Plymouth,0.11933775,0.0000000000,0.0000000000,0.11761589,0.0000000000,0.7630464, -4.1426565,50.37546
Tavistock,0.11637805,0.0000000000,0.0000000000,0.11447021,0.0000000000,0.7691517, -4.1416540,50.55112
Porthmadog,0.06610499,0.0019442644,0.0000000000,0.12605314,0.0019442644,0.8039533, -4.1333840,52.92784
Bangor,0.05885559,0.0016348774,0.0000000000,0.13215259,0.0016348774,0.8057221, -4.1292630,53.22739
Tywyn,0.08311931,0.0000000000,0.0000000000,0.07424702,0.0000000000,0.8426337, -4.0872490,52.58701
Aberystwyth,0.08400275,0.0027541887,0.0000000000,0.07849438,0.0013770943,0.8333716, -4.0829200,52.41530
Lampeter,0.08135194,0.0023580271,0.0000000000,0.08547848,0.0011790136,0.8296325, -4.0785090,52.11290
Barnstaple,0.07968397,0.0000000000,0.0013544018,0.09085779,0.0020316027,0.8260722, -4.0583380,51.07816
Tain,0.07296311,0.0000000000,0.0000000000,0.08633968,0.0072963113,0.8334009, -4.0552300,57.81150
Okehampton,0.08043654,0.0000000000,0.0012126112,0.09407842,0.0018189167,0.8224535, -4.0042630,50.73831
Llandeilo,0.15834919,0.0035123665,0.0000000000,0.10229767,0.0008780916,0.7349627, -3.9914300,51.88469
Motherwell,0.08162202,0.0008339414,0.0000000000,0.17632649,0.0539455853,0.6872720, -3.9810968,55.78321
Golspie,0.06398390,0.0000000000,0.0000000000,0.08571429,0.0072434608,0.8430584, -3.9760860,57.97341
Airdrie,0.09514626,0.0019286403,0.0000000000,0.16120219,0.0675024108,0.6742205, -3.9625660,55.86627
Swansea,0.17179200,0.0016773833,0.0000000000,0.10357842,0.0000000000,0.7229522, -3.9436460,51.62144
Stirling,0.10259881,0.0000000000,0.0000000000,0.10341094,0.0146182999,0.7793720, -3.9369029,56.11652
Tregaron,0.08526957,0.0027069704,0.0000000000,0.07850214,0.0013534852,0.8321678, -3.9343850,52.22000
Tregaron,0.08526957,0.0027069704,0.0000000000,0.07850214,0.0013534852,0.8321678, -3.9343850,52.22000
Castle Douglas,0.07711738,0.0035661218,0.0000000000,0.10297177,0.0433878158,0.7729569, -3.9314140,54.94042
Dolgellau,0.07881317,0.0000000000,0.0000000000,0.07510431,0.0000000000,0.8460825, -3.8844000,52.74215
