placename,needs to be Xed,needs Xed,needs Xing,longitude,latitude
Grantown-on-Spey,0.6487069,0.25862069,0.09267241, -3.6096280,57.33041
Dumfries,0.4608348,0.36477987,0.17438536, -3.6051200,55.07086
Whitehaven,0.5100671,0.26277749,0.22715539, -3.5892330,54.54970
Dartmouth,0.7033957,0.12612613,0.17047817, -3.5788070,50.35252
Bridgend,0.7110862,0.15789474,0.13101904, -3.5769450,51.50429
Paignton,0.7083043,0.12421493,0.16748081, -3.5642350,50.43508
Workington,0.5122616,0.27738420,0.21035422, -3.5427520,54.64357
Llanidloes,0.7653543,0.09842520,0.13622047, -3.5401950,52.44779
Exeter,0.7072037,0.13632843,0.15646785, -3.5338990,50.71841
Torquay,0.7083043,0.12421493,0.16748081, -3.5253150,50.46192
Thurso,0.6591656,0.24070796,0.10012642, -3.5220800,58.59357
Livingston,0.5443122,0.35780423,0.09788360, -3.5180680,55.90071
Rhyl,0.5899085,0.09027950,0.31981202, -3.4916340,53.31914
Tiverton,0.6809282,0.14793328,0.17113851, -3.4912070,50.90205
Tiverton,0.6809282,0.14793328,0.17113851, -3.4912070,50.90205
Minehead,0.7483255,0.13211654,0.11955794, -3.4811520,51.20428
Dunfermline,0.5392992,0.38304924,0.07765152, -3.4521510,56.07174
Perth,0.5104651,0.40000000,0.08953488, -3.4308381,56.39499
Prestatyn,0.5916955,0.09021256,0.31809194, -3.4076130,53.33651
Builth Wells,0.7320442,0.12154696,0.14640884, -3.4045920,52.15002
Braemar,0.6217201,0.29081633,0.08746356, -3.3979439,57.00647
Brecon,0.7642276,0.14227642,0.09349593, -3.3914630,51.94895
Merthyr Tydfil,0.7690972,0.12673611,0.10416667, -3.3816460,51.74873
Llandrindod Wells,0.7434555,0.10732984,0.14921466, -3.3777420,52.24170
Corwen,0.6847426,0.10294118,0.21231618, -3.3692420,52.98005
Cockermouth,0.5076004,0.27633008,0.21606949, -3.3679850,54.66326
Lockerbie,0.4824766,0.35163551,0.16588785, -3.3490080,55.12224
Blairgowrie,0.5457336,0.37200737,0.08225905, -3.3378318,56.58941
Elgin,0.6636760,0.24096386,0.09536016, -3.3184850,57.64945
Newtown,0.7029215,0.10982049,0.18725801, -3.3131060,52.51211
Ruthin,0.6372549,0.09663866,0.26610644, -3.3103108,53.11487
Ruthin,0.6372549,0.09663866,0.26610644, -3.3103108,53.11487
Sidmouth,0.6835128,0.14581607,0.17067109, -3.2375600,50.67865
Barrow-in-Furness,0.5857581,0.07089197,0.34334991, -3.2188940,54.10897
Peebles,0.6154739,0.28523733,0.09928872, -3.1936420,55.65307
Edinburgh,0.5967019,0.30811515,0.09518299, -3.1882670,55.95325
Cardiff,0.7700071,0.11951133,0.11048159, -3.1790900,51.48158
Llangollen,0.7131086,0.10112360,0.18576779, -3.1716600,52.96921
Kirkcaldy,0.5827494,0.32551917,0.09173143, -3.1581370,56.11682
Welshpool,0.6879819,0.10612245,0.20589569, -3.1464070,52.66035
Mold,0.6178385,0.11523438,0.26692708, -3.1419030,53.16720
Mold,0.6178385,0.11523438,0.26692708, -3.1419030,53.16720
Taunton,0.7105045,0.14888337,0.14061208, -3.1068490,51.01534
Wick,0.6566524,0.24337289,0.09997475, -3.0937160,58.43894
John o' Groats,0.6566524,0.24337289,0.09997475, -3.0688997,58.63734
Dalkeith,0.6080289,0.29093369,0.10103744, -3.0666060,55.89312
Oswestry,0.6883298,0.09853249,0.21313767, -3.0564120,52.85715
Blackpool,0.6017207,0.06138528,0.33689400, -3.0356748,53.81751
Birkenhead,0.5731552,0.09054283,0.33630195, -3.0230090,53.38999
Cupar,0.5430939,0.36850829,0.08839779, -3.0101370,56.32023
Southport,0.6309347,0.05081602,0.31824926, -3.0101130,53.64571
Bridgwater,0.7197943,0.12596401,0.15424165, -3.0036320,51.12789
Langholm,0.5051487,0.32208238,0.17276888, -2.9989130,55.15306
Newport,0.7652223,0.11374673,0.12103100, -2.9976640,51.58415
Axminster,0.6999176,0.14344600,0.15663644, -2.9949370,50.78273
Wrexham,0.6334552,0.11365021,0.25289458, -2.9924940,53.04304
Liverpool,0.5683376,0.08976007,0.34190231, -2.9915726,53.40837
Weston-super-Mare,0.7577831,0.11905576,0.12316114, -2.9772550,51.34741
