placename,control,doubled,longitude,latitude
Barnstaple,0.9841270,0.0158730159, -4.0583380,51.07816
Tain,0.9890311,0.0109689214, -4.0552300,57.81150
Okehampton,0.9844156,0.0155844156, -4.0042630,50.73831
Llandeilo,0.9886055,0.0113944655, -3.9914300,51.88469
Motherwell,0.9932710,0.0067289720, -3.9810968,55.78321
Golspie,0.9893238,0.0106761566, -3.9760860,57.97341
Airdrie,0.9897401,0.0102599179, -3.9625660,55.86627
Swansea,0.9893671,0.0106329114, -3.9436460,51.62144
Stirling,0.9825581,0.0174418605, -3.9369029,56.11652
Tregaron,0.9892473,0.0107526882, -3.9343850,52.22000
Tregaron,0.9892473,0.0107526882, -3.9343850,52.22000
Castle Douglas,0.9888752,0.0111248455, -3.9314140,54.94042
Dolgellau,0.9813520,0.0186480186, -3.8844000,52.74215
Aberfeldy,0.9831081,0.0168918919, -3.8669690,56.62175
Machynlleth,0.9810298,0.0189701897, -3.8534850,52.59027
Brora,0.9845095,0.0154905336, -3.8525480,58.01216
Llandudno,0.9695122,0.0304878049, -3.8276090,53.32406
Llandudno,0.9695122,0.0304878049, -3.8276090,53.32406
Aviemore,0.9887640,0.0112359551, -3.8238120,57.19449
Dalbeattie,0.9840213,0.0159786951, -3.8225270,54.93422
Falkirk,0.9921977,0.0078023407, -3.7839131,56.00188
Kingsbridge,0.9830748,0.0169252468, -3.7774930,50.28395
Pitlochry,0.9839357,0.0160642570, -3.7297110,56.70436
Colwyn Bay,0.9696049,0.0303951368, -3.7276400,53.29318
Totnes,0.9830568,0.0169431698, -3.6857970,50.43374
Grantown-on-Spey,0.9801444,0.0198555957, -3.6096280,57.33041
Dumfries,0.9870597,0.0129403307, -3.6051200,55.07086
Whitehaven,0.9829104,0.0170895909, -3.5892330,54.54970
Dartmouth,0.9829848,0.0170152428, -3.5788070,50.35252
Bridgend,1.0000000,0.0000000000, -3.5769450,51.50429
Paignton,0.9830209,0.0169791298, -3.5642350,50.43508
Workington,0.9828035,0.0171964565, -3.5427520,54.64357
Llanidloes,0.9715517,0.0284482759, -3.5401950,52.44779
Exeter,0.9751675,0.0248324793, -3.5338990,50.71841
Torquay,0.9830926,0.0169073617, -3.5253150,50.46192
Thurso,0.9884488,0.0115511551, -3.5220800,58.59357
Livingston,0.9911177,0.0088823094, -3.5180680,55.90071
Rhyl,0.9660591,0.0339409177, -3.4916340,53.31914
Tiverton,0.9797980,0.0202020202, -3.4912070,50.90205
Tiverton,0.9797980,0.0202020202, -3.4912070,50.90205
Minehead,0.9893696,0.0106304295, -3.4811520,51.20428
Dunfermline,0.9907834,0.0092165899, -3.4521510,56.07174
Perth,0.9915612,0.0084388186, -3.4308381,56.39499
Prestatyn,0.9654124,0.0345876093, -3.4076130,53.33651
Builth Wells,0.9873016,0.0126984127, -3.4045920,52.15002
Braemar,0.9752538,0.0247461929, -3.3979439,57.00647
Brecon,0.9931973,0.0068027211, -3.3914630,51.94895
Merthyr Tydfil,0.9942029,0.0057971014, -3.3816460,51.74873
Llandrindod Wells,0.9874126,0.0125874126, -3.3777420,52.24170
Corwen,0.9751381,0.0248618785, -3.3692420,52.98005
Cockermouth,0.9827766,0.0172233820, -3.3679850,54.66326
Lockerbie,0.9804941,0.0195058518, -3.3490080,55.12224
Blairgowrie,0.9869707,0.0130293160, -3.3378318,56.58941
Elgin,0.9842382,0.0157618214, -3.3184850,57.64945
Newtown,0.9817518,0.0182481752, -3.3131060,52.51211
Ruthin,0.9857313,0.0142687277, -3.3103108,53.11487
Ruthin,0.9857313,0.0142687277, -3.3103108,53.11487
Sidmouth,0.9765085,0.0234914786, -3.2375600,50.67865
Barrow-in-Furness,0.9767862,0.0232138251, -3.2188940,54.10897
Peebles,0.9903589,0.0096411355, -3.1936420,55.65307
Edinburgh,0.9903423,0.0096576886, -3.1882670,55.95325
Cardiff,0.9935467,0.0064532748, -3.1790900,51.48158
Llangollen,0.9858824,0.0141176471, -3.1716600,52.96921
Kirkcaldy,0.9913203,0.0086797184, -3.1581370,56.11682
Welshpool,0.9814092,0.0185908161, -3.1464070,52.66035
Mold,0.9750808,0.0249192432, -3.1419030,53.16720
Mold,0.9750808,0.0249192432, -3.1419030,53.16720
Taunton,0.9776398,0.0223602484, -3.1068490,51.01534
Wick,0.9850498,0.0149501661, -3.0937160,58.43894
John o' Groats,0.9850498,0.0149501661, -3.0688997,58.63734
Dalkeith,0.9913381,0.0086618545, -3.0666060,55.89312
Oswestry,0.9863326,0.0136674260, -3.0564120,52.85715
Blackpool,0.9839339,0.0160661005, -3.0356748,53.81751
Birkenhead,0.9632038,0.0367961664, -3.0230090,53.38999
Cupar,0.9890661,0.0109339408, -3.0101370,56.32023
Southport,0.9771857,0.0228143308, -3.0101130,53.64571
Bridgwater,0.9887485,0.0112514734, -3.0036320,51.12789
Langholm,0.9870620,0.0129380054, -2.9989130,55.15306
Newport,0.9914341,0.0085658663, -2.9976640,51.58415
Axminster,0.9756494,0.0243506494, -2.9949370,50.78273
Wrexham,0.9834620,0.0165380375, -2.9924940,53.04304
Liverpool,0.9627060,0.0372940156, -2.9915726,53.40837
Weston-super-Mare,0.9930216,0.0069784100, -2.9772550,51.34741
Dundee,0.9884892,0.0115107914, -2.9707210,56.46202
Kirkwall,0.9850993,0.0149006623, -2.9622491,58.98467
Ambleside,0.9827445,0.0172555464, -2.9613330,54.42874
Orkney Islands,0.9850993,0.0149006623, -2.9605206,58.98094
Lyme Regis,0.9791209,0.0208791209, -2.9366390,50.72516
Carlisle,0.9836147,0.0163853029, -2.9329310,54.89247
Chester,0.9702655,0.0297345133, -2.8930750,53.19339
Forfar,0.9872611,0.0127388535, -2.8890620,56.64356
Morecambe,0.9853929,0.0146070698, -2.8649680,54.07417
Selkirk,0.9884244,0.0115755627, -2.8385240,55.55066
Galashiels,0.9900783,0.0099217286, -2.8144490,55.62373
Lancaster,0.9835680,0.0164320005, -2.8007399,54.04657
St Andrews,0.9887112,0.0112888053, -2.7967214,56.33978
Hawick,0.9871703,0.0128296507, -2.7809140,55.42706
Bridport,0.9814294,0.0185706246, -2.7583010,50.73358
Shrewsbury,0.9868396,0.0131603685, -2.7553268,52.70730
Penrith,0.9809579,0.0190421235, -2.7527080,54.66410
Kendal,0.9846939,0.0153061224, -2.7462900,54.32801
Street,0.9838032,0.0161967606, -2.7429190,51.12468
Glastonbury,0.9805195,0.0194805195, -2.7184540,51.14743
Hereford,0.9842105,0.0157894737, -2.7159740,52.05640
Ludlow,0.9895660,0.0104339761, -2.7139129,52.36775
Preston,0.9894416,0.0105584233, -2.7030900,53.76320
Whitchurch,0.9812377,0.0187623436, -2.6820450,52.96872
Wells,0.9883466,0.0116533865, -2.6445979,51.20935
Yeovil,0.9832027,0.0167973124, -2.6333080,50.94206
Wigan,0.9754939,0.0245060790, -2.6325074,53.54506
Warrington,0.9696268,0.0303731559, -2.5969501,53.39004
Arbroath,0.9884058,0.0115942029, -2.5915430,56.55911
Bristol,0.9876516,0.0123483536, -2.5879100,51.45451
Guernsey,0.9825243,0.0174757282, -2.5852780,49.46569
Ross-on-Wye,0.9896685,0.0103314679, -2.5824460,51.91445
