placename,preposition_drop_determiner,preposition_drop_no_determiner,preposition_retained,longitude,latitude
Llanelli,0.033520476,0.048546896,0.9179326, -4.1602480,51.68089
Plymouth,0.011556099,0.249098135,0.7393458, -4.1426565,50.37546
Tavistock,0.008840308,0.220093193,0.7710665, -4.1416540,50.55112
Porthmadog,0.060203767,0.048317382,0.8914789, -4.1333840,52.92784
Bangor,0.126875853,0.066166439,0.8069577, -4.1292630,53.22739
Tywyn,0.027364865,0.046283784,0.9263514, -4.0872490,52.58701
Aberystwyth,0.027698864,0.057173295,0.9151278, -4.0829200,52.41530
Lampeter,0.016858853,0.057984236,0.9251569, -4.0785090,52.11290
Barnstaple,0.011978683,0.140321713,0.8476996, -4.0583380,51.07816
Tain,0.009037382,0.015062303,0.9759003, -4.0552300,57.81150
Okehampton,0.009642572,0.197292105,0.7930653, -4.0042630,50.73831
Llandeilo,0.025878004,0.054108553,0.9200134, -3.9914300,51.88469
Motherwell,0.021909656,0.008926156,0.9691642, -3.9810968,55.78321
Golspie,0.008416220,0.016832441,0.9747513, -3.9760860,57.97341
Airdrie,0.023396880,0.009098787,0.9675043, -3.9625660,55.86627
Swansea,0.035197989,0.048397234,0.9164048, -3.9436460,51.62144
Stirling,0.008317930,0.016635860,0.9750462, -3.9369029,56.11652
Tregaron,0.025899281,0.055755396,0.9183453, -3.9343850,52.22000
Tregaron,0.025899281,0.055755396,0.9183453, -3.9343850,52.22000
Castle Douglas,0.060091444,0.056172436,0.8837361, -3.9314140,54.94042
Dolgellau,0.044002608,0.040743155,0.9152542, -3.8844000,52.74215
Aberfeldy,0.011355034,0.015897048,0.9727479, -3.8669690,56.62175
Machynlleth,0.040328603,0.046676624,0.9129948, -3.8534850,52.59027
Brora,0.008439898,0.016879795,0.9746803, -3.8525480,58.01216
Llandudno,0.282084271,0.041009971,0.6769058, -3.8276090,53.32406
Llandudno,0.282084271,0.041009971,0.6769058, -3.8276090,53.32406
Aviemore,0.006475350,0.009713024,0.9838116, -3.8238120,57.19449
Dalbeattie,0.062884484,0.060833903,0.8762816, -3.8225270,54.93422
Falkirk,0.007278609,0.008491710,0.9842297, -3.7839131,56.00188
Kingsbridge,0.008371824,0.219255196,0.7723730, -3.7774930,50.28395
Pitlochry,0.014655594,0.026380068,0.9589643, -3.7297110,56.70436
Colwyn Bay,0.296524846,0.041409549,0.6620656, -3.7276400,53.29318
