placename,after_perfective,after_perfective_with_modifier,control,longitude,latitude
Ruthin,0.0000000000,0.0000000000,1.0000000, -3.3103108,53.11487
Ruthin,0.0000000000,0.0000000000,1.0000000, -3.3103108,53.11487
Sidmouth,0.0000000000,0.0000000000,1.0000000, -3.2375600,50.67865
Barrow-in-Furness,0.0000000000,0.0000000000,1.0000000, -3.2188940,54.10897
Peebles,0.0084877635,0.0000000000,0.9915122, -3.1936420,55.65307
Edinburgh,0.0046959144,0.0002584907,0.9950456, -3.1882670,55.95325
Cardiff,0.0000000000,0.0000000000,1.0000000, -3.1790900,51.48158
Llangollen,0.0000000000,0.0000000000,1.0000000, -3.1716600,52.96921
Kirkcaldy,0.0049576534,0.0002478827,0.9947945, -3.1581370,56.11682
Welshpool,0.0000000000,0.0000000000,1.0000000, -3.1464070,52.66035
Mold,0.0000000000,0.0000000000,1.0000000, -3.1419030,53.16720
Mold,0.0000000000,0.0000000000,1.0000000, -3.1419030,53.16720
Taunton,0.0000000000,0.0000000000,1.0000000, -3.1068490,51.01534
Wick,0.0025829305,0.0000000000,0.9974171, -3.0937160,58.43894
John o' Groats,0.0025810258,0.0000000000,0.9974190, -3.0688997,58.63734
Dalkeith,0.0047501611,0.0002522209,0.9949976, -3.0666060,55.89312
Oswestry,0.0000000000,0.0000000000,1.0000000, -3.0564120,52.85715
Blackpool,0.0000000000,0.0000000000,1.0000000, -3.0356748,53.81751
Birkenhead,0.0000000000,0.0000000000,1.0000000, -3.0230090,53.38999
Cupar,0.0046557562,0.0002116253,0.9951326, -3.0101370,56.32023
Southport,0.0000000000,0.0000000000,1.0000000, -3.0101130,53.64571
Bridgwater,0.0000000000,0.0000000000,1.0000000, -3.0036320,51.12789
Langholm,0.0025571360,0.0000000000,0.9974429, -2.9989130,55.15306
Newport,0.0000000000,0.0000000000,1.0000000, -2.9976640,51.58415
Axminster,0.0000000000,0.0000000000,1.0000000, -2.9949370,50.78273
Wrexham,0.0000000000,0.0000000000,1.0000000, -2.9924940,53.04304
Liverpool,0.0000000000,0.0000000000,1.0000000, -2.9915726,53.40837
Weston-super-Mare,0.0000000000,0.0000000000,1.0000000, -2.9772550,51.34741
Dundee,0.0043643688,0.0002238138,0.9954118, -2.9707210,56.46202
Kirkwall,0.0025810258,0.0000000000,0.9974190, -2.9622491,58.98467
Ambleside,0.0028688525,0.0000000000,0.9971311, -2.9613330,54.42874
Orkney Islands,0.0025810258,0.0000000000,0.9974190, -2.9605206,58.98094
Lyme Regis,0.0000000000,0.0000000000,1.0000000, -2.9366390,50.72516
Carlisle,0.0030566877,0.0000000000,0.9969433, -2.9329310,54.89247
Chester,0.0000000000,0.0000000000,1.0000000, -2.8930750,53.19339
Forfar,0.0031033552,0.0002698570,0.9966268, -2.8890620,56.64356
Morecambe,0.0000000000,0.0000000000,1.0000000, -2.8649680,54.07417
Selkirk,0.0094248429,0.0000000000,0.9905752, -2.8385240,55.55066
Galashiels,0.0087127891,0.0000000000,0.9912872, -2.8144490,55.62373
Lancaster,0.0000000000,0.0000000000,1.0000000, -2.8007399,54.04657
St Andrews,0.0050746488,0.0002206369,0.9947047, -2.7967214,56.33978
Hawick,0.0069787729,0.0000000000,0.9930212, -2.7809140,55.42706
Bridport,0.0000000000,0.0000000000,1.0000000, -2.7583010,50.73358
Shrewsbury,0.0000000000,0.0000000000,1.0000000, -2.7553268,52.70730
Penrith,0.0033758927,0.0000000000,0.9966241, -2.7527080,54.66410
Kendal,0.0020738692,0.0000000000,0.9979261, -2.7462900,54.32801
Street,0.0000000000,0.0000000000,1.0000000, -2.7429190,51.12468
Glastonbury,0.0000000000,0.0000000000,1.0000000, -2.7184540,51.14743
Hereford,0.0000000000,0.0000000000,1.0000000, -2.7159740,52.05640
Ludlow,0.0000000000,0.0000000000,1.0000000, -2.7139129,52.36775
Preston,0.0000000000,0.0000000000,1.0000000, -2.7030900,53.76320
Whitchurch,0.0000000000,0.0000000000,1.0000000, -2.6820450,52.96872
Wells,0.0000000000,0.0000000000,1.0000000, -2.6445979,51.20935
Yeovil,0.0000000000,0.0000000000,1.0000000, -2.6333080,50.94206
Wigan,0.0000000000,0.0000000000,1.0000000, -2.6325074,53.54506
Warrington,0.0000000000,0.0000000000,1.0000000, -2.5969501,53.39004
Arbroath,0.0045309821,0.0002449180,0.9952241, -2.5915430,56.55911
Bristol,0.0000000000,0.0000000000,1.0000000, -2.5879100,51.45451
Guernsey,0.0000000000,0.0000000000,1.0000000, -2.5852780,49.46569
Ross-on-Wye,0.0000000000,0.0000000000,1.0000000, -2.5824460,51.91445
Jedburgh,0.0071161390,0.0000000000,0.9928839, -2.5549369,55.47772
Sedbergh,0.0036079375,0.0000000000,0.9963921, -2.5281740,54.32363
Sedbergh,0.0036079375,0.0000000000,0.9963921, -2.5281740,54.32363
Nantwich,0.0000000000,0.0000000000,1.0000000, -2.5241020,53.06719
Banff,0.0022273782,0.0011136891,0.9966589, -2.5240380,57.66651
Dunbar,0.0041400725,0.0000000000,0.9958599, -2.5167370,56.00209
Cinderford,0.0000000000,0.0000000000,1.0000000, -2.5009579,51.82530
Banchory,0.0062705098,0.0000000000,0.9937295, -2.4909599,57.05386
Blackburn,0.0000000000,0.0000000000,1.0000000, -2.4875290,53.74858
Market Drayton,0.0000000000,0.0000000000,1.0000000, -2.4834850,52.90355
Telford,0.0000000000,0.0000000000,1.0000000, -2.4672611,52.67759
Montrose,0.0030241935,0.0002880184,0.9966878, -2.4661150,56.70692
Turriff,0.0061732537,0.0005368047,0.9932899, -2.4623000,57.53893
Weymouth,0.0000000000,0.0000000000,1.0000000, -2.4576210,50.61443
Crewe,0.0000000000,0.0000000000,1.0000000, -2.4438209,53.10041
Fortuneswell,0.0000000000,0.0000000000,1.0000000, -2.4422190,50.55919
Dorchester,0.0000000000,0.0000000000,1.0000000, -2.4411810,50.71116
Alston,0.0032285548,0.0000000000,0.9967714, -2.4386850,54.81217
Kelso,0.0049008688,0.0000000000,0.9950991, -2.4322070,55.60003
Wincanton,0.0000000000,0.0000000000,1.0000000, -2.4160070,51.05569
Clitheroe,0.0000000000,0.0000000000,1.0000000, -2.3930830,53.87110
Sark,0.0000000000,0.0000000000,1.0000000, -2.3666256,49.43007
Bath,0.0000000000,0.0000000000,1.0000000, -2.3590167,51.38106
Kidderminster,0.0000000000,0.0000000000,1.0000000, -2.2496839,52.38860
Manchester,0.0000000000,0.0000000000,1.0000000, -2.2426305,53.48076
Burnley,0.0000000000,0.0000000000,1.0000000, -2.2405035,53.78929
Gloucester,0.0000000000,0.0000000000,1.0000000, -2.2381560,51.86424
Newcastle-under-Lyme,0.0000000000,0.0000000000,1.0000000, -2.2273002,53.01321
Worcester,0.0000000000,0.0000000000,1.0000000, -2.2215750,52.19364
Trowbridge,0.0000000000,0.0000000000,1.0000000, -2.2088530,51.31966
Shaftesbury,0.0000000000,0.0000000000,1.0000000, -2.1980830,51.00460
Alderney,0.0000000000,0.0000000000,1.0000000, -2.1973557,49.71500
Stoke-on-Trent,0.0000000000,0.0000000000,1.0000000, -2.1794040,53.00267
Colne,0.0000000000,0.0000000000,1.0000000, -2.1769910,53.85564
Blandford Forum,0.0000000000,0.0000000000,1.0000000, -2.1653530,50.85691
Rochdale,0.0000000000,0.0000000000,1.0000000, -2.1561000,53.60971
Jersey,0.0000000000,0.0000000000,1.0000000, -2.1312500,49.21444
Wolverhampton,0.0000000000,0.0000000000,1.0000000, -2.1288200,52.58697
Stafford,0.0000000000,0.0000000000,1.0000000, -2.1206600,52.80669
