placename,aint,amnt,arent,ent,int,longitude,latitude
Holyhead,0.12750000,0.010000000,0.8625000,0.0000000000,0.000000000, -4.6330380,53.30944
Ayr,0.30249769,0.033302498,0.6641998,0.0000000000,0.000000000, -4.6291790,55.45856
Dumbarton,0.30249769,0.033302498,0.6641998,0.0000000000,0.000000000, -4.5645540,55.94529
Bude,0.24962853,0.000000000,0.7325409,0.0178306092,0.000000000, -4.5436780,50.82664
Isle of Man,0.09661836,0.009661836,0.8937198,0.0000000000,0.000000000, -4.5126331,54.27697
Kilmarnock,0.30249769,0.033302498,0.6641998,0.0000000000,0.000000000, -4.4987920,55.61472
Newton Stewart,0.19819820,0.018018018,0.7837838,0.0000000000,0.000000000, -4.4831640,54.96030
Liskeard,0.23076923,0.000000000,0.7426036,0.0266272189,0.000000000, -4.4647190,50.45552
Altnaharra,0.28333333,0.033333333,0.6666667,0.0166666667,0.000000000, -4.4426550,58.28023
Pwllheli,0.15037594,0.000000000,0.8496241,0.0000000000,0.000000000, -4.4176339,52.88882
Lairg,0.28333333,0.033333333,0.6666667,0.0166666667,0.000000000, -4.4024140,58.02206
Launceston,0.24962853,0.000000000,0.7325409,0.0178306092,0.000000000, -4.3604516,50.63683
Carmarthen,0.38289963,0.000000000,0.6171004,0.0000000000,0.000000000, -4.3121310,51.85762
Llangefni,0.09259259,0.000000000,0.9074074,0.0000000000,0.000000000, -4.3114020,53.25579
Caernarfon,0.14765101,0.000000000,0.8523490,0.0000000000,0.000000000, -4.2739110,53.13955
Cumnock,0.31534884,0.033488372,0.6511628,0.0000000000,0.000000000, -4.2658289,55.45355
Aberaeron,0.37451737,0.000000000,0.6177606,0.0077220077,0.000000000, -4.2581619,52.24279
Alness,0.28333333,0.033333333,0.6666667,0.0166666667,0.000000000, -4.2568250,57.69595
Glasgow,0.31186753,0.022079117,0.6660534,0.0000000000,0.000000000, -4.2518060,55.86424
Dalwhinnie,0.31858407,0.035398230,0.6460177,0.0000000000,0.000000000, -4.2427830,56.93660
Inverness,0.28333333,0.033333333,0.6666667,0.0166666667,0.000000000, -4.2247210,57.47777
Saltash,0.24962853,0.000000000,0.7325409,0.0178306092,0.000000000, -4.2164300,50.40921
Bideford,0.28915663,0.000000000,0.6976999,0.0131434830,0.000000000, -4.2066660,51.01668
Invergordon,0.26666667,0.033333333,0.6833333,0.0166666667,0.000000000, -4.1728820,57.68811
Llanelli,0.42127660,0.000000000,0.5787234,0.0000000000,0.000000000, -4.1602480,51.68089
Plymouth,0.24962853,0.000000000,0.7325409,0.0178306092,0.000000000, -4.1426565,50.37546
Tavistock,0.24508321,0.000000000,0.7367625,0.0181543116,0.000000000, -4.1416540,50.55112
Porthmadog,0.16129032,0.000000000,0.8387097,0.0000000000,0.000000000, -4.1333840,52.92784
Bangor,0.09259259,0.000000000,0.9074074,0.0000000000,0.000000000, -4.1292630,53.22739
Tywyn,0.20945946,0.000000000,0.7905405,0.0000000000,0.000000000, -4.0872490,52.58701
Aberystwyth,0.36046512,0.000000000,0.6317829,0.0077519380,0.000000000, -4.0829200,52.41530
Lampeter,0.39299611,0.000000000,0.5992218,0.0077821012,0.000000000, -4.0785090,52.11290
Barnstaple,0.30985915,0.000000000,0.6901408,0.0000000000,0.000000000, -4.0583380,51.07816
Tain,0.28333333,0.033333333,0.6666667,0.0166666667,0.000000000, -4.0552300,57.81150
Okehampton,0.23491028,0.000000000,0.7455139,0.0195758564,0.000000000, -4.0042630,50.73831
Llandeilo,0.43347639,0.000000000,0.5665236,0.0000000000,0.000000000, -3.9914300,51.88469
Motherwell,0.30249769,0.033302498,0.6641998,0.0000000000,0.000000000, -3.9810968,55.78321
Golspie,0.28333333,0.033333333,0.6666667,0.0166666667,0.000000000, -3.9760860,57.97341
Airdrie,0.30783582,0.033582090,0.6585821,0.0000000000,0.000000000, -3.9625660,55.86627
Swansea,0.41078838,0.000000000,0.5892116,0.0000000000,0.000000000, -3.9436460,51.62144
Stirling,0.29014599,0.032846715,0.6770073,0.0000000000,0.000000000, -3.9369029,56.11652
Tregaron,0.37848606,0.000000000,0.6135458,0.0079681275,0.000000000, -3.9343850,52.22000
Tregaron,0.37848606,0.000000000,0.6135458,0.0079681275,0.000000000, -3.9343850,52.22000
Castle Douglas,0.21212121,0.015151515,0.7727273,0.0000000000,0.000000000, -3.9314140,54.94042
Dolgellau,0.15436242,0.000000000,0.8456376,0.0000000000,0.000000000, -3.8844000,52.74215
Aberfeldy,0.26410835,0.081264108,0.6546275,0.0000000000,0.000000000, -3.8669690,56.62175
Machynlleth,0.19209040,0.000000000,0.8079096,0.0000000000,0.000000000, -3.8534850,52.59027
Brora,0.28333333,0.033333333,0.6666667,0.0166666667,0.000000000, -3.8525480,58.01216
Llandudno,0.07699805,0.000000000,0.9230019,0.0000000000,0.000000000, -3.8276090,53.32406
Llandudno,0.07699805,0.000000000,0.9230019,0.0000000000,0.000000000, -3.8276090,53.32406
Aviemore,0.28333333,0.033333333,0.6666667,0.0166666667,0.000000000, -3.8238120,57.19449
Dalbeattie,0.21917808,0.013698630,0.7671233,0.0000000000,0.000000000, -3.8225270,54.93422
Falkirk,0.26527678,0.051761323,0.6829619,0.0000000000,0.000000000, -3.7839131,56.00188
Kingsbridge,0.23600605,0.000000000,0.7458396,0.0181543116,0.000000000, -3.7774930,50.28395
Pitlochry,0.26057906,0.080178174,0.6592428,0.0000000000,0.000000000, -3.7297110,56.70436
Colwyn Bay,0.07699805,0.000000000,0.9230019,0.0000000000,0.000000000, -3.7276400,53.29318
Totnes,0.23263328,0.000000000,0.7479806,0.0193861066,0.000000000, -3.6857970,50.43374
Grantown-on-Spey,0.28099174,0.033057851,0.6694215,0.0165289256,0.000000000, -3.6096280,57.33041
Dumfries,0.26153846,0.015384615,0.7230769,0.0000000000,0.000000000, -3.6051200,55.07086
Whitehaven,0.17972350,0.000000000,0.8202765,0.0000000000,0.000000000, -3.5892330,54.54970
Dartmouth,0.26687117,0.000000000,0.7239264,0.0092024540,0.000000000, -3.5788070,50.35252
Bridgend,0.49230769,0.000000000,0.5076923,0.0000000000,0.000000000, -3.5769450,51.50429
Paignton,0.27231467,0.000000000,0.7186082,0.0090771558,0.000000000, -3.5642350,50.43508
Workington,0.17647059,0.000000000,0.8235294,0.0000000000,0.000000000, -3.5427520,54.64357
Llanidloes,0.27513228,0.000000000,0.7142857,0.0105820106,0.000000000, -3.5401950,52.44779
Exeter,0.26740947,0.000000000,0.7242340,0.0083565460,0.000000000, -3.5338990,50.71841
Torquay,0.26986507,0.000000000,0.7211394,0.0089955022,0.000000000, -3.5253150,50.46192
Thurso,0.28333333,0.033333333,0.6666667,0.0166666667,0.000000000, -3.5220800,58.59357
Livingston,0.25664989,0.060388210,0.6829619,0.0000000000,0.000000000, -3.5180680,55.90071
Rhyl,0.07324219,0.000000000,0.9267578,0.0000000000,0.000000000, -3.4916340,53.31914
Tiverton,0.25471698,0.000000000,0.7452830,0.0000000000,0.000000000, -3.4912070,50.90205
Tiverton,0.25471698,0.000000000,0.7452830,0.0000000000,0.000000000, -3.4912070,50.90205
Minehead,0.32324841,0.000000000,0.6767516,0.0000000000,0.000000000, -3.4811520,51.20428
Dunfermline,0.27156094,0.068424804,0.6600143,0.0000000000,0.000000000, -3.4521510,56.07174
Perth,0.28146453,0.082379863,0.6361556,0.0000000000,0.000000000, -3.4308381,56.39499
Prestatyn,0.07310469,0.000000000,0.9268953,0.0000000000,0.000000000, -3.4076130,53.33651
Builth Wells,0.40000000,0.000000000,0.5733333,0.0266666667,0.000000000, -3.4045920,52.15002
Braemar,0.24974306,0.061664954,0.6762590,0.0123329908,0.000000000, -3.3979439,57.00647
Brecon,0.56666667,0.000000000,0.4000000,0.0333333333,0.000000000, -3.3914630,51.94895
Merthyr Tydfil,0.57142857,0.000000000,0.3968254,0.0317460317,0.000000000, -3.3816460,51.74873
Llandrindod Wells,0.40000000,0.000000000,0.5733333,0.0266666667,0.000000000, -3.3777420,52.24170
Corwen,0.11949686,0.000000000,0.8805031,0.0000000000,0.000000000, -3.3692420,52.98005
Cockermouth,0.18139535,0.000000000,0.8186047,0.0000000000,0.000000000, -3.3679850,54.66326
Lockerbie,0.25795053,0.014134276,0.7279152,0.0000000000,0.000000000, -3.3490080,55.12224
Blairgowrie,0.26773455,0.082379863,0.6498856,0.0000000000,0.000000000, -3.3378318,56.58941
Elgin,0.28333333,0.033333333,0.6666667,0.0166666667,0.000000000, -3.3184850,57.64945
Newtown,0.27135678,0.000000000,0.7286432,0.0000000000,0.000000000, -3.3131060,52.51211
Ruthin,0.10659898,0.000000000,0.8934010,0.0000000000,0.000000000, -3.3103108,53.11487
Ruthin,0.10659898,0.000000000,0.8934010,0.0000000000,0.000000000, -3.3103108,53.11487
Sidmouth,0.28078818,0.000000000,0.7192118,0.0000000000,0.000000000, -3.2375600,50.67865
Barrow-in-Furness,0.21810700,0.000000000,0.7818930,0.0000000000,0.000000000, -3.2188940,54.10897
Peebles,0.29519451,0.068649886,0.6361556,0.0000000000,0.000000000, -3.1936420,55.65307
Edinburgh,0.33182844,0.081264108,0.5869074,0.0000000000,0.000000000, -3.1882670,55.95325
Cardiff,0.38246269,0.000000000,0.6175373,0.0000000000,0.000000000, -3.1790900,51.48158
Llangollen,0.13684211,0.000000000,0.8631579,0.0000000000,0.000000000, -3.1716600,52.96921
Kirkcaldy,0.32045455,0.081818182,0.5977273,0.0000000000,0.000000000, -3.1581370,56.11682
Welshpool,0.28571429,0.000000000,0.7142857,0.0000000000,0.000000000, -3.1464070,52.66035
Mold,0.07952468,0.000000000,0.9204753,0.0000000000,0.000000000, -3.1419030,53.16720
Mold,0.07952468,0.000000000,0.9204753,0.0000000000,0.000000000, -3.1419030,53.16720
Taunton,0.28571429,0.000000000,0.7142857,0.0000000000,0.000000000, -3.1068490,51.01534
Wick,0.30252101,0.033613445,0.6470588,0.0168067227,0.000000000, -3.0937160,58.43894
John o' Groats,0.30252101,0.033613445,0.6470588,0.0168067227,0.000000000, -3.0688997,58.63734
Dalkeith,0.30269058,0.080717489,0.6165919,0.0000000000,0.000000000, -3.0666060,55.89312
Oswestry,0.21035058,0.000000000,0.7896494,0.0000000000,0.000000000, -3.0564120,52.85715
Blackpool,0.18725100,0.000000000,0.8127490,0.0000000000,0.000000000, -3.0356748,53.81751
Birkenhead,0.07180851,0.000000000,0.9281915,0.0000000000,0.000000000, -3.0230090,53.38999
Cupar,0.29519451,0.082379863,0.6224256,0.0000000000,0.000000000, -3.0101370,56.32023
Southport,0.15611814,0.000000000,0.8438819,0.0000000000,0.000000000, -3.0101130,53.64571
Bridgwater,0.30195599,0.000000000,0.6882641,0.0000000000,0.009779951, -3.0036320,51.12789
Langholm,0.12906611,0.000000000,0.8709339,0.0000000000,0.000000000, -2.9989130,55.15306
Newport,0.41800000,0.000000000,0.5740000,0.0080000000,0.000000000, -2.9976640,51.58415
Axminster,0.29729730,0.000000000,0.7027027,0.0000000000,0.000000000, -2.9949370,50.78273
Wrexham,0.11328671,0.000000000,0.8867133,0.0000000000,0.000000000, -2.9924940,53.04304
Liverpool,0.07568027,0.000000000,0.9243197,0.0000000000,0.000000000, -2.9915726,53.40837
Weston-super-Mare,0.32593458,0.000000000,0.6647196,0.0000000000,0.009345794, -2.9772550,51.34741
Dundee,0.26773455,0.082379863,0.6498856,0.0000000000,0.000000000, -2.9707210,56.46202
Kirkwall,0.30252101,0.033613445,0.6470588,0.0168067227,0.000000000, -2.9622491,58.98467
Ambleside,0.19158879,0.000000000,0.8084112,0.0000000000,0.000000000, -2.9613330,54.42874
Orkney Islands,0.30252101,0.033613445,0.6470588,0.0168067227,0.000000000, -2.9605206,58.98094
Lyme Regis,0.28648649,0.000000000,0.7135135,0.0000000000,0.000000000, -2.9366390,50.72516
Carlisle,0.12746114,0.000000000,0.8725389,0.0000000000,0.000000000, -2.9329310,54.89247
Chester,0.08001078,0.000000000,0.9199892,0.0000000000,0.000000000, -2.8930750,53.19339
Forfar,0.25215517,0.077586207,0.6573276,0.0129310345,0.000000000, -2.8890620,56.64356
Morecambe,0.24497992,0.000000000,0.7550201,0.0000000000,0.000000000, -2.8649680,54.07417
Selkirk,0.24500907,0.054446461,0.7005445,0.0000000000,0.000000000, -2.8385240,55.55066
Galashiels,0.25046382,0.055658627,0.6938776,0.0000000000,0.000000000, -2.8144490,55.62373
Lancaster,0.24497992,0.000000000,0.7550201,0.0000000000,0.000000000, -2.8007399,54.04657
St Andrews,0.26773455,0.082379863,0.6498856,0.0000000000,0.000000000, -2.7967214,56.33978
Hawick,0.20230263,0.039473684,0.7582237,0.0000000000,0.000000000, -2.7809140,55.42706
Bridport,0.27567568,0.000000000,0.7243243,0.0000000000,0.000000000, -2.7583010,50.73358
Shrewsbury,0.28481013,0.000000000,0.7151899,0.0000000000,0.000000000, -2.7553268,52.70730
Penrith,0.18518519,0.000000000,0.8148148,0.0000000000,0.000000000, -2.7527080,54.66410
Kendal,0.21074380,0.000000000,0.7892562,0.0000000000,0.000000000, -2.7462900,54.32801
Street,0.28037383,0.000000000,0.7009346,0.0062305296,0.012461059, -2.7429190,51.12468
Glastonbury,0.28037383,0.000000000,0.7009346,0.0062305296,0.012461059, -2.7184540,51.14743
Hereford,0.24444444,0.000000000,0.6555556,0.1000000000,0.000000000, -2.7159740,52.05640
Ludlow,0.30000000,0.000000000,0.6571429,0.0428571429,0.000000000, -2.7139129,52.36775
Preston,0.20517928,0.000000000,0.7948207,0.0000000000,0.000000000, -2.7030900,53.76320
Whitchurch,0.16844920,0.000000000,0.8315508,0.0000000000,0.000000000, -2.6820450,52.96872
Wells,0.28840125,0.000000000,0.6927900,0.0062695925,0.012539185, -2.6445979,51.20935
Yeovil,0.30994152,0.000000000,0.6900585,0.0000000000,0.000000000, -2.6333080,50.94206
Wigan,0.25088028,0.000000000,0.7491197,0.0000000000,0.000000000, -2.6325074,53.54506
Warrington,0.22077029,0.000000000,0.7792297,0.0000000000,0.000000000, -2.5969501,53.39004
Arbroath,0.25215517,0.077586207,0.6573276,0.0129310345,0.000000000, -2.5915430,56.55911
Bristol,0.29054054,0.000000000,0.6891892,0.0067567568,0.013513514, -2.5879100,51.45451
Guernsey,0.25446429,0.000000000,0.7336310,0.0119047619,0.000000000, -2.5852780,49.46569
Ross-on-Wye,0.26946108,0.000000000,0.6586826,0.0718562874,0.000000000, -2.5824460,51.91445
Jedburgh,0.13740458,0.022900763,0.8396947,0.0000000000,0.000000000, -2.5549369,55.47772
Sedbergh,0.25786164,0.000000000,0.7421384,0.0000000000,0.000000000, -2.5281740,54.32363
Sedbergh,0.25786164,0.000000000,0.7421384,0.0000000000,0.000000000, -2.5281740,54.32363
Nantwich,0.12244898,0.000000000,0.8775510,0.0000000000,0.000000000, -2.5241020,53.06719
Banff,0.26370217,0.062047570,0.6618407,0.0124095140,0.000000000, -2.5240380,57.66651
Dunbar,0.27801724,0.077586207,0.6443966,0.0000000000,0.000000000, -2.5167370,56.00209
Cinderford,0.24223602,0.000000000,0.6956522,0.0621118012,0.000000000, -2.5009579,51.82530
Banchory,0.26150833,0.058765916,0.6679726,0.0117531832,0.000000000, -2.4909599,57.05386
Blackburn,0.27906977,0.000000000,0.7209302,0.0000000000,0.000000000, -2.4875290,53.74858
Market Drayton,0.21231979,0.000000000,0.7876802,0.0000000000,0.000000000, -2.4834850,52.90355
Telford,0.40745672,0.000000000,0.5925433,0.0000000000,0.000000000, -2.4672611,52.67759
Montrose,0.25379610,0.078091106,0.6550976,0.0130151844,0.000000000, -2.4661150,56.70692
Turriff,0.26370217,0.062047570,0.6618407,0.0124095140,0.000000000, -2.4623000,57.53893
Weymouth,0.25186567,0.000000000,0.7444030,0.0037313433,0.000000000, -2.4576210,50.61443
Crewe,0.15460526,0.000000000,0.8453947,0.0000000000,0.000000000, -2.4438209,53.10041
Fortuneswell,0.25763359,0.000000000,0.7385496,0.0038167939,0.000000000, -2.4422190,50.55919
Dorchester,0.27919708,0.000000000,0.7171533,0.0036496350,0.000000000, -2.4411810,50.71116
Alston,0.10179076,0.000000000,0.8982092,0.0000000000,0.000000000, -2.4386850,54.81217
Kelso,0.14231499,0.028462998,0.8292220,0.0000000000,0.000000000, -2.4322070,55.60003
Wincanton,0.26729560,0.000000000,0.7138365,0.0062893082,0.012578616, -2.4160070,51.05569
Clitheroe,0.19138756,0.000000000,0.8086124,0.0000000000,0.000000000, -2.3930830,53.87110
Sark,0.23809524,0.000000000,0.7503608,0.0115440115,0.000000000, -2.3666256,49.43007
Bath,0.27561837,0.000000000,0.6961131,0.0141342756,0.014134276, -2.3590167,51.38106
Kidderminster,0.36699858,0.000000000,0.5561878,0.0768136558,0.000000000, -2.2496839,52.38860
Manchester,0.15572592,0.000000000,0.8413991,0.0000000000,0.002874940, -2.2426305,53.48076
Burnley,0.22360248,0.000000000,0.7763975,0.0000000000,0.000000000, -2.2405035,53.78929
Gloucester,0.20330579,0.000000000,0.7074380,0.0892561983,0.000000000, -2.2381560,51.86424
