placename,preposition_drop_determiner,preposition_drop_no_determiner,preposition_retained,longitude,latitude
Kettering,0.000000000,0.030150754,0.9698492, -0.7302490,52.39632
Wellingborough,0.000000000,0.000000000,1.0000000, -0.6939640,52.30242
Corby,0.000000000,0.033149171,0.9668508, -0.6842333,52.49230
Bognor Regis,0.000000000,0.000000000,1.0000000, -0.6730610,50.78300
Scunthorpe,0.000000000,0.015037594,0.9849624, -0.6544130,53.58865
Grantham,0.010801080,0.021602160,0.9675968, -0.6435820,52.91252
Whitby,0.030769231,0.015384615,0.9538462, -0.6133470,54.48633
Slough,0.000000000,0.032142857,0.9678571, -0.5950406,51.51054
Guildford,0.000000000,0.020134228,0.9798658, -0.5704090,51.23622
Woking,0.000000000,0.020477816,0.9795222, -0.5600349,51.31677
Lincoln,0.000000000,0.000000000,1.0000000, -0.5405790,53.23069
Bedford,0.000000000,0.014851485,0.9851485, -0.4667782,52.13864
Heathrow,0.000000000,0.024096386,0.9759036, -0.4542955,51.47002
Driffield,0.000000000,0.015748031,0.9842520, -0.4433770,54.00600
Beverley,0.000000000,0.016806723,0.9831933, -0.4350930,53.84196
Luton,0.000000000,0.000000000,1.0000000, -0.4200255,51.87867
Scarborough,0.030303030,0.015151515,0.9545455, -0.3997520,54.28311
Worthing,0.000000000,0.000000000,1.0000000, -0.3728820,50.81787
Dorking,0.000000000,0.019417476,0.9805825, -0.3323780,51.23220
Hull,0.000000000,0.014814815,0.9851852, -0.3274198,53.76762
Horsham,0.000000000,0.008403361,0.9915966, -0.3258580,51.06288
Biggleswade,0.000000000,0.015424165,0.9845758, -0.2642200,52.08694
Peterborough,0.000000000,0.016713092,0.9832869, -0.2405299,52.56950
Welwyn Garden City,0.000000000,0.000000000,1.0000000, -0.2086610,51.80317
Bridlington,0.000000000,0.017699115,0.9823009, -0.1988020,54.08535
Stevenage,0.000000000,0.000000000,1.0000000, -0.1966120,51.90376
Crawley,0.000000000,0.000000000,1.0000000, -0.1872275,51.10914
Huntingdon,0.000000000,0.017595308,0.9824047, -0.1825520,52.33146
Hove,0.000000000,0.000000000,1.0000000, -0.1687490,50.82793
Spalding,0.000000000,0.000000000,1.0000000, -0.1537024,52.79010
Brighton,0.000000000,0.000000000,1.0000000, -0.1371630,50.82253
London,0.000000000,0.010423905,0.9895761, -0.1277583,51.50735
Grimsby,0.000000000,0.014814815,0.9851852, -0.0807840,53.56747
Boston,0.000000000,0.000000000,1.0000000, -0.0265770,52.97894
Royston,0.000000000,0.016574586,0.9834254, -0.0240660,52.04814
Louth_Lincs,0.000000000,0.015748031,0.9842520, -0.0077110,53.36596
Lewes,0.000000000,0.000000000,1.0000000,  0.0087800,50.87387
Chatteris,0.000000000,0.017142857,0.9828571,  0.0540120,52.45610
Uckfield,0.000000000,0.000000000,1.0000000,  0.0959130,50.96641
Cambridge,0.000000000,0.017142857,0.9828571,  0.1218170,52.20534
Bishop's Stortford,0.000000000,0.000000000,1.0000000,  0.1536502,51.87216
Wisbech,0.000000000,0.016042781,0.9839572,  0.1587970,52.66632
Sevenoaks,0.000000000,0.000000000,1.0000000,  0.1908980,51.27241
Tunbridge Wells,0.000000000,0.000000000,1.0000000,  0.2636950,51.13238
Eastbourne,0.000000000,0.000000000,1.0000000,  0.2904720,50.76803
Brentwood,0.040404040,0.000000000,0.9595960,  0.3071749,51.62047
Skegness,0.000000000,0.014018692,0.9859813,  0.3378810,53.14640
Downham Market,0.000000000,0.016574586,0.9834254,  0.3854720,52.60661
King's Lynn,0.013636364,0.013636364,0.9727273,  0.4022963,52.75168
Bexhill,0.000000000,0.000000000,1.0000000,  0.4662071,50.84991
Chelmsford,0.036923077,0.000000000,0.9630769,  0.4685497,51.73559
Mildenhall,0.000000000,0.017857143,0.9821429,  0.5156095,52.34757
Medway,0.014423077,0.000000000,0.9855769,  0.5417861,51.40474
Braintree,0.016574586,0.000000000,0.9834254,  0.5509269,51.88009
Gillingham,0.014634146,0.000000000,0.9853659,  0.5514380,51.38632
Hastings,0.000000000,0.000000000,1.0000000,  0.5734530,50.85426
Maldon,0.018404908,0.000000000,0.9815951,  0.6714480,51.73181
Southend,0.014423077,0.000000000,0.9855769,  0.7077123,51.54593
Bury St Edmunds,0.000000000,0.016666667,0.9833333,  0.7104932,52.24292
Thetford,0.013698630,0.013698630,0.9726027,  0.7516570,52.41286
Ashford,0.015544041,0.000000000,0.9844560,  0.8750190,51.14647
Faversham,0.015306122,0.000000000,0.9846939,  0.8893580,51.31599
Colchester,0.016042781,0.000000000,0.9839572,  0.8918740,51.89593
New Romney,0.000000000,0.000000000,1.0000000,  0.9394730,50.98512
Canterbury,0.015665796,0.000000000,0.9843342,  1.0789089,51.28023
Ipswich,0.015503876,0.000000000,0.9844961,  1.1482200,52.05674
Clacton,0.015789474,0.000000000,0.9842105,  1.1530350,51.78953
Folkestone,0.015544041,0.000000000,0.9844560,  1.1694560,51.08140
Sheringham,0.016949153,0.000000000,0.9830508,  1.2109589,52.94442
Harwich,0.016042781,0.000000000,0.9839572,  1.2602970,51.93473
Norwich,0.016393443,0.000000000,0.9836066,  1.2973550,52.63089
Cromer,0.016666667,0.000000000,0.9833333,  1.3018660,52.93145
Dover,0.015306122,0.000000000,0.9846939,  1.3134027,51.12788
Felixstowe,0.015544041,0.000000000,0.9844560,  1.3512550,51.96173
Margate,0.014634146,0.000000000,0.9853659,  1.3868339,51.38965
Ramsgate,0.014634146,0.000000000,0.9853659,  1.4198950,51.33555
Great Yarmouth,0.015873016,0.000000000,0.9841270,  1.7280470,52.59823
Lowestoft,0.015873016,0.000000000,0.9841270,  1.7534490,52.48114
Swaffham,0.014925373,0.014925373,0.9701493,  0.6874810,52.64747
Dereham,0.016666667,0.000000000,0.9833333,  0.9378270,52.68162
Ely,0.000000000,0.017142857,0.9828571,  0.2623630,52.39954
March,0.000000000,0.016853933,0.9831461,  0.0886220,52.55172
St Neots,0.000000000,0.015113350,0.9848866, -0.2651030,52.23008
Banham,0.015873016,0.000000000,0.9841270,  1.0402849,52.45125
Holt,0.018181818,0.000000000,0.9818182,  1.0867470,52.90936
Cromer,0.016666667,0.000000000,0.9833333,  1.3018660,52.93145
Hunstanton,0.014634146,0.000000000,0.9853659,  0.4910320,52.93891
Horncastle,0.000000000,0.014634146,0.9853659, -0.1124500,53.20731
Market Weighton,0.000000000,0.016806723,0.9831933, -0.6677465,53.86484
Hawes,0.021276596,0.000000000,0.9787234, -2.1968695,54.30383
Reeth,0.035714286,0.017857143,0.9464286, -1.9428115,54.38946
Aysgarth,0.000000000,0.000000000,1.0000000, -1.9967434,54.29159
Stanhope,0.000000000,0.011428571,0.9885714, -2.0113020,54.74946
Keswick,0.016129032,0.000000000,0.9838710, -3.1347060,54.60128
Oxenholme,0.016260163,0.000000000,0.9837398, -2.7243328,54.30134
