placename,a load of,a lot of,bare,loads of,lots of,longitude,latitude
Plymouth,0.008788159,0.4742715,0.0052035153,0.13112858,0.3806082, -4.1426565,50.37546
Tavistock,0.006411095,0.4747481,0.0054952244,0.13201622,0.3813293, -4.1416540,50.55112
Porthmadog,0.017139796,0.5216926,0.0032137118,0.11569363,0.3422603, -4.1333840,52.92784
Bangor,0.015530211,0.5260859,0.0116476583,0.12023781,0.3264984, -4.1292630,53.22739
Tywyn,0.015973561,0.5114294,0.0000000000,0.12007711,0.3525200, -4.0872490,52.58701
Aberystwyth,0.014976959,0.5158410,0.0000000000,0.12183180,0.3473502, -4.0829200,52.41530
Lampeter,0.017648118,0.5054925,0.0016207455,0.16261480,0.3126238, -4.0785090,52.11290
Barnstaple,0.015320911,0.4890959,0.0074534161,0.15389924,0.3342305, -4.0583380,51.07816
Tain,0.009421617,0.5681432,0.0023554043,0.10707276,0.3130071, -4.0552300,57.81150
Okehampton,0.006563086,0.4747522,0.0056255023,0.13394053,0.3791187, -4.0042630,50.73831
Llandeilo,0.019501407,0.5094491,0.0054282268,0.17832730,0.2872939, -3.9914300,51.88469
Motherwell,0.008766254,0.5845030,0.0025829142,0.13072416,0.2734236, -3.9810968,55.78321
Golspie,0.009430873,0.5665400,0.0023577183,0.10540965,0.3162617, -3.9760860,57.97341
Airdrie,0.008668552,0.5875085,0.0025541268,0.13089255,0.2703763, -3.9625660,55.86627
Swansea,0.021297574,0.5194242,0.0065075922,0.17176099,0.2810097, -3.9436460,51.62144
Stirling,0.008184938,0.5824501,0.0025971437,0.12924069,0.2775271, -3.9369029,56.11652
Tregaron,0.017815368,0.5013496,0.0005398596,0.16249775,0.3177974, -3.9343850,52.22000
Tregaron,0.017815368,0.5013496,0.0005398596,0.16249775,0.3177974, -3.9343850,52.22000
Castle Douglas,0.009887367,0.5809548,0.0000000000,0.14043901,0.2687188, -3.9314140,54.94042
Dolgellau,0.016355737,0.5118835,0.0015333504,0.11755686,0.3526706, -3.8844000,52.74215
Aberfeldy,0.005567686,0.5717249,0.0000000000,0.13460699,0.2881004, -3.8669690,56.62175
Machynlleth,0.014555379,0.5034114,0.0020468501,0.10188765,0.3780987, -3.8534850,52.59027
Brora,0.008862338,0.5672881,0.0023632902,0.10684041,0.3146458, -3.8525480,58.01216
Llandudno,0.027021718,0.5244589,0.0240294566,0.16658444,0.2579055, -3.8276090,53.32406
Llandudno,0.027021718,0.5244589,0.0240294566,0.16658444,0.2579055, -3.8276090,53.32406
Aviemore,0.009593563,0.5696307,0.0000000000,0.11656695,0.3042088, -3.8238120,57.19449
Dalbeattie,0.010566993,0.5827235,0.0000000000,0.13347240,0.2732371, -3.8225270,54.93422
Falkirk,0.005532503,0.5811434,0.0034578147,0.14545874,0.2644076, -3.7839131,56.00188
Kingsbridge,0.005841598,0.4744600,0.0052981932,0.13286238,0.3815378, -3.7774930,50.28395
Pitlochry,0.005823247,0.5623430,0.0000000000,0.13941539,0.2924184, -3.7297110,56.70436
Colwyn Bay,0.026466263,0.5226710,0.0240228720,0.16790891,0.2589309, -3.7276400,53.29318
Totnes,0.006560450,0.4730218,0.0052215825,0.13455617,0.3806400, -3.6857970,50.43374
Grantown-on-Spey,0.008509374,0.5839051,0.0019449997,0.11070290,0.2949376, -3.6096280,57.33041
Dumfries,0.010462326,0.5735082,0.0000000000,0.14426492,0.2717645, -3.6051200,55.07086
Whitehaven,0.011851222,0.5504156,0.0071528083,0.12110686,0.3094735, -3.5892330,54.54970
