placename,merger,no merger,longitude,latitude
Llandrindod Wells,0.00000000,1.00000000, -3.3777420,52.24170
Corwen,0.00000000,1.00000000, -3.3692420,52.98005
Cockermouth,0.00000000,1.00000000, -3.3679850,54.66326
Lockerbie,0.00000000,1.00000000, -3.3490080,55.12224
Blairgowrie,0.00000000,1.00000000, -3.3378318,56.58941
Elgin,0.00000000,1.00000000, -3.3184850,57.64945
Newtown,0.00000000,1.00000000, -3.3131060,52.51211
Ruthin,0.00000000,1.00000000, -3.3103108,53.11487
Ruthin,0.00000000,1.00000000, -3.3103108,53.11487
Sidmouth,0.23529412,0.76470588, -3.2375600,50.67865
Barrow-in-Furness,0.00000000,1.00000000, -3.2188940,54.10897
Peebles,0.00000000,1.00000000, -3.1936420,55.65307
Edinburgh,0.00000000,1.00000000, -3.1882670,55.95325
Cardiff,0.23529412,0.76470588, -3.1790900,51.48158
Llangollen,0.00000000,1.00000000, -3.1716600,52.96921
Kirkcaldy,0.00000000,1.00000000, -3.1581370,56.11682
Welshpool,0.00000000,1.00000000, -3.1464070,52.66035
Mold,0.00000000,1.00000000, -3.1419030,53.16720
Mold,0.00000000,1.00000000, -3.1419030,53.16720
Taunton,0.47058824,0.52941176, -3.1068490,51.01534
Wick,0.00000000,1.00000000, -3.0937160,58.43894
John o' Groats,0.00000000,1.00000000, -3.0688997,58.63734
Dalkeith,0.00000000,1.00000000, -3.0666060,55.89312
Oswestry,0.00000000,1.00000000, -3.0564120,52.85715
Blackpool,0.00000000,1.00000000, -3.0356748,53.81751
Birkenhead,0.00000000,1.00000000, -3.0230090,53.38999
Cupar,0.00000000,1.00000000, -3.0101370,56.32023
Southport,0.00000000,1.00000000, -3.0101130,53.64571
Bridgwater,0.52941176,0.47058824, -3.0036320,51.12789
Langholm,0.00000000,1.00000000, -2.9989130,55.15306
Newport,0.29411765,0.70588235, -2.9976640,51.58415
Axminster,0.41176471,0.58823529, -2.9949370,50.78273
Wrexham,0.00000000,1.00000000, -2.9924940,53.04304
Liverpool,0.00000000,1.00000000, -2.9915726,53.40837
Weston-super-Mare,0.41176471,0.58823529, -2.9772550,51.34741
Dundee,0.00000000,1.00000000, -2.9707210,56.46202
Kirkwall,0.00000000,1.00000000, -2.9622491,58.98467
Ambleside,0.00000000,1.00000000, -2.9613330,54.42874
Orkney Islands,0.00000000,1.00000000, -2.9605206,58.98094
Lyme Regis,0.47058824,0.52941176, -2.9366390,50.72516
Carlisle,0.00000000,1.00000000, -2.9329310,54.89247
Chester,0.00000000,1.00000000, -2.8930750,53.19339
Forfar,0.00000000,1.00000000, -2.8890620,56.64356
Morecambe,0.00000000,1.00000000, -2.8649680,54.07417
Selkirk,0.00000000,1.00000000, -2.8385240,55.55066
Galashiels,0.00000000,1.00000000, -2.8144490,55.62373
Lancaster,0.00000000,1.00000000, -2.8007399,54.04657
St Andrews,0.00000000,1.00000000, -2.7967214,56.33978
Hawick,0.00000000,1.00000000, -2.7809140,55.42706
Bridport,0.64705882,0.35294118, -2.7583010,50.73358
Shrewsbury,0.00000000,1.00000000, -2.7553268,52.70730
Penrith,0.00000000,1.00000000, -2.7527080,54.66410
Kendal,0.00000000,1.00000000, -2.7462900,54.32801
Street,0.64705882,0.35294118, -2.7429190,51.12468
Glastonbury,0.70588235,0.29411765, -2.7184540,51.14743
Hereford,0.11764706,0.88235294, -2.7159740,52.05640
Ludlow,0.05882353,0.94117647, -2.7139129,52.36775
Preston,0.00000000,1.00000000, -2.7030900,53.76320
Whitchurch,0.00000000,1.00000000, -2.6820450,52.96872
Wells,0.64705882,0.35294118, -2.6445979,51.20935
Yeovil,0.70588235,0.29411765, -2.6333080,50.94206
Wigan,0.00000000,1.00000000, -2.6325074,53.54506
Warrington,0.00000000,1.00000000, -2.5969501,53.39004
Arbroath,0.00000000,1.00000000, -2.5915430,56.55911
Bristol,0.41176471,0.58823529, -2.5879100,51.45451
Guernsey,0.52941176,0.47058824, -2.5852780,49.46569
Ross-on-Wye,0.17647059,0.82352941, -2.5824460,51.91445
Jedburgh,0.00000000,1.00000000, -2.5549369,55.47772
Sedbergh,0.00000000,1.00000000, -2.5281740,54.32363
Sedbergh,0.00000000,1.00000000, -2.5281740,54.32363
Nantwich,0.00000000,1.00000000, -2.5241020,53.06718
Banff,0.00000000,1.00000000, -2.5240380,57.66651
Dunbar,0.00000000,1.00000000, -2.5167370,56.00209
Cinderford,0.23529412,0.76470588, -2.5009579,51.82530
