,variant,latitude,longitude,weight
24410,where_is_x_at,51.457876669614194,-2.585389575449031,0.2
22094,where_is_x,55.185467,-1.513952,0.2
20953,where_is_x,54.55958715785385,-0.9738830696403741,0.2
9842,where_is_x,51.691573,-4.286183,0.2
24669,where_is_x_at,52.633584,-1.6910319999999999,0.2
22212,where_is_x,55.473388,-4.298565900000002,0.2
0,where_is_x,49.9277261,-6.327496599999999,0.2
20734,where_is_x,54.43521,-6.3002699,0.2
1244,where_is_x,50.95301616373548,-4.141334566889432,0.2
4234,where_is_x,51.46061344299021,-0.18905697419373602,0.2
12976,where_is_x,52.405802,-1.923412,0.2
9702,where_is_x,51.668935,-3.1957869999999997,0.2
9593,where_is_x,51.656335,-3.182134,0.2
24817,where_is_x_at,53.432603500000006,-1.3635008999999998,0.2
654,where_is_x,50.81115517317169,-2.739765077861909,0.2
5851,where_is_x,51.50391863145015,-0.216078187743994,0.2
3712,where_is_x,51.431756,-2.756287,0.2
22427,where_is_x,55.751275981570274,-3.220528342938183,0.2
9228,where_is_x,51.6140833,-0.5870386,0.2
3631,where_is_x,51.42266888084098,-0.20175949742906896,0.2
19810,where_is_x,53.84736915580971,-2.1360275653832312,0.2
662,where_is_x,50.81453218117074,-1.3742900880390472,0.2
1123,where_is_x,50.918329,-0.454313,0.2
3495,where_is_x,51.409308164849406,-3.4349365695314216,0.2
19693,where_is_x,53.82039465436149,-2.407320063607659,0.2
14501,where_is_x,52.68778666209162,-2.421478069831926,0.2
8115,where_is_x,51.54449186094457,-0.4422805474332761,0.2
19272,where_is_x,53.74968520000001,-2.4852481,0.2
3407,where_is_x,51.401967,0.018303,0.2
19137,where_is_x,53.7247845,-1.8658357,0.2
14657,where_is_x,52.731761651817635,-4.059573057967801,0.2
7720,where_is_x,51.5343581,-0.17420650000000001,0.2
19040,where_is_x,53.70496039999999,-1.4344615,0.2
7709,where_is_x,51.5337632,-0.104995,0.2
23164,where_is_x,55.96452012978313,-3.993629540907297,0.2
14684,where_is_x,52.740204664996426,-1.8739650735075841,0.2
18895,where_is_x,53.675254,-1.9395490000000002,0.2
7422,where_is_x,51.525038191036884,-0.21596590624953896,0.2
24927,where_is_x_at,53.8108176,-1.7626099999999998,0.2
1639,where_is_x,51.0817318,-1.3451947,0.2
24220,where_is_x,57.89541800000001,-5.161313,0.2
714,where_is_x,50.824011999999996,0.243813,0.2
23393,where_is_x,56.1075351,-3.7529409,0.2
14874,where_is_x,52.796671999999994,1.2523520000000001,0.2
15426,where_is_x,52.951432168958036,-0.9557190790409441,0.2
2921,where_is_x,51.362440899999996,-0.858333,0.2
24138,where_is_x,57.599161615734175,-4.435196029179505,0.2
6272,where_is_x,51.508076,-0.097194,0.2
6304,where_is_x,51.50846268449725,0.029843405245838,0.2
15558,where_is_x,52.97321366583812,-1.4612265752021258,0.2
1004,where_is_x,50.880939,-1.24068,0.2
18252,where_is_x,53.50887216205075,-1.479984572017289,0.2
18180,where_is_x,53.49296542684839,-6.2255244496486295,0.2
15808,where_is_x,53.05281899999999,-1.405792,0.2
1999,where_is_x,51.1813239,0.38477,0.2
18100,where_is_x,53.4805828,-2.0809891,0.2
18074,where_is_x,53.47797387420926,-2.232262056265879,0.2
23512,where_is_x,56.20029063429902,-3.00998154612104,0.2
6512,where_is_x,51.5118414,-0.1271035,0.2
15965,where_is_x,53.10104066699322,-1.116146577002405,0.2
6542,where_is_x,51.512297,-0.11104100000000001,0.2
23565,where_is_x,56.29229100000001,-3.2360919999999997,0.2
16016,where_is_x,53.1148735,-3.3103108,0.2
25124,where_is_x_at,55.953252,-3.1882669999999997,0.2
16086,where_is_x,53.14123814771626,-4.260428554379334,0.2
6549,where_is_x,51.5123865,-0.13139260000000005,0.2
6942,where_is_x,51.5160471890891,-0.035017923849105,0.2
6555,where_is_x,51.5124635178201,-0.16102869576133302,0.2
16249,where_is_x,53.190237666676644,-1.066013076859671,0.2
16323,where_is_x,53.207214799999996,-6.742435,0.2
17828,where_is_x,53.45828766267223,-1.433644572642012,0.2
25201,where_x_about,55.953252,-3.1882669999999997,0.2
11,where_is_x,50.10359016273882,-5.27126156324782,0.2
16696,where_is_x,53.296366000000006,-3.834996,0.2
23807,where_is_x,56.811762828360024,-4.22274833724904,0.2
6708,where_is_x,51.514421,-0.1555765,0.2
17184,where_is_x,53.37670999416519,-6.382664883906517,0.25
17242,where_is_x,53.382951299999995,-3.0433301,0.25
6741,where_is_x,51.51455449315624,-0.12089593684176801,0.25
17062,where_is_x,53.35730665978095,-2.036291068858052,0.25
16955,where_is_x,53.34779963358303,-6.25969953986719,0.25
17283,where_is_x,53.38822316960044,-0.33335108112375,0.25
16904,where_is_x,53.34119802708349,-6.161176485812472,0.25
6778,where_is_x,51.5147387,-0.1409493,0.25
16894,where_is_x,53.339548300000004,-3.4021614000000002,0.25
260,where_is_x,50.53770967043611,-3.514158073653532,0.25
17396,where_is_x,53.40370328573188,-2.916645769238425,0.25
17403,where_is_x,53.405209159459744,-2.034860568598522,0.25
6851,where_is_x,51.51501879804426,-0.127292495304893,0.25
17415,where_is_x,53.40680010000001,-2.9829785,0.25
16719,where_is_x,53.302159700000004,-6.1778335,0.25
16703,where_is_x,53.29861715185808,-3.412190559419149,0.25
23639,where_is_x,56.441673633082935,-2.938950045242762,0.25
17513,where_is_x,53.41688253262474,-2.874973814672683,0.25
23962,where_is_x,57.232193,-2.4457148999999996,0.25
17528,where_is_x,53.41826645953847,-2.957709575854826,0.25
23966,where_is_x,57.23467684320642,-3.0840820469644536,0.25
17550,where_is_x,53.42043440231491,-2.934212986466719,0.25
7084,where_is_x,51.51843579999999,-0.10797060000000001,0.25
17597,where_is_x,53.42556968264171,-2.9385154585021667,0.25
16636,where_is_x,53.28400416474096,-1.285800574713585,0.25
16616,where_is_x,53.279893150452025,-3.6622750577751035,0.25
16588,where_is_x,53.27503965569435,-2.809492563795343,0.25
16428,where_is_x,53.23401066899882,-0.617779579911085,0.25
16380,where_is_x,53.222606999999996,-4.165577,0.25
17821,where_is_x,53.457760159091606,-2.247554935290877,0.25
24011,where_is_x,57.328656122810685,-3.61171553588275,0.25
7245,where_is_x,51.521577,-0.1314517,0.25
16329,where_is_x,53.20940217208514,-0.114649083792211,0.25
1659,where_is_x,51.08704517404978,-2.269869079821046,0.25
300,where_is_x,50.59185220000001,-3.9484949,0.25
16310,where_is_x,53.204331499999995,-1.1548923,0.25
2434,where_is_x,51.2783826,-0.3733532,0.25
16179,where_is_x,53.170015654595424,-3.110083062248147,0.25
7260,where_is_x,51.52189620000001,-0.1279597,0.25
24190,where_is_x,57.70023199999999,-3.489213,0.25
24194,where_is_x,57.70625,-3.4348339999999995,0.25
1652,where_is_x,51.08549910000001,-3.4953504,0.25
17993,where_is_x,53.47012204644473,-2.216965808999499,0.25
18029,where_is_x,53.4729514,-2.2997426,0.25
15986,where_is_x,53.10784257982017,-6.2844925162830805,0.25
7368,where_is_x,51.52450910223817,-0.06020337929013901,0.25
25111,where_is_x_at,55.847258,-4.440114,0.25
23403,where_is_x,56.10830112894265,-3.969553540279623,0.25
25073,where_is_x_at,54.999424,-1.427406,0.25
23357,where_is_x,56.06998062690033,-4.33470553811037,0.25
15817,where_is_x,53.054300166236885,-1.299236075926304,0.25
2785,where_is_x,51.34461468692575,0.261319402524705,0.25
15700,where_is_x,53.01220031631411,-3.466161883170232,0.25
18224,where_is_x,53.50280965426549,-2.785419562702991,0.25
1993,where_is_x,51.179689688769855,0.3893489005841521,0.25
2797,where_is_x,51.346772685349805,-0.013758595353501999,0.25
2831,where_is_x,51.350631899999996,-0.2533376,0.25
23230,where_is_x,55.9906145,-3.7073047,0.25
7603,where_is_x,51.53070555307024,-0.10104878145031,0.25
23206,where_is_x,55.97885551861918,-4.9420087941387285,0.25
7624,where_is_x,51.5310622,-0.0866091,0.25
18338,where_is_x,53.52808066084957,-1.66012457060395,0.25
25022,where_is_x_at,54.691745,-1.212926,0.25
25021,where_is_x_at,54.66720162065664,-6.8135095296532775,0.25
18406,where_is_x,53.541639161562344,-1.5244330715084655,0.25
7703,where_is_x,51.533608882475214,-0.15943753305050198,0.25
1974,where_is_x,51.174614588025406,-1.773495633662501,0.25
23128,where_is_x,55.9541591,-3.1946142999999996,0.25
18455,where_is_x,53.5523666,-6.7866474000000006,0.25
25008,where_is_x_at,54.615988,-1.575577,0.25
18597,where_is_x,53.58369365409353,-2.7216075627047527,0.25
1020,where_is_x,50.886238,-1.268443,0.25
18713,where_is_x,53.6133736,-1.8048212,0.25
