,variant,latitude,longitude,weight
104,a load of,51.454513,-2.58791,6.0625
105,a load of,51.4571477,-0.1230681,1.0
106,a load of,51.457876669614194,-2.585389575449031,0.3333333333333333
107,a load of,51.458422995804824,-0.5476811835943329,2.0
108,a load of,51.46070658310048,-0.11899781579054901,1.0
109,a load of,51.4607341,-0.1183845,1.0
110,a load of,51.461311,-0.303742,1.0
111,a load of,51.461514,-2.1195157000000004,1.0
112,a load of,51.461741682642895,-0.350692092122028,1.0
113,a load of,51.464754787555634,-0.10247956356467999,1.0
114,a load of,51.4669939,-1.1853677,0.3333333333333333
115,a load of,51.46840168510818,0.089324904559515,1.0
116,a load of,51.468999999999994,-3.127,1.0
117,a load of,51.4703237,-0.0673872,2.0
118,a load of,51.47150418466426,0.014989905146013,0.5
119,a load of,51.481581,-3.17909,0.0625
120,a load of,51.4933675,0.0098214,1.0
121,a load of,51.49700116578065,-3.179799570901813,0.5
122,a load of,51.49700116578066,-3.179799570901813,1.0
123,a load of,51.49802250000926,-0.129827977533961,1.0
124,a load of,51.49838668316304,-0.216107592935755,1.0
125,a load of,51.49879367855434,-0.14261318912885002,1.0
126,a load of,51.49994744021578,-0.102388747764304,1.0
127,a load of,51.50009168353514,-0.14893559343778198,1.0
128,a load of,51.50038216353592,-3.547123568230418,1.0
129,a load of,51.50371557782513,-0.17320509516823399,1.0
130,a load of,51.504286,-3.576945,1.0
131,a load of,51.5049489,-0.019500599999999996,1.0
132,a load of,51.506578999999995,-0.081389,1.0
133,a load of,51.506883200000004,-0.3033369,1.0
134,a load of,51.5073509,-0.12775830000000002,7.229855810008482
135,a load of,51.50811466324068,-3.5868900679026066,1.0
136,a load of,51.51171439092885,-0.144082423859383,1.0
137,a load of,51.512344299999995,-0.0909852,0.5
138,a load of,51.5142506,-0.12350439999999999,1.0
139,a load of,51.51448018375678,-0.092910093782144,1.0
140,a load of,51.51469418089263,-0.592599089983256,0.5
141,a load of,51.517083,0.578411,1.0
142,a load of,51.521087,-3.4983699999999995,1.0
143,a load of,51.522463434744864,-1.3765686952410532,1.0
144,a load of,51.5237,-0.144783,1.0
145,a load of,51.5273471,-0.07739839999999999,0.5
146,a load of,51.5279719,-0.10246240000000001,1.0
147,a load of,51.531103,-0.0480805,1.0
148,a load of,51.53187016431185,-3.382911069243583,1.0
149,a load of,51.535879,0.696966,2.0
150,a load of,51.536403674952936,-0.11195426360766,1.0
151,a load of,51.53660620992131,-0.050292530087990985,1.0
152,a load of,51.5366539,-0.1011841,1.0
153,a load of,51.5374415,-0.1455526,3.0
154,a load of,51.5388025,-0.1495697,1.0
155,a load of,51.53889,0.14743,1.0
156,a load of,51.5390261,-0.1425516,1.0
157,a load of,51.54239603270312,-0.14877900449054002,1.0
158,a load of,51.5424361831868,-0.15940259311419194,0.25
159,a load of,51.5459269,0.7077123000000001,1.0
160,a load of,51.5463526,-0.10875430000000001,2.0
161,a load of,51.546926183442935,-0.10918109347106401,0.3333333333333333
162,a load of,51.54764418371767,-0.060167093840727014,0.5
163,a load of,51.55446068845055,0.7840478997191891,1.0
164,a load of,51.5557739,-1.7797176,0.5
165,a load of,51.555914,0.248894,1.0
166,a load of,51.55628868241147,-0.27847759212822804,1.0
167,a load of,51.556329999999996,0.0655092,0.5
168,a load of,51.556619,0.076251,1.0
169,a load of,51.568962197535704,0.290452526347172,1.0
170,a load of,51.57300817355336,-1.7856890807086299,1.0
171,a load of,51.573445,-0.0724376,2.5
172,a load of,51.5742447,0.4856781,0.14285714285714285
173,a load of,51.577076,0.178319,1.0
174,a load of,51.577811600000004,-0.38921300000000003,1.0
175,a load of,51.5819979,-0.12214639999999999,1.0
176,a load of,51.5840695,-0.0083417,1.0
177,a load of,51.584151,-2.997664,0.5
178,a load of,51.58790118320384,-0.102161593288369,1.0
179,a load of,51.59093318723938,0.612818901252281,1.0
180,a load of,51.595832681806144,-0.337062091455874,1.0
181,a load of,51.598318,-0.231846,1.0
182,a load of,51.599255183602416,-0.018733593858985,1.0
183,a load of,51.6118841824191,-0.21089409232239892,2.5
184,a load of,51.61766093671257,-3.4565187413801004,1.0
185,a load of,51.620475,0.30717490000000003,0.5
186,a load of,51.62144,-3.9436459999999998,2.142857142857143
187,a load of,51.628611,-0.748229,0.5
188,a load of,51.6442886601041,-3.945734564602179,0.5
189,a load of,51.645275182830105,-0.09916309298034501,1.0
190,a load of,51.64854016093884,-3.8042915655884917,1.0
191,a load of,51.65847700000001,-1.5846790000000002,1.0
192,a load of,51.6631126,-0.2091694,1.0
193,a load of,51.66512016436478,-3.2209620696892594,1.0
194,a load of,51.66796338733922,-1.046487395942436,1.0
195,a load of,51.6755179,-0.607241,1.0
196,a load of,51.680886,-4.160248,1.0
197,a load of,51.68183369025665,-3.2653451944054,1.0
198,a load of,51.68687115861101,-4.140761062988327,1.0
199,a load of,51.696212180704094,-0.4097500903281969,1.0
200,a load of,51.69778118365893,0.108918405736498,1.0
201,a load of,51.7127931757601,-1.244623083951449,1.0
202,a load of,51.718495000000004,-1.968243,1.0
203,a load of,51.724376,-0.834518,1.0
