,variant,theme,goal,theme_type,goal_type,goal_det,goal_noun,theme_det,theme_noun,verb_form,verb_stem,verb_tag,latitude,longitude,weight
696,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,bring,bring,VB,53.1081689,-1.340708,1.0
697,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,bring,bring,VB,53.22739,-4.129263,1.0
698,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,bring,bring,VB,53.319141,-3.491633999999999,1.0
699,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,bring,bring,VB,54.97825200000001,-1.61778,1.0
700,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,bring,bring,VB,55.858302128951905,-4.241751039861819,2.0
701,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,bring,bring,VB,55.94319513486961,-3.203008046263737,1.0
702,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,bring,bring,VBP,53.916661,-3.035673,1.0
703,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,deliver,deliver,VBP,55.858302128951905,-4.241751039861819,1.0
704,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,described,describe,VBD,51.66807818099647,-0.392275090622134,1.0
705,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,dm,dm,VB,50.754597181856525,-1.326971588732885,1.0
706,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,dm,dm,VB,51.497445304095116,-0.2132155029695401,1.0
707,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,dm,dm,VB,51.5073509,-0.12775830000000002,1.0
708,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,dm,dm,VB,51.668666159302866,-4.0487550637387,1.0
709,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,donate,donate,VB,55.864237,-4.251806,1.0
710,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,donated,donate,VBD,51.5645784,-0.1047257,1.0
711,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,email,email,VB,53.34980529999999,-6.260309700000001,1.0
712,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,email,email,VB,53.4807593,-2.2426305,1.0
713,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,explain,explain,VB,50.7784216761166,-2.2807320814446013,1.0
714,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,explain,explain,VB,51.362149691684074,1.1290528959204609,1.0
715,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,explain,explain,VB,51.5073509,-0.12775830000000002,1.0
716,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,explain,explain,VB,51.5901102,-0.228922,1.0
717,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,explain,explain,VB,51.79660768192142,-0.07775809226966901,1.0
718,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,explain,explain,VB,52.95478320000001,-1.1581086,1.0
719,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,explain,explain,VB,53.425561,-2.323702,2.0
720,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,explain,explain,VB,53.4807593,-2.2426305,1.0
721,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,explained,explain,VBD,51.1277261858565,-0.186832095288607,1.0
722,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,explained,explain,VBD,53.4807593,-2.2426305,2.0
723,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,explained,explain,VBD,53.7676236,-0.3274198,1.0
724,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,explaining,explain,VAG,51.4822161,-2.7596831,1.0
725,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,feed,feed,VB,52.62626317016146,-1.130669579608375,1.0
726,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,feed,feed,VB,53.293182,-3.72764,2.0
727,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,feed,feed,VBP,54.486335,-0.613347,1.0
728,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,gave,give,VBD,50.71505,-1.987248,1.0
729,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,gave,give,VBD,54.72940989999999,-1.8811598000000005,2.0
730,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,gave,give,VBD,55.777633,-4.053679,1.0
