,userid,construction_type,tag,verb,pronoun,preposition,goal,goal_det,goal_noun,theme_type,goal_type,latitude,longitude
5359,111218,it+nominal,prepositional_dative,suggest,it,to,the team,the,team,pronominal,nominal,51.310684,-0.296968
5360,111218,it+nominal,prepositional_dative,suggest,it,to,the team,the,team,pronominal,nominal,51.310684,-0.296968
5361,111218,it+nominal,prepositional_dative,suggest,it,to,the team,the,team,pronominal,nominal,51.310684,-0.296968
5362,3332113,it+nominal,prepositional_dative,say,it,to,my face,my,face,pronominal,nominal,54.597285,-5.93012
5363,4079591,it+nominal,prepositional_dative,bring,it,to,their attention,their,attention,pronominal,nominal,53.3408040931342,-6.259589981104307
5364,4079591,it+nominal,prepositional_dative,bring,it,to,their attention,their,attention,pronominal,nominal,53.3408040931342,-6.259589981104307
5365,3484697,it+nominal,prepositional_dative,gave,it,to,my daughter,my,daughter,pronominal,nominal,53.4807593,-2.2426305
5366,177537,it+nominal,prepositional_dative,giving,it,to,an mp,an,mp,pronominal,nominal,51.454513,-2.58791
5367,5261909,it+nominal,prepositional_dative,say,it,to,his face,his,face,pronominal,nominal,51.903862625520325,-9.033306029107486
5368,5261909,it+nominal,prepositional_dative,say,it,to,his face,his,face,pronominal,nominal,51.903862625520325,-9.033306029107486
5369,4631582,it+nominal,prepositional_dative,bringing,it,to,your attention,your,attention,pronominal,nominal,51.39401,-0.302662
5370,5771272,it+nominal,prepositional_dative,lent,it,to,my dad,my,dad,pronominal,nominal,52.41593368240651,0.7476449050485892
5371,6424843,it+nominal,prepositional_dative,bring,it,to,the attention,the,attention,pronominal,nominal,52.201138429489355,-0.17020302978585095
5372,6542153,it+nominal,prepositional_dative,bringing,it,to,our attention,our,attention,pronominal,nominal,53.34331261465831,-9.10650402195976
5373,3245318,it+nominal,prepositional_dative,give,it,to,my friends,my,friends,pronominal,nominal,54.5978642,-7.312167999999999
5374,539593,it+nominal,prepositional_dative,sticking,it,to,the man,the,man,pronominal,nominal,53.381129,-1.470085
5375,4469363,it+nominal,prepositional_dative,say,it,to,his face,his,face,pronominal,nominal,53.34980529999999,-6.260309700000001
5376,4430471,it+nominal,prepositional_dative,say,it,to,their face,their,face,pronominal,nominal,52.63687779999999,-1.1397592
5377,3912776,it+nominal,prepositional_dative,gave,it,to,my dad,my,dad,pronominal,nominal,52.95478320000001,-1.1581086
5378,1575970,it+nominal,prepositional_dative,giving,it,to,the eu,the,eu,pronominal,nominal,52.48636567372243,-0.6840595837272351
5379,111371,it+nominal,prepositional_dative,say,it,to,your face,your,face,pronominal,nominal,51.5073509,-0.12775830000000002
5380,4490761,it+nominal,prepositional_dative,shown,it,to,my son,my,son,pronominal,nominal,53.015049666508354,-1.298855076152893
