index,userid,negation,participial_form,verb_stem,variant,latitude,longitude
2188,1538468,affirmative,standing,stand,present participle,50.719164,-1.880769
2189,321149,affirmative,sitting,sit,present participle,56.46201800000001,-2.970721
2190,2978816,affirmative,sat,sit,past participle,51.46483828342708,-0.13139067668197502
2191,3243992,affirmative,sat,sit,past participle,53.8007554,-1.5490774
2192,2743213,affirmative,stood,stand,past participle,53.4807593,-2.2426305
2193,489640,affirmative,sat,sit,past participle,54.97825200000001,-1.61778
2194,489640,affirmative,sat,sit,past participle,51.5390261,-0.1425516
2195,775871,affirmative,stood,stand,past participle,53.381129,-1.470085
2196,3549075,affirmative,sat,sit,past participle,53.4807593,-2.2426305
2197,3252309,affirmative,standing,stand,present participle,57.07543199999999,-2.534646
2198,734069,affirmative,sitting,sit,present participle,53.7632254,-2.7044052000000014
2199,6160132,affirmative,sitting,sit,present participle,56.8116802684419,-4.319233823163612
2200,1737208,affirmative,sat,sit,past participle,51.8642112,-2.2380335
2201,2658404,affirmative,stood,stand,past participle,52.4750743,-1.8298330000000005
2202,5816295,affirmative,stood,stand,past participle,54.89370079999999,-2.9340058
2203,6572502,affirmative,sat,sit,past participle,53.64579200000001,-1.7850351000000002
2204,4458406,affirmative,sat,sit,past participle,53.4807593,-2.2426305
2205,3625686,affirmative,sat,sit,past participle,53.574585,-1.6529609
2206,4717744,affirmative,stood,stand,past participle,50.7155591,-3.530875
2207,1538334,affirmative,sat,sit,past participle,51.49700116578065,-3.179799570901813
2208,4478019,affirmative,sitting,sit,present participle,51.457876669614194,-2.585389575449031
2209,4466063,affirmative,sat,sit,past participle,54.337961,-1.429959
2210,4168450,affirmative,sitting,sit,present participle,53.40837140000001,-2.9915726
2211,168220,affirmative,sat,sit,past participle,51.527837169768404,-2.4782485758490767
2212,168220,affirmative,sat,sit,past participle,51.527837169768404,-2.4782485758490767
2213,249272,affirmative,standing,stand,present participle,51.5073509,-0.12775830000000002
2214,998685,affirmative,sat,sit,past participle,51.5073509,-0.12775830000000002
2215,1569013,affirmative,standing,stand,present participle,51.5742447,0.4856781
