,userid,construction_type,verb,theme,preposition,goal,theme_type,goal_type,tag,latitude,longitude
476,6156048,it+pronominal_object,drop,it,to,you,pronominal,pronominal,prepositional_dative,51.680886,-4.160248
475,5821958,it+pronominal_object,explain,it,to,you,pronominal,pronominal,prepositional_dative,51.535950691942126,-0.142666816584956
3371,2909445,it+pronominal_object,gave,it,to,her,pronominal,pronominal,prepositional_dative,53.4807593,-2.2426305
926,457475,it+pronominal_object,play,it,to,you,pronominal,pronominal,prepositional_dative,52.480419672383405,-0.921309581993866
927,4629892,it+pronominal_object,given,it,to,me,pronominal,pronominal,prepositional_dative,50.72835417839274,-1.952279084173946
928,2041520,it+pronominal_object,give,it,to,me,pronominal,pronominal,prepositional_dative,51.5073509,-0.12775830000000002
929,512385,it+pronominal_object,give,it,to,them,pronominal,pronominal,prepositional_dative,51.5073509,-0.12775830000000002
930,3615136,it+pronominal_object,send,it,to,me,pronominal,pronominal,prepositional_dative,51.50412247314114,-0.252020731962252
931,686634,it+pronominal_object,give,it,to,him,pronominal,pronominal,prepositional_dative,53.52282,-1.128462
932,686634,it+pronominal_object,give,it,to,him,pronominal,pronominal,prepositional_dative,53.52282,-1.128462
474,648306,it+pronominal_object,given,it,to,me,pronominal,pronominal,prepositional_dative,52.35665667873876,0.032597910138061
934,2270470,it+pronominal_object,show,it,to,you,pronominal,pronominal,prepositional_dative,53.01995672235197,-2.2788338304907816
935,4664678,it+pronominal_object,give,it,to,you,pronominal,pronominal,prepositional_dative,51.58790118320384,-0.102161593288369
936,4516258,it+pronominal_object,mention,it,to,them,pronominal,pronominal,prepositional_dative,50.873872,0.00878
937,5212611,it+pronominal_object,post,it,to,me,pronominal,pronominal,prepositional_dative,57.64945400000001,-3.318485
938,1507519,it+pronominal_object,give,it,to,me,pronominal,pronominal,prepositional_dative,51.524835183228426,-0.17311459311106198
939,1885489,it+pronominal_object,send,it,to,him,pronominal,pronominal,prepositional_dative,53.903027,-2.772196
940,1758689,it+pronominal_object,sing,it,to,me,pronominal,pronominal,prepositional_dative,54.89370079999999,-2.9340058
3370,2909445,it+pronominal_object,gave,it,to,her,pronominal,pronominal,prepositional_dative,53.4807593,-2.2426305
942,3617951,it+pronominal_object,recommend,it,to,you,pronominal,pronominal,prepositional_dative,51.75428567554068,-1.233433083800213
943,6271864,it+pronominal_object,get,it,to,you,pronominal,pronominal,prepositional_dative,53.2326344,-2.6103158
944,1347809,it+pronominal_object,give,it,to,ya,pronominal,pronominal,prepositional_dative,51.8985143,-8.4756035
945,5320435,it+pronominal_object,say,it,to,her,pronominal,pronominal,prepositional_dative,54.574227,-1.234956
