,placename,at,at_the,down_,down_the,in_,in_the,up_,up_the,longitude,latitude
59,Ballachulish,0.16987011274459518,0.39079464026278377,0.10227086653361064,0.057714807411912414,0.1869685190290151,0.7834796068379131,0.2616008938114439,0.2055286143683953,-5.1337199999999985,56.67393000000001
60,Monaghan,0.17072552930892218,0.01,0.01,0.4341585295112873,0.3681969347277392,0.8288206185302156,0.5700134711368596,0.10662741837658786,-6.9683132,54.2492
61,Hexham,0.1711312098721234,0.5755945009522677,0.14874299229784327,0.1337748203848951,0.2183179792370537,0.5782086901436685,0.2853547230910323,0.24317011221481405,-2.1121439,54.97266
62,Stockton,0.17251635425312747,0.6200638996585759,0.13532827884189114,0.11719379713807458,0.18633266476838725,0.5740207709165251,0.17307958709515964,0.1888627975649007,-1.3289821000000002,54.57046
63,Dunoon,0.17423530644207927,0.384753077433344,0.12546654591573794,0.03667888832555215,0.20033555634690844,0.7903887101621183,0.2468720356280329,0.21242884756665287,-4.926214,55.95097
64,Rothesay,0.17486308962121178,0.3857228773502207,0.1257011356772124,0.03720661835710777,0.20117721149745574,0.7888165080210704,0.2473336040344397,0.2128260230761284,-5.055793,55.83596
65,Kilmarnock,0.17565772221398052,0.40446026004460667,0.13340331069049371,0.04701975513214116,0.19366230008962496,0.7727378593779946,0.19499157146876708,0.22797101323065586,-4.498792,55.61472
66,Ruthin,0.17578076139621138,0.40956349625121374,0.06814244177754572,0.1686379548553692,0.18569335515366409,0.7200425518825013,0.2614545707839748,0.1565056387547119,-3.3103108,53.11487
67,Irvine,0.1760300819357583,0.3932085785469071,0.12613720438478562,0.04042625635018509,0.2046989083914449,0.7793123077635551,0.19855331373922866,0.23213516353290986,-4.6696364,55.61156999999999
68,Donegal,0.1760778972069751,0.06759466554280957,0.01,0.3116100747464142,0.28110038100807466,0.8836120828686755,0.01,0.2166901681812768,-8.1096143,54.653830000000006
69,Hartlepool,0.17626790501407827,0.6176181078661183,0.13414714369605982,0.11402734668778618,0.1892902405527682,0.5758039070795069,0.17156896134056107,0.18721441712081885,-1.212926,54.69174
70,Oban,0.17699001096754266,0.3679172308976327,0.12870223273793133,0.04548132126568645,0.1969684519951456,0.8031329786892406,0.25323866483521,0.1800103141213195,-5.471047,56.41516
71,Llangollen,0.17808575716571778,0.4305667871326359,0.08919050470256723,0.18439488736325813,0.15286265375202732,0.7089928542719716,0.2632411793897764,0.17727198415911005,-3.17166,52.96921
72,Galway,0.17903198187760352,0.3437542747703907,0.3162647963270969,0.02193013025818932,0.08307624922971517,0.8694315023877124,0.3370752742467113,0.3152685691780578,-9.0567905,53.27067
73,Market Drayton,0.18131659826085908,0.6325455321398942,0.0250849876239191,0.29405326735923354,0.16822267020504142,0.4853409305638325,0.192496332663732,0.25206020122941275,-2.483485,52.90355
74,Dumfries,0.18245007901780075,0.4491663632697448,0.20413586975579368,0.05291429793567695,0.2148504622952798,0.720197034010745,0.19891948355146066,0.2279119949548205,-3.60512,55.07086
75,Stornoway,0.1836719703474481,0.4580708129682814,0.09414439067429134,0.03969996886034483,0.17267330449402662,0.7526487600358451,0.10702844702178012,0.15015653570310158,-6.3848692000000025,58.20943000000001
76,Balivanich,0.18533994682560406,0.4102238017356528,0.052555150841417625,0.056436339078243726,0.2134064698188296,0.7595514406895106,0.1613183800594222,0.1911172869583635,-7.3743509,57.47227
77,Darlington,0.1857393609999849,0.6089720771470003,0.1352392524111462,0.12042179618477393,0.18945547558560824,0.5781907742732154,0.17296572576472855,0.1887385531649569,-1.559458,54.52361
78,Middlesbrough,0.18579649411892604,0.6207342174526639,0.13526149988229394,0.11701470196427145,0.1861173962082465,0.572040222143272,0.17299417941206022,0.18876960114977048,-1.234956,54.57423000000001
79,Stirling,0.1860756208731232,0.4556837009146519,0.0920279846325616,0.04691612022380078,0.16688759048967688,0.7459316607572465,0.23540040141961616,0.2025577261690497,-3.9369029,56.11652
80,Mull,0.18617413940344799,0.3705178121523415,0.12773794419588694,0.04783422012026423,0.1906479182839163,0.8020671534149503,0.25134130318242304,0.17866160662330896,-6.0008870000000005,56.4392
81,Bangor,0.18657428919738595,0.41857778563366216,0.07074909619991082,0.1349736830567675,0.19673466273705367,0.7182962615662999,0.2714559986078629,0.20311557128396976,-4.129263,53.22739
82,Oswestry,0.18711257199706136,0.4769650551805,0.09047110934260214,0.1909701885579192,0.13890502731215534,0.6732848342832687,0.2937228998728069,0.17981727189864818,-3.056412,52.85715
83,Sunderland,0.1881891648415809,0.575762724652782,0.14814006298839252,0.13065474216477935,0.21424155979659573,0.5804982031734074,0.2841980443498529,0.2303705476875013,-1.383801,54.90687
84,Fort William,0.1885980603346987,0.4275715856904577,0.0905770292329578,0.05597711347762498,0.18609770068990286,0.7560311411631996,0.20594574659513548,0.1926223229397516,-5.1052179,56.81981999999999
85,Durham,0.1890240657938132,0.5687390260650413,0.14643843751962646,0.13008661208420969,0.2138336897991797,0.5877524405302962,0.2497187324826756,0.227724378041802,-1.584852,54.77525
86,Westmeath,0.19030167349362484,0.17462591772112054,0.01,0.12299868696327655,0.2242663713122129,0.9151345498772758,0.3772486225133601,0.07056858958876346,-7.4653217,53.53453
87,Nantwich,0.19085834678222974,0.5662117416763276,0.097798055857909,0.17916515371410646,0.2294471910286292,0.5740745185278832,0.1563498590831655,0.0818915911739856,-2.524102,53.06718000000001
88,Cumnock,0.19111842916344665,0.3977093440872579,0.20245574256202167,0.04699755267042217,0.18671890424916648,0.7782268764423539,0.19728228288602154,0.2121972248784818,-4.265828900000002,55.45355
89,Islay,0.1915786545545544,0.3801526957488915,0.12757330377285495,0.04141876259778917,0.2024512005524144,0.7910333434631242,0.20081387714411525,0.19721357757491573,-6.177067,55.73625
90,South Shields,0.1923491206826113,0.5611005632156529,0.14990219061483442,0.13801225856930707,0.21976169528517625,0.5850992015268375,0.2875785713583763,0.2331108012083305,-1.427406,54.99941999999999
