index,placename,longitude,latitude,past_participle,present_participle
121,Caernarfon,-4.273911,53.13955,0.26060771539914346,0.1332250505801842
122,Cumnock,-4.265828900000001,55.45355,0.04158796069860971,0.3868818106359003
123,Aberaeron,-4.2581619,52.24279,0.14954003376744265,0.12703644252882107
124,Alness,-4.256825,57.69595,0.09850810698271387,0.26006327141476804
125,Glasgow,-4.251806,55.86424,0.17718838948640137,0.9406394977603996
126,Dalwhinnie,-4.242783,56.9366,0.015470019574995816,0.07333938837864458
127,Inverness,-4.224721,57.47776999999999,0.1704425538408504,0.4312954217565243
128,Saltash,-4.21643,50.409209999999995,0.2525944665003191,0.08146498079003806
129,Bideford,-4.206666,51.01668,0.27242739193723037,0.10875782111074636
130,Invergordon,-4.1728819999999995,57.688109999999995,0.10461617658399995,0.25814863611977784
131,Llanelli,-4.160248,51.680890000000005,0.2835878266497539,0.22077236970666547
132,Plymouth,-4.1426565,50.37546,0.5215328114150477,0.19151234951631255
133,Tavistock,-4.141654,50.551120000000004,0.27737778683206415,0.10347270327967108
134,Porthmadog,-4.1333839999999995,52.92784,0.21754297941128314,0.142120329110645
135,Bangor,-4.129263,53.22739,0.3420308835438615,0.18457737346108427
136,Tywyn,-4.087249,52.58701,0.12515191421153085,0.09869418958246763
137,Aberystwyth,-4.08292,52.4153,0.23541584392528342,0.2526466061897517
138,Lampeter,-4.0785089999999995,52.1129,0.15898433207230467,0.1432203654430555
139,Barnstaple,-4.058338,51.07816,0.3234660123123669,0.16028038765046523
140,Tain,-4.05523,57.8115,0.07192309091406852,0.18749819593301056
141,Okehampton,-4.004263,50.73831,0.21657446653833046,0.07282056209592645
142,Llandeilo,-3.9914300000000003,51.88469,0.21810659447125247,0.1646720794750447
143,Motherwell,-3.9810968,55.78321,0.11179044580238849,0.5730279279471212
144,Golspie,-3.976086,57.97341,0.020141260425019396,0.06816438478076944
145,Airdrie,-3.9625660000000003,55.86626999999999,0.09859783839440678,0.49578334507395744
146,Swansea,-3.9436459999999998,51.62144,0.43128778804184015,0.3222883531408379
