,placename,b._fairly_acceptable,did_it,done_it,longitude,latitude
162,Colwyn Bay,0.01,0.4181818000000001,0.5818182,-3.72764,53.29318000000001
163,Totnes,0.01,0.4387755,0.5612245,-3.685797,50.43374
164,Grantown-on-Spey,0.01,0.45,0.55,-3.609628,57.33041
165,Dumfries,0.01,0.4433962,0.5566038000000001,-3.60512,55.07086
166,Whitehaven,0.01,0.4814815,0.5185185,-3.589233,54.5497
167,Dartmouth,0.01,0.4387755,0.5612245,-3.578807,50.35252
168,Bridgend,0.01,0.4038462,0.5961538000000001,-3.576945,51.50429000000001
169,Paignton,0.01,0.4387755,0.5612245,-3.564235,50.43508
170,Workington,0.01,0.4814815,0.5185185,-3.542752,54.64357
171,Llanidloes,0.01,0.4339623,0.5660377,-3.540195,52.44779000000001
172,Exeter,0.01,0.42,0.58,-3.533899,50.71841
173,Torquay,0.01,0.4285714,0.5714286,-3.525315,50.46192
174,Thurso,0.01,0.45,0.55,-3.5220800000000003,58.59356999999999
175,Livingston,0.01,0.4423077,0.5576923,-3.518068,55.90071
176,Rhyl,0.01,0.4166667000000001,0.5833333,-3.4916339999999995,53.31914
177,Tiverton,0.01,0.43,0.57,-3.491207,50.90205
178,Tiverton,0.01,0.43,0.57,-3.491207,50.90205
179,Minehead,0.01,0.4215686,0.5784314,-3.481152,51.20428
180,Dunfermline,0.01,0.4509804,0.5490195999999999,-3.452151,56.07174000000001
181,Perth,0.01,0.4509804,0.5490195999999999,-3.4308381000000003,56.39499
182,Prestatyn,0.01,0.4074074,0.5925925999999999,-3.407613,53.33651
183,Builth Wells,0.01,0.4351852,0.5648148000000001,-3.404592,52.15002
184,Braemar,0.01,0.4509804,0.5490195999999999,-3.3979439,57.00646999999999
185,Brecon,0.01,0.4339623,0.5660377,-3.391463,51.94895
186,Merthyr Tydfil,0.01,0.4351852,0.5648148000000001,-3.381646,51.74873
187,Llandrindod Wells,0.01,0.4444444,0.5555555999999999,-3.377742,52.2417
188,Corwen,0.01,0.4807692,0.5192308,-3.369242,52.98005
189,Cockermouth,0.01,0.4722222,0.5277778000000001,-3.367985,54.66326
190,Lockerbie,0.01,0.4433962,0.5566038000000001,-3.349008,55.12224000000001
191,Blairgowrie,0.01,0.4509804,0.5490195999999999,-3.3378318,56.58941
192,Elgin,0.01,0.45,0.55,-3.318485,57.64945
193,Newtown,0.01,0.4615385,0.5384614999999999,-3.313106,52.51211
194,Ruthin,0.01,0.4722222,0.5277778000000001,-3.3103108,53.11487
195,Ruthin,0.01,0.4722222,0.5277778000000001,-3.3103108,53.11487
196,Sidmouth,0.01,0.4387755,0.5612245,-3.23756,50.67865
197,Barrow-in-Furness,0.01,0.462963,0.537037,-3.218894,54.10896999999999
198,Peebles,0.01,0.4423077,0.5576923,-3.193642,55.65306999999999
199,Edinburgh,0.01,0.4423077,0.5576923,-3.188267,55.95325
200,Cardiff,0.01,0.4230769,0.5769231,-3.17909,51.48158
201,Llangollen,0.01,0.4907407,0.5092593,-3.17166,52.96921
202,Kirkcaldy,0.01,0.4607843,0.5392157,-3.158137,56.11682
203,Welshpool,0.01,0.4711538,0.5288461999999999,-3.146407,52.66035
204,Mold,0.01,0.4910714,0.5089286,-3.141903,53.1672
205,Mold,0.01,0.4910714,0.5089286,-3.141903,53.1672
206,Taunton,0.01,0.4411765,0.5588234999999999,-3.106849,51.01534
207,Wick,0.01,0.45,0.55,-3.093716,58.43894
208,John o' Groats,0.01,0.45,0.55,-3.0688997,58.63734
209,Dalkeith,0.01,0.4423077,0.5576923,-3.066606,55.89312
210,Oswestry,0.01,0.4811321,0.5188679,-3.056412,52.85715
211,Blackpool,0.01,0.4444444,0.5555555999999999,-3.0356748,53.81751
212,Birkenhead,0.01,0.4117647,0.5882353,-3.023009,53.38999
213,Cupar,0.01,0.4607843,0.5392157,-3.010137,56.32023
214,Southport,0.01,0.4326923,0.5673077,-3.010113,53.64571
215,Bridgwater,0.01,0.4509804,0.5490195999999999,-3.003632,51.12789
216,Langholm,0.01,0.4537037,0.5462963000000001,-2.998913,55.15306
217,Newport,0.01,0.4150943,0.5849057,-2.997664,51.58415
218,Axminster,0.01,0.4489795999999999,0.5510204000000001,-2.994937,50.78273
219,Wrexham,0.01,0.490566,0.509434,-2.992494,53.04304000000001
220,Liverpool,0.01,0.3962264,0.6037736,-2.9915726,53.40837
221,Weston-super-Mare,0.01,0.4423077,0.5576923,-2.977255,51.34741
222,Dundee,0.01,0.4607843,0.5392157,-2.970721,56.46202
223,Kirkwall,0.01,0.45,0.55,-2.9622491,58.98467
224,Ambleside,0.01,0.4716981,0.5283019,-2.961333,54.42874000000001
225,Orkney Islands,0.01,0.45,0.55,-2.9605206,58.98094
226,Lyme Regis,0.01,0.4591837,0.5408163,-2.936639,50.72516
227,Carlisle,0.01,0.4716981,0.5283019,-2.932931,54.89247
228,Chester,0.01,0.4622642,0.5377358,-2.893075,53.19339
229,Forfar,0.01,0.4509804,0.5490195999999999,-2.889062,56.64356
230,Morecambe,0.01,0.4622642,0.5377358,-2.864968,54.07417
231,Selkirk,0.01,0.4519231,0.5480769,-2.838524,55.55066
232,Galashiels,0.01,0.4423077,0.5576923,-2.814449,55.62373
233,Lancaster,0.01,0.4811321,0.5188679,-2.8007399,54.04657
234,St Andrews,0.01,0.4705882000000001,0.5294118,-2.7967214,56.33978000000001
235,Hawick,0.01,0.4615385,0.5384614999999999,-2.780914,55.42706
236,Bridport,0.01,0.4705882000000001,0.5294118,-2.758301,50.73358
237,Shrewsbury,0.01,0.45,0.55,-2.7553268,52.7073
238,Penrith,0.01,0.462963,0.537037,-2.752708,54.6641
239,Kendal,0.01,0.490566,0.509434,-2.74629,54.32801
240,Street,0.01,0.4423077,0.5576923,-2.742919,51.12468
241,Glastonbury,0.01,0.4313725000000001,0.5686275,-2.718454,51.14743
242,Hereford,0.01,0.4464286,0.5535714,-2.715974,52.0564
243,Ludlow,0.01,0.4351852,0.5648148000000001,-2.7139129,52.36775
244,Preston,0.01,0.4705882000000001,0.5294118,-2.70309,53.7632
245,Whitchurch,0.01,0.5096154,0.4903846,-2.682045,52.96872
246,Wells,0.01,0.4215686,0.5784314,-2.6445979,51.20935
247,Yeovil,0.01,0.4509804,0.5490195999999999,-2.633308,50.94206
248,Wigan,0.01,0.4519231,0.5480769,-2.6325074,53.54506
249,Warrington,0.01,0.4183673,0.5816326999999999,-2.5969501,53.39004
250,Arbroath,0.01,0.4607843,0.5392157,-2.591543,56.55911
251,Bristol,0.01,0.4433962,0.5566038000000001,-2.58791,51.45451
252,Guernsey,0.01,0.45,0.55,-2.585278,49.46569
253,Ross-on-Wye,0.01,0.4553571,0.5446429,-2.582446,51.91445
254,Jedburgh,0.01,0.4285714,0.5714286,-2.5549369,55.47772
255,Sedbergh,0.01,0.4711538,0.5288461999999999,-2.5281740000000004,54.32363
256,Sedbergh,0.01,0.4711538,0.5288461999999999,-2.5281740000000004,54.32363
257,Nantwich,0.01,0.5192308,0.4807692,-2.524102,53.06718000000001
258,Banff,0.01,0.45,0.55,-2.524038,57.66651
259,Dunbar,0.01,0.4509804,0.5490195999999999,-2.516737,56.00209
260,Cinderford,0.01,0.4473684,0.5526316,-2.5009579,51.8253
261,Banchory,0.01,0.45,0.55,-2.4909599,57.05386
262,Blackburn,0.01,0.4411765,0.5588234999999999,-2.487529,53.74858
263,Market Drayton,0.01,0.490566,0.509434,-2.483485,52.90355
264,Telford,0.01,0.4313725000000001,0.5686275,-2.4672611,52.67759
265,Montrose,0.01,0.46,0.54,-2.4661150000000003,56.70692
266,Turriff,0.01,0.45,0.55,-2.4623,57.53893000000001
267,Weymouth,0.01,0.44,0.56,-2.457621,50.61443
268,Crewe,0.01,0.4803922000000001,0.5196078,-2.4438209,53.1004
269,Fortuneswell,0.01,0.4387755,0.5612245,-2.442219,50.55919
270,Dorchester,0.01,0.44,0.56,-2.4411810000000003,50.71116
271,Alston,0.01,0.4385965,0.5614034999999999,-2.438685,54.81217
272,Kelso,0.01,0.4615385,0.5384614999999999,-2.432207,55.60003
273,Wincanton,0.01,0.4411765,0.5588234999999999,-2.416007,51.05569000000001
274,Clitheroe,0.01,0.4411765,0.5588234999999999,-2.3930830000000003,53.8711
275,Sark,0.01,0.45,0.55,-2.3666256000000003,49.43007
276,Bath,0.01,0.4134615,0.5865385000000001,-2.3590167,51.38106
277,Kidderminster,0.01,0.4035088,0.5964911999999999,-2.2496839,52.3886
278,Manchester,0.01,0.3921569,0.6078431,-2.2426305,53.48076
279,Burnley,0.01,0.4607843,0.5392157,-2.2405035,53.78929
280,Gloucester,0.01,0.4528302,0.5471698,-2.238156,51.86424
281,Newcastle-under-Lyme,0.01,0.4811321,0.5188679,-2.2273002,53.01321
282,Worcester,0.01,0.4545455,0.5454545,-2.221575,52.19364
283,Trowbridge,0.01,0.4245283,0.5754716999999999,-2.208853,51.31966
284,Shaftesbury,0.01,0.4519231,0.5480769,-2.198083,51.0046
285,Alderney,0.01,0.46,0.54,-2.1973557,49.715
286,Stoke-on-Trent,0.01,0.4811321,0.5188679,-2.179404,53.00267
287,Colne,0.01,0.5,0.5,-2.176991,53.85564
288,Blandford Forum,0.01,0.46,0.54,-2.165353,50.85691
289,Rochdale,0.01,0.4081633,0.5918366999999999,-2.1561,53.60971
290,Jersey,0.01,0.46,0.54,-2.13125,49.21444
291,Wolverhampton,0.01,0.4107143,0.5892857,-2.12882,52.58697
292,Stafford,0.01,0.462963,0.537037,-2.12066,52.80669
293,Macclesfield,0.01,0.4489795999999999,0.5510204000000001,-2.119287,53.25866
294,Hexham,0.01,0.3928571,0.6071429,-2.1121439,54.97266
295,Aberdeen,0.01,0.46,0.54,-2.094278,57.14972
296,Dudley,0.01,0.3965517,0.6034483,-2.081112,52.51225
297,Cheltenham,0.01,0.4528302,0.5471698,-2.0782533,51.89939
