index,placename,longitude,latitude,hw,kw,w
75,Campbeltown,-5.605373999999999,55.424119999999995,0.24463330352277934,0.2957594146876824,0.09314903073607647
76,Penzance,-5.537592,50.1188,0.01,0.01,0.2652245710398185
77,Oban,-5.471047,56.41516,0.33738337537507856,0.3729311125415433,0.12117395095741297
78,Lochgilphead,-5.4323449,56.03829,0.19847969728079587,0.23996012909865494,0.06739474035535488
79,Helston,-5.274996,50.10159,0.01,0.01,0.18979410928539248
80,Redruth,-5.226666000000001,50.23302,0.01,0.01,0.21719254410497085
81,Ullapool,-5.161313,57.895419999999994,0.2885261332563833,0.01,0.06487667608268943
82,Ballachulish,-5.133719999999999,56.673930000000006,0.11297652537858466,0.01,0.01
83,Fort William,-5.1052179,56.81981999999999,0.36332886510145257,0.01,0.1107612453357675
84,Achnasheen,-5.078765799999999,57.578590000000005,0.12166702892181383,0.01,0.01
85,Newquay,-5.0737190000000005,50.4155,0.01,0.01,0.2569111169993943
86,Falmouth,-5.066269999999999,50.152570000000004,0.01,0.01,0.28035212612794974
87,Rothesay,-5.055793,55.83596,0.29121776965607743,0.35207960592378473,0.11914374633289375
88,Truro,-5.051041000000001,50.2632,0.01,0.01,0.404217988455866
89,Milford Haven,-5.0426971,51.71431,0.01,0.01,0.1782353455841634
90,Stranraer,-5.024055000000001,54.903369999999995,0.14535237816180646,0.3307852896685804,0.14299354539243092
91,Fishguard,-4.975989,51.99393,0.01,0.01,0.13433626777991284
92,Inchnadamph,-4.974295,58.15221,0.12166702892181383,0.01,0.01
93,Haverfordwest,-4.971319,51.80048,0.01,0.01,0.2000758457573329
94,Dunoon,-4.926214,55.95097,0.2916653860567936,0.3223961370091069,0.09887843998057853
95,Pembroke,-4.908637000000001,51.674040000000005,0.01,0.01,0.2652865730516209
96,Girvan,-4.8542179,55.240159999999996,0.2589186717369757,0.3130302935123855,0.10112044513119425
97,Wadebridge,-4.836456,50.51665,0.01,0.01,0.2080273510852143
98,Invergarry,-4.800261,57.07095,0.13035752951027235,0.01,0.01
99,St Austell,-4.7834252,50.340379999999996,0.01,0.01,0.2283914224761606
100,Greenock,-4.7719830000000005,55.956480000000006,0.44808784195282947,0.49529973796139665,0.17516172877907846
101,Helensburgh,-4.734014,56.00232,0.30807155382626333,0.340530908445339,0.10687931445135726
102,Bodmin,-4.7188629,50.4715,0.01,0.01,0.19073808157015976
103,Tenby,-4.703579,51.672740000000005,0.01,0.01,0.2000758457573329
104,Camelford,-4.682364,50.62206,0.01,0.01,0.13599726395968542
105,Irvine,-4.6696364,55.61156999999999,0.4388498519552466,0.5305654360260638,0.2015242974237156
106,Cardigan,-4.660864,52.0837,0.01,0.01,0.16540313343086668
107,Holyhead,-4.633038,53.30944,0.04208115977124225,0.32560469106893947,0.16659559726935452
108,Ayr,-4.629179,55.45856,0.4716826806422644,0.5702600240285067,0.21984542707916507
109,Dumbarton,-4.564554,55.94529,0.47260470369088775,0.01,0.1571150207034574
110,Bude,-4.543678,50.826640000000005,0.01,0.01,0.20102927676098298
111,Isle of Man,-4.5126330999999995,54.27697,0.11166266040894374,0.5399965362381559,0.2938431129018318
