index,placename,longitude,latitude,avoid,demsel,demsels,emsel,emself,emsels,emsen,hersel,himself,himsen,theirsel,theirself,theirselfs,theirseln,theirsels,theirselves,theirsen,theirsens,them,themsel,themself,themselfs,themselns,themsels,themselves,themsen,themsens,theysen
51,Wexford,-6.4633381,52.33692,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5031852625095072,0.01,0.01,0.01,0.3389658933152052,0.01,0.01,0.01
52,Craigavon,-6.4175653,54.442930000000004,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.09163375299375501,0.01,0.01,0.01,0.5268796098676922,0.01,0.01,0.13536750521817648,0.01,0.37849303905099063,0.09064968958226112,0.01,0.01,0.0956130499531003,0.01,0.01,0.01
53,Drogheda,-6.3560985,53.717859999999995,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.7166373537213364,0.01,0.2504684042437815,0.01,0.01,0.01,0.2530884329808543,0.01,0.01,0.01
54,Rosslare,-6.3414908,52.25131,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.11091166786535518,0.01,0.01,0.01,0.07471457409058982,0.01,0.01,0.01
55,Newry,-6.34023,54.1751,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.09154568579303035,0.01,0.01,0.01,0.07519617612262978,0.01,0.01,0.9466618533508896,0.01,0.37812927764917115,0.09056256814341082,0.01,0.01,0.09552115833688886,0.01,0.01,0.01
56,Ballymena,-6.2802213,54.86529,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.9691756884942379,0.01,0.2597137511805953,0.4381625180883009,0.01,0.01,0.01,0.01,0.2754164069556321,0.17590044754383052,0.01,0.01,0.139148702336472,0.01,0.01,0.01
57,Banbridge,-6.2704803,54.34873,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.07797059564107227,0.01,0.01,0.01,0.4483186126330489,0.01,0.01,0.11518337585743649,0.01,0.20128586376450822,0.07713326214947128,0.01,0.01,0.20339141775253236,0.01,0.01,0.01
58,Dublin,-6.2603097000000005,53.34981,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.6597651824536471,0.01,0.01,0.01,1.0,0.01,0.01,0.01
59,Antrim,-6.2072498,54.719530000000006,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.47289993298071764,0.01,0.01,0.01,0.01,0.5201898639776087,0.01,0.01,0.01,0.07509018833510808,0.01,0.01,0.01
60,Antrim,-6.2072498,54.719530000000006,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.47289993298071764,0.01,0.01,0.01,0.01,0.5201898639776087,0.01,0.01,0.01,0.07509018833510808,0.01,0.01,0.01
