index,placename,longitude,latitude,merger,no merger
70,Portree,-6.1960231,57.41246999999999,0.01,0.2179553159439617
71,Islay,-6.177067,55.73625,0.01,0.17401523059831286
72,Mull,-6.0008870000000005,56.4392,0.01,0.17559164801080965
73,Broadford,-5.9096592,57.24139,0.01,0.06291637152140743
74,Kyle of Lochalsh,-5.7143293,57.28261,0.01,0.06291637152140743
75,Campbeltown,-5.605373999999999,55.424119999999995,0.01,0.18631122922987792
76,Penzance,-5.537592,50.1188,0.01,0.287048856926442
77,Oban,-5.471047,56.41516,0.01,0.23815246992185
78,Lochgilphead,-5.4323449,56.03829,0.01,0.148827225701295
79,Helston,-5.274996,50.10159,0.01,0.21385882931965514
80,Redruth,-5.226666000000001,50.23302,0.01,0.2404434763466903
81,Ullapool,-5.161313,57.895419999999994,0.01,0.16616657611048405
82,Ballachulish,-5.133719999999999,56.673930000000006,0.01,0.06291637152140743
83,Fort William,-5.1052179,56.81981999999999,0.01,0.22974760332203073
84,Achnasheen,-5.078765799999999,57.578590000000005,0.01,0.06291637152140743
85,Newquay,-5.0737190000000005,50.4155,0.01,0.2789823289406087
86,Falmouth,-5.066269999999999,50.152570000000004,0.01,0.3017270936596083
87,Rothesay,-5.055793,55.83596,0.01,0.22414515890727973
88,Truro,-5.051041000000001,50.2632,0.01,0.4219138944886076
89,Milford Haven,-5.0426971,51.71431,0.01,0.2026433837991504
90,Stranraer,-5.024055000000001,54.903369999999995,0.01,0.20984038390482346
91,Fishguard,-4.975989,51.99393,0.01,0.1600481955731277
92,Inchnadamph,-4.974295,58.15221,0.01,0.06291637152140743
93,Haverfordwest,-4.971319,51.80048,0.01,0.22383517784947005
94,Dunoon,-4.926214,55.95097,0.01,0.20420484530302885
95,Pembroke,-4.908637000000001,51.674040000000005,0.01,0.28710901735566313
96,Girvan,-4.8542179,55.240159999999996,0.01,0.19791320004317814
97,Wadebridge,-4.836456,50.51665,0.01,0.23155050771657118
98,Invergarry,-4.800261,57.07095,0.01,0.06291637152140743
99,St Austell,-4.7834252,50.340379999999996,0.01,0.25130972584441835
100,Greenock,-4.7719830000000005,55.956480000000006,0.01,0.320355421780567
101,Helensburgh,-4.734014,56.00232,0.01,0.2163871488814718
102,Bodmin,-4.7188629,50.4715,0.01,0.2147747637574833
103,Tenby,-4.703579,51.672740000000005,0.01,0.22383517784947005
104,Camelford,-4.682364,50.62206,0.01,0.16165985687580017
105,Irvine,-4.6696364,55.61156999999999,0.01,0.3440456811941008
106,Cardigan,-4.660864,52.0837,0.01,0.1901923137684035
107,Holyhead,-4.633038,53.30944,0.01,0.20636023941660622
108,Ayr,-4.629179,55.45856,0.01,0.3707111135745076
109,Dumbarton,-4.564554,55.94529,0.01,0.3025674650341373
110,Bude,-4.543678,50.826640000000005,0.01,0.2247602900634917
111,Isle of Man,-4.5126330999999995,54.27697,0.01,0.35038116362719485
112,Kilmarnock,-4.498792,55.61472,0.01,0.32651695650692075
113,Newton Stewart,-4.483164,54.9603,0.01,0.17154568517307292
114,Liskeard,-4.4647190000000005,50.45552,0.01,0.2305863665315506
115,Altnaharra,-4.442655,58.28023,0.01,0.06291637152140743
116,Pwllheli,-4.417633900000001,52.888819999999996,0.01,0.1901923137684035
117,Lairg,-4.402414,58.022059999999996,0.01,0.06291637152140743
118,Launceston,-4.360451599999999,50.636829999999996,0.01,0.21292781663190044
119,Carmarthen,-4.312131,51.857620000000004,0.01,0.2785784199414165
120,Llangefni,-4.311401999999999,53.25578,0.01,0.26427927929387673
121,Caernarfon,-4.273911,53.13955,0.01,0.25009782021415156
122,Cumnock,-4.265828900000001,55.45355,0.01,0.25631926487974477
123,Aberaeron,-4.2581619,52.24279,0.01,0.1771168883852593
124,Alness,-4.256825,57.69595,0.01,0.2203129334333017
125,Glasgow,-4.251806,55.86424,0.01,0.6538703908468207
126,Dalwhinnie,-4.242783,56.9366,0.01,0.06291637152140743
127,Inverness,-4.224721,57.47776999999999,0.01,0.3620143555581751
128,Saltash,-4.21643,50.409209999999995,0.01,0.2158547380082929
129,Bideford,-4.206666,51.01668,0.01,0.2436753632859727
130,Invergordon,-4.1728819999999995,57.688109999999995,0.01,0.22305302572535338
131,Llanelli,-4.160248,51.680890000000005,0.01,0.3139141505939096
132,Plymouth,-4.1426565,50.37546,0.01,0.4462535554597122
133,Tavistock,-4.141654,50.551120000000004,0.01,0.24378781169930927
134,Porthmadog,-4.1333839999999995,52.92784,0.01,0.2281789853800222
135,Bangor,-4.129263,53.22739,0.01,0.33003730521271357
136,Tywyn,-4.087249,52.58701,0.01,0.14585381551488052
137,Aberystwyth,-4.08292,52.4153,0.01,0.30177677677958775
138,Lampeter,-4.0785089999999995,52.1129,0.01,0.19216477664588097
139,Barnstaple,-4.058338,51.07816,0.01,0.3047018402638423
140,Tain,-4.05523,57.8115,0.01,0.16270202380110566
141,Okehampton,-4.004263,50.73831,0.01,0.18843826703359823
142,Llandeilo,-3.9914300000000003,51.88469,0.01,0.24126698907553276
143,Motherwell,-3.9810968,55.78321,0.01,0.4053593512591672
144,Golspie,-3.976086,57.97341,0.01,0.06291637152140743
145,Airdrie,-3.9625660000000003,55.86626999999999,0.01,0.3534843963472733
146,Swansea,-3.9436459999999998,51.62144,0.06916675074212099,0.43564510028638054
147,Stirling,-3.9369029,56.116519999999994,0.01,0.37954803235692536
148,Tregaron,-3.934385,52.22,0.01,0.18843826703359823
149,Tregaron,-3.934385,52.22,0.01,0.18843826703359823
150,Castle Douglas,-3.9314139999999997,54.940419999999996,0.01,0.19047882395062127
151,Dolgellau,-3.8844,52.74215,0.01,0.1535564786044242
152,Aberfeldy,-3.866969,56.62175,0.01,0.22014767580305172
153,Machynlleth,-3.853485,52.59027,0.01,0.18243785331595738
154,Brora,-3.8525480000000005,58.012159999999994,0.01,0.14179138830298563
155,Llandudno,-3.827609,53.324059999999996,0.01,0.28509768481754044
