,placename,after_perfective,after_perfective_with_modifier,control,longitude,latitude
59,Antrim,0.01,0.12626829475284895,0.9667002612559836,-6.2072498,54.719530000000006
60,Antrim,0.01,0.12626829475284895,0.9667002612559836,-6.2072498,54.719530000000006
61,Wicklow,0.16091040154941924,0.4590650036774439,0.7654349263115799,-6.044589,52.98082
62,Kilkeel,0.15495249000975764,0.559952217266896,0.7508029875295744,-6.007004,54.06312
63,Belfast,0.01783735905430538,0.054858647630501814,0.9732123660831304,-5.93012,54.59728000000001
64,Down,0.08070906675318085,0.09114330151257236,0.9098629270593144,-5.7156922,54.32875
65,Balivanich,0.01,0.01,0.9937038961872064,-7.3743509,57.47227
66,Western Isles,0.01,0.01,0.9965941000149848,-7.0194034,57.75989000000001
67,Dunvegan,0.01,0.01,0.9939905611064864,-6.5813982000000015,57.4366
68,Stornoway,0.01,0.01,0.9964743221903206,-6.3848692000000025,58.20943000000001
69,Scilly Isles,0.01,0.01,0.994783400096524,-6.327496599999999,49.92773
70,Portree,0.01,0.01,1.0,-6.1960231,57.41246999999999
71,Islay,0.01,0.021243074238070685,0.991596508100539,-6.177067,55.73625
72,Mull,0.01,0.030721558274432306,0.9939234053386832,-6.0008870000000005,56.4392
73,Broadford,0.01,0.01,1.0,-5.9096592,57.24139
74,Kyle of Lochalsh,0.01,0.01,1.0,-5.7143293,57.28261
75,Campbeltown,0.01,0.015561392735172182,0.9938442216721676,-5.6053739999999985,55.42412
76,Penzance,0.01,0.01,0.9949262313937176,-5.537592,50.1188
77,Oban,0.01,0.01,1.0,-5.471047,56.41516
78,Lochgilphead,0.01,0.03230930472700092,0.993609677647303,-5.4323449,56.03829
79,Helston,0.01,0.01,0.9949643197396361,-5.274996,50.10159
80,Redruth,0.01,0.01,0.9949182127945772,-5.226666000000002,50.23302
81,Ullapool,0.01,0.01,1.0,-5.161313,57.89542
82,Ballachulish,0.01,0.01,1.0,-5.1337199999999985,56.67393000000001
83,Fort William,0.01,0.01,1.0,-5.1052179,56.81981999999999
84,Achnasheen,0.01,0.01,1.0,-5.078765799999998,57.57859000000001
85,Newquay,0.01,0.01,1.0,-5.0737190000000005,50.4155
86,Falmouth,0.01,0.01,1.0,-5.0662699999999985,50.15257
87,Rothesay,0.01,0.03987907955744265,0.9889568854959075,-5.055793,55.83596
88,Truro,0.01,0.01,1.0,-5.0510410000000014,50.2632
89,Milford Haven,0.01,0.01,1.0,-5.0426971,51.71431
90,Stranraer,0.01,0.01,0.9972556344440926,-5.0240550000000015,54.90337
91,Fishguard,0.01,0.01,1.0,-4.975989,51.99393
92,Inchnadamph,0.01,0.01,1.0,-4.974295,58.15221
93,Haverfordwest,0.01,0.01,1.0,-4.971319,51.80048
94,Dunoon,0.01,0.04432016401652702,0.9912336664894222,-4.926214,55.95097
95,Pembroke,0.01,0.01,1.0,-4.9086370000000015,51.67404000000001
96,Girvan,0.01,0.01,0.9968882823709592,-4.8542179,55.24016
97,Wadebridge,0.01,0.01,1.0,-4.836456,50.51665
98,Invergarry,0.01,0.01,1.0,-4.800261,57.07095
99,St Austell,0.01,0.01,1.0,-4.7834252,50.34038
100,Greenock,0.01,0.04309644704027902,0.9914757279509824,-4.7719830000000005,55.956480000000006
101,Helensburgh,0.01,0.0427979918882772,0.988149011632482,-4.734014,56.00232
102,Bodmin,0.01,0.01,1.0,-4.7188629,50.4715
103,Tenby,0.01,0.01,1.0,-4.703579,51.67274000000001
104,Camelford,0.01,0.01,1.0,-4.682364,50.62206
105,Irvine,0.01,0.01,0.9956784762256052,-4.6696364,55.61156999999999
106,Cardigan,0.01,0.01,1.0,-4.660864,52.0837
