index,placename,longitude,latitude,Y needs X to be Ved,Y needs X Ved,Y needs X Ving
48,Meath,-6.656416900000001,53.60555,0.24588535822237778,0.38526398563015135,0.18744953825835864
49,Armagh,-6.652792,54.350280000000005,0.13898658175861048,0.38093406804550856,0.09948875365294273
50,Armagh,-6.652792,54.350280000000005,0.13898658175861048,0.38093406804550856,0.09948875365294273
51,Magherafelt,-6.607980499999999,54.75536999999999,0.1334953511312907,0.3804835860672288,0.09474613819251633
52,Dunvegan,-6.581398200000001,57.4366,0.01,0.05178651255666427,0.012625021870189903
53,Louth,-6.4889423,53.925230000000006,0.23846778795858173,0.42040517311508024,0.1700190490588863
54,Wexford,-6.4633381,52.33692,0.24233571927956565,0.3926515704998192,0.2254689255358771
55,Craigavon,-6.4175653,54.442930000000004,0.14357443331725084,0.43563223873709817,0.13081720086400955
56,Stornoway,-6.384869200000001,58.209430000000005,0.16825665142490298,0.19647952732382956,0.17246829404629335
57,Drogheda,-6.3560985,53.717859999999995,0.18947249429764101,0.2966987790313233,0.12598466399188185
58,Rosslare,-6.3414908,52.25131,0.02237284864286142,0.0393275033663363,0.01
59,Newry,-6.34023,54.1751,0.13844444926952276,0.446503901999232,0.1250081255439421
60,Scilly Isles,-6.327496599999999,49.92773,0.09294904514081759,0.1982600134637378,0.09556675718301456
61,Ballymena,-6.2802213,54.86529,0.15172329791251468,0.4272318333311136,0.11048903435063842
62,Banbridge,-6.2704803,54.34873,0.1065587022930305,0.3630426792574786,0.10883986817633952
63,Dublin,-6.2603097000000005,53.34981,0.5532620112278966,0.8487201521083049,0.4551578533360963
64,Antrim,-6.2072498,54.719530000000006,0.1668505399741414,0.46602786783819256,0.12355395075582967
65,Antrim,-6.2072498,54.719530000000006,0.1668505399741414,0.46602786783819256,0.12355395075582967
66,Portree,-6.1960231,57.41246999999999,0.08873580233553884,0.2863670418559461,0.14460810142863756
67,Islay,-6.177067,55.73625,0.05337504679712399,0.21524550898948444,0.11818469311003389
68,Wicklow,-6.044589,52.980819999999994,0.23592923167266314,0.358131892781742,0.21744956423848386
69,Kilkeel,-6.007004,54.06312,0.11829594452543962,0.20096132197805683,0.06653320532488645
70,Mull,-6.0008870000000005,56.4392,0.054650407158693265,0.23129735793461786,0.10824915440467855
71,Belfast,-5.93012,54.597280000000005,0.3360550738295232,0.8712583749067475,0.2928331915871666
72,Broadford,-5.9096592,57.24139,0.01,0.05178651255666427,0.010712687821404042
