index,placename,longitude,latitude,goal_theme_ditransitive,prepositional_dative,theme_goal_ditransitive
97,Wadebridge,-4.836456,50.51665,0.10585524355403826,0.19031148878804313,0.08033657432605801
98,Invergarry,-4.800261,57.07095,0.10149834900412298,0.01,0.01728753773438122
99,St Austell,-4.7834252,50.340379999999996,0.1149595410064064,0.2086750554123559,0.08805808314222385
100,Greenock,-4.7719830000000005,55.956480000000006,0.4971782721408059,0.15686608093792603,0.052030297311208465
101,Helensburgh,-4.734014,56.00232,0.3385335448963891,0.09603157736241417,0.033793718937396355
102,Bodmin,-4.7188629,50.4715,0.09812561771560208,0.17472066480544013,0.07378094778052774
103,Tenby,-4.703579,51.672740000000005,0.10610365073539994,0.1884377377568119,0.05780207286862679
104,Camelford,-4.682364,50.62206,0.0736522854067611,0.1253574195112687,0.05302470028616247
105,Irvine,-4.6696364,55.61156999999999,0.5443237374932036,0.16608485434166526,0.0570911073994754
106,Cardigan,-4.660864,52.0837,0.06895591608210071,0.162678251853261,0.053309910616751256
107,Holyhead,-4.633038,53.30944,0.10006288725051259,0.17105340776979966,0.05198525984868165
108,Ayr,-4.629179,55.45856,0.5855364970332566,0.1812323755204796,0.06248334243984697
109,Dumbarton,-4.564554,55.94529,0.4683419615572564,0.1473737444518821,0.04819397357785486
110,Bude,-4.543678,50.826640000000005,0.10272656908524276,0.18400088411436039,0.07768309253681423
111,Isle of Man,-4.5126330999999995,54.27697,0.2139168924222882,0.23908879460421148,0.2436565769827696
112,Kilmarnock,-4.498792,55.61472,0.5130420835572114,0.16134734383524363,0.04328671108444945
113,Newton Stewart,-4.483164,54.9603,0.2292785991727144,0.0782648772037291,0.04776148513315887
114,Liskeard,-4.4647190000000005,50.45552,0.10541100390458903,0.1839082516430053,0.09578353227809443
115,Altnaharra,-4.442655,58.28023,0.09144884024763833,0.010186341982628659,0.010104499376787373
116,Pwllheli,-4.417633900000001,52.888819999999996,0.0771613249862184,0.11733797891846252,0.17430630613710457
117,Lairg,-4.402414,58.022059999999996,0.09144884024763833,0.010186341982628659,0.010104499376787373
