index,placename,longitude,latitude,preposition_drop_determiner,preposition_drop_no_determiner,preposition_retained
136,Tywyn,-4.087249,52.58701,0.010789857261607645,0.03796323993396782,0.11256006958296928
137,Aberystwyth,-4.08292,52.4153,0.023458133249067266,0.09785524098287189,0.2965139308809381
138,Lampeter,-4.0785089999999995,52.1129,0.01,0.06350522150864804,0.1682446794912846
139,Barnstaple,-4.058338,51.07816,0.01,0.24723172277441355,0.27209866733045407
140,Tain,-4.05523,57.8115,0.01,0.011578950738624822,0.1442586528250188
141,Okehampton,-4.004263,50.73831,0.01,0.21978891656309826,0.12911728534011022
142,Llandeilo,-3.9914300000000003,51.88469,0.017263026183228603,0.07400072665896376,0.22584405718320744
143,Motherwell,-3.9810968,55.78321,0.02476444718714,0.017725637026494843,0.4497250851690032
144,Golspie,-3.976086,57.97341,0.01,0.01,0.01702114268628438
145,Airdrie,-3.9625660000000003,55.86626999999999,0.023047648118735876,0.015474191770528644,0.38330100499088615
146,Swansea,-3.9436459999999998,51.62144,0.0467947145907064,0.12644015721510127,0.49068324829675936
147,Stirling,-3.9369029,56.116519999999994,0.01,0.033440540183078196,0.4200784137819463
148,Tregaron,-3.934385,52.22,0.013313862704705132,0.05976874423780418,0.16195843945002314
149,Tregaron,-3.934385,52.22,0.013313862704705132,0.05976874423780418,0.16195843945002314
150,Castle Douglas,-3.9314139999999997,54.940419999999996,0.033565421865919924,0.06088559845408476,0.15524002634236564
151,Dolgellau,-3.8844,52.74215,0.019400336245063644,0.03479440685841799,0.11947113020681988
152,Aberfeldy,-3.866969,56.62175,0.01,0.017543355082444877,0.21648619974074776
153,Machynlleth,-3.853485,52.59027,0.021008981136144737,0.0479274583016463,0.1534042109441426
154,Brora,-3.8525480000000005,58.012159999999994,0.01,0.011383154329014268,0.11737347078144657
155,Llandudno,-3.827609,53.324059999999996,0.24139736673308898,0.06541586635101887,0.18408086908381513
156,Llandudno,-3.827609,53.324059999999996,0.24139736673308898,0.06541586635101887,0.18408086908381513
157,Aviemore,-3.823812,57.19449,0.01,0.01,0.19499800986051935
158,Dalbeattie,-3.8225269999999996,54.934219999999996,0.027617243728649335,0.05194336365564064,0.10561949203583985
159,Falkirk,-3.7839131,56.00188000000001,0.01,0.015503029674552955,0.42566941979246065
160,Kingsbridge,-3.777493,50.28395,0.01,0.2881239653784952,0.15922622753940607
161,Pitlochry,-3.729711,56.70436,0.01,0.023526342677158182,0.14705992458241512
162,Colwyn Bay,-3.72764,53.29318000000001,0.2372203431822667,0.061574278905789745,0.16159616082547068
163,Totnes,-3.685797,50.43374,0.01,0.2911334094508666,0.16784225406601203
164,Grantown-on-Spey,-3.609628,57.33041,0.01,0.01,0.1316890512244021
165,Dumfries,-3.60512,55.070859999999996,0.052070201952772996,0.10009917425119379,0.2810078888427696
166,Whitehaven,-3.589233,54.5497,0.04930848799805751,0.11416723736509878,0.23256585990005235
167,Dartmouth,-3.578807,50.35252,0.01,0.24868854368159227,0.13360207895464604
168,Bridgend,-3.576945,51.504290000000005,0.03623548549250005,0.10745773356242633,0.37192767319052633
169,Paignton,-3.564235,50.43508,0.01,0.39082046205467663,0.25267528116362203
170,Workington,-3.5427519999999997,54.64357,0.051593075392932265,0.11672190540663814,0.22710854552731263
171,Llanidloes,-3.5401949999999998,52.447790000000005,0.016739498586343368,0.05250991984080413,0.1323991022735305
172,Exeter,-3.533899,50.71841,0.01550379737786595,0.4327057835611358,0.45304872134973617
