,placename,off,off_of,longitude,latitude
78,Lochgilphead,0.5580102765059922,0.44198992519268837,-5.4323449,56.03829
79,Helston,0.6106483795509565,0.389353179584652,-5.274996,50.10159
80,Redruth,0.6075214427094815,0.3924774350883167,-5.226666000000001,50.23302
81,Ullapool,0.6882140072375402,0.31178488865273823,-5.161313,57.895419999999994
82,Ballachulish,0.5911430113761345,0.4088581338566324,-5.133719999999999,56.673930000000006
83,Fort William,0.6589719495371589,0.34102956440681526,-5.1052179,56.81981999999999
84,Achnasheen,0.6841953735729926,0.3158040392477475,-5.078765799999999,57.578590000000005
85,Newquay,0.6052902013315524,0.3947085948875499,-5.0737190000000005,50.4155
86,Falmouth,0.6097486854469504,0.3902523132318357,-5.066269999999999,50.152570000000004
87,Rothesay,0.5219865245816473,0.47801533061655227,-5.055793,55.83596
88,Truro,0.6052902013315524,0.3947085948875499,-5.051041000000001,50.2632
89,Milford Haven,0.8241078033468657,0.17589083047624018,-5.0426971,51.71431
90,Stranraer,0.8777095787432339,0.12228921361913568,-5.024055000000001,54.903369999999995
91,Fishguard,0.8282543935062132,0.1717466424839729,-4.975989,51.99393
92,Inchnadamph,0.7185876801887355,0.2814121572497819,-4.974295,58.15221
93,Haverfordwest,0.8459883639562573,0.15401376443018333,-4.971319,51.800470000000004
94,Dunoon,0.5356898654457501,0.4643104401468332,-4.926214,55.95097
95,Pembroke,0.8322010516424427,0.16780110680688876,-4.908637000000001,51.674040000000005
96,Girvan,0.6027390687166436,0.3972629645627142,-4.8542179,55.240159999999996
97,Wadebridge,0.5702261231181424,0.42977276782254753,-4.836456,50.51665
98,Invergarry,0.6740068376751935,0.3259917680847782,-4.800261,57.07095
99,St Austell,0.6067417078193461,0.3932595685997867,-4.7834252,50.340379999999996
100,Greenock,0.53257492452566,0.46742657841620205,-4.7719830000000005,55.956480000000006
101,Helensburgh,0.5311354139592601,0.468864008654971,-4.734014,56.00232
102,Bodmin,0.586696523182117,0.4133025395587215,-4.7188629,50.4715
103,Tenby,0.8401103624767555,0.15988892264627594,-4.703579,51.672740000000005
104,Camelford,0.526836875462343,0.4731619042759751,-4.682364,50.62206
105,Irvine,0.6058220205130305,0.3941770959798578,-4.6696364,55.61156999999999
106,Cardigan,0.7609532758862023,0.23904563237213816,-4.660864,52.0837
107,Holyhead,0.8941799788072085,0.10582202431987371,-4.633038,53.30944
108,Ayr,0.637351300557814,0.36264787861479836,-4.629179,55.45856
109,Dumbarton,0.5704220565007913,0.42957759432206255,-4.564554,55.94529
110,Bude,0.46204690405262633,0.5379539483307249,-4.543678,50.826640000000005
111,Isle of Man,0.9106943639162757,0.0893067314104738,-4.5126330999999995,54.27697
112,Kilmarnock,0.6154667413079623,0.3845327819905201,-4.498792,55.61472
113,Newton Stewart,0.7191794789771512,0.2808199590235615,-4.483164,54.9603
114,Liskeard,0.5716456404822372,0.42835457103055846,-4.4647190000000005,50.45552
115,Altnaharra,0.7104984305336232,0.28950044140960285,-4.442655,58.28023
116,Pwllheli,0.8178619269448449,0.18213702227377085,-4.417633900000001,52.888819999999996
117,Lairg,0.6924885538916831,0.3075119045438838,-4.402414,58.022059999999996
118,Launceston,0.47078793210308745,0.5292132064762894,-4.360451599999999,50.636829999999996
119,Carmarthen,0.8644900733750563,0.13551042888666973,-4.312131,51.857620000000004
120,Llangefni,0.8695683467621087,0.1304312794544643,-4.311401999999999,53.255790000000005
121,Caernarfon,0.8922406381830249,0.10775772478801025,-4.273911,53.13955
122,Cumnock,0.6933042765459729,0.30669598254482733,-4.265828900000001,55.45355
123,Aberaeron,0.7016254473479109,0.2983738580590821,-4.2581619,52.24279
124,Alness,0.6972629306035918,0.30273913072337993,-4.256825,57.69595
125,Glasgow,0.5571105824019861,0.4428874993712142,-4.251806,55.86424
126,Dalwhinnie,0.7039766479397063,0.29602249921406776,-4.242783,56.9366
127,Inverness,0.7058879980806556,0.2941126699311011,-4.224721,57.47776999999999
128,Saltash,0.4384429294040052,0.5615563865079891,-4.21643,50.409209999999995
129,Bideford,0.5591578863186556,0.4408434358245459,-4.206666,51.01668
130,Invergordon,0.6980906491792843,0.30191021315217476,-4.1728819999999995,57.688109999999995
131,Llanelli,0.8583641561868973,0.1416349421425132,-4.160248,51.680890000000005
132,Plymouth,0.4483475618289791,0.5516530807623228,-4.1426565,50.37546
133,Tavistock,0.49190875102465315,0.5080917229881435,-4.141654,50.551120000000004
134,Porthmadog,0.777355699062319,0.22264637992543185,-4.1333839999999995,52.92784
135,Bangor,0.8720115160845316,0.12798779199950994,-4.129263,53.22739
136,Tywyn,0.7163284483275766,0.28367238714425225,-4.087249,52.58701
137,Aberystwyth,0.6744906731711233,0.3255105320515194,-4.08292,52.4153
138,Lampeter,0.7551792390587219,0.24482038479849147,-4.0785089999999995,52.1129
139,Barnstaple,0.5321950536817516,0.4678049295044192,-4.058338,51.07816
140,Tain,0.7001499490173386,0.29984903543664604,-4.05523,57.8115
141,Okehampton,0.5206629745886446,0.47933596065148687,-4.004263,50.73831
142,Llandeilo,0.8700561808984986,0.12994612475637302,-3.9914300000000003,51.88469
143,Motherwell,0.6059259851650474,0.39407477084407805,-3.9810968,55.78321
144,Golspie,0.6975308395145675,0.30246858290443285,-3.976086,57.97341
145,Airdrie,0.5695063678349401,0.4304922826694489,-3.9625660000000003,55.86626999999999
146,Swansea,0.8879221064838028,0.11207893246613015,-3.9436459999999998,51.62144
147,Stirling,0.6811364136193755,0.318864596454696,-3.9369029,56.116519999999994
148,Tregaron,0.6680648579483031,0.3319348631534263,-3.934385,52.22
149,Tregaron,0.6680648579483031,0.3319348631534263,-3.934385,52.22
150,Castle Douglas,0.8111442109682747,0.1888554531699959,-3.9314139999999997,54.940419999999996
151,Dolgellau,0.7247895715456816,0.2752102703566841,-3.8844,52.74215
152,Aberfeldy,0.8298578483315721,0.17014302886720437,-3.866969,56.62175
153,Machynlleth,0.6668052862026981,0.33319487384258434,-3.853485,52.59027
154,Brora,0.7113141531879176,0.2886848792879291,-3.8525480000000005,58.012159999999994
155,Llandudno,0.7895995361577124,0.2104005523238123,-3.827609,53.324059999999996
156,Llandudno,0.7895995361577124,0.2104005523238123,-3.827609,53.324059999999996
157,Aviemore,0.8921166803286895,0.10788364188553676,-3.823812,57.19449
158,Dalbeattie,0.8316212487754252,0.1683771905236448,-3.8225269999999996,54.934219999999996
159,Falkirk,0.7159645720455087,0.2840362231780388,-3.7839131,56.00188000000001
160,Kingsbridge,0.49192874422696714,0.5080728094323702,-3.777493,50.28395
161,Pitlochry,0.7495971369734347,0.25040192305677617,-3.729711,56.70436
162,Colwyn Bay,0.8840794129995813,0.11591938394750136,-3.72764,53.29318000000001
163,Totnes,0.5016414419097568,0.49835943897195356,-3.685797,50.43374
164,Grantown-on-Spey,0.6890777135773873,0.3109212629073022,-3.609628,57.33041
165,Dumfries,0.8618869584341302,0.13811378187224052,-3.60512,55.070859999999996
166,Whitehaven,0.8313813303476838,0.16861798847896545,-3.589233,54.5497
167,Dartmouth,0.5077753563788361,0.49222532898590804,-3.578807,50.35252
168,Bridgend,0.9160125557310561,0.08398598429543089,-3.576945,51.504290000000005
169,Paignton,0.5000819721294817,0.49991666839274523,-3.564235,50.43508
170,Workington,0.8199052322210498,0.18009655750092826,-3.5427519999999997,54.64357
