index,placename,longitude,latitude,kw,tw
31,Cavan,-7.3633319,53.98972,0.22529964377010073,0.050061975891563616
32,Mullingar,-7.340186800000001,53.525819999999996,0.21077354545904325,0.01
33,Laois,-7.332300699999999,52.99429,0.270169433554266,0.01
34,Omagh,-7.309959700000001,54.59771,0.19115794574327935,0.09542786286198596
35,Derry,-7.308574799999999,54.99661,0.26399274484076146,0.1842705833075852
36,Derry,-7.308574799999999,54.99661,0.26399274484076146,0.1842705833075852
37,Kilkenny,-7.2447879,52.65415,0.307562686895744,0.01
38,Tyrone,-7.131232000000001,54.491209999999995,0.14239876621393185,0.07340068893131081
39,Waterford,-7.110070200000001,52.25932,0.34137514227876553,0.01
40,Monaghan,-6.9683132,54.2492,0.2099147192010815,0.06464971095666562
41,Carlow,-6.934135899999999,52.83651,0.28198155280723397,0.01
42,Kildare,-6.8194707999999995,53.21204,0.34682998524412634,0.01
43,Dungannon,-6.7669352,54.508269999999996,0.14655030996783466,0.0752761670921561
44,Cookstown,-6.7443895000000005,54.641819999999996,0.1641427203977121,0.11950057224672098
45,Coleraine,-6.6646103000000005,55.132580000000004,0.21104299922787242,0.20302141772698973
46,Meath,-6.656416900000001,53.60555,0.30721315351108974,0.01
47,Armagh,-6.652792,54.350280000000005,0.20865253370431144,0.06429492117012453
48,Armagh,-6.652792,54.350280000000005,0.20865253370431144,0.06429492117012453
49,Magherafelt,-6.607980499999999,54.75536999999999,0.1753542560305516,0.12677319226858652
50,Louth,-6.4889423,53.925230000000006,0.2804207755850636,0.06130768465734618
51,Wexford,-6.4633381,52.33692,0.32407920217573477,0.01
52,Craigavon,-6.4175653,54.442930000000004,0.21975954712346935,0.10834876215476605
53,Drogheda,-6.3560985,53.717859999999995,0.23688590286525885,0.01
54,Rosslare,-6.3414908,52.25131,0.05577894876076935,0.01
55,Newry,-6.34023,54.1751,0.23664399567164507,0.07216308701561806
56,Ballymena,-6.2802213,54.86529,0.19599606637388356,0.14016297651462276
57,Banbridge,-6.2704803,54.34873,0.19857494738640258,0.061462195942549126
58,Dublin,-6.2603097000000005,53.34981,0.6568011003765258,0.01
59,Antrim,-6.2072498,54.719530000000006,0.2131265564615228,0.15127506225163984
60,Antrim,-6.2072498,54.719530000000006,0.2131265564615228,0.15127506225163984
61,Wicklow,-6.044589,52.980819999999994,0.30764983762233716,0.01
62,Kilkeel,-6.007004,54.06312,0.14480799904422847,0.03364022320142236
63,Belfast,-5.93012,54.597280000000005,0.4047382579326063,0.2755683921020664
64,Down,-5.7156921999999994,54.32875,0.25206082524658313,0.07649662886666117
65,Balivanich,-7.3743509000000005,57.472269999999995,0.02348934461694509,0.09185322511387026
66,Western Isles,-7.0194034,57.759890000000006,0.06962642356385744,0.18911882220034218
67,Dunvegan,-6.581398200000001,57.4366,0.01784926269313373,0.07996287686344547
68,Stornoway,-6.384869200000001,58.209430000000005,0.08443320004049058,0.2790900673283096
69,Scilly Isles,-6.327496599999999,49.92773,0.1643756795973195,0.01
70,Portree,-6.1960231,57.41246999999999,0.09595917233020575,0.2446331848376919
71,Islay,-6.177067,55.73625,0.09591643850837991,0.1513838095022391
72,Mull,-6.0008870000000005,56.4392,0.07461600409284477,0.19963779176756197
73,Broadford,-5.9096592,57.24139,0.01784926269313373,0.07996287686344547
