,Unnamed:_0,Unnamed:_0,placename,should_have,should_of,longitude,latitude
137,137,137,Dereham,0.562089139804072,0.43791064309636657,0.9378270000000001,52.681619999999995
138,138,138,Derry,0.6526041218825868,0.3473959394961617,-7.308574799999999,54.99661
139,139,139,Derry,0.6526041218825868,0.3473959394961617,-7.308574799999999,54.99661
140,140,140,Dingle,0.9027398728593452,0.09725973206580572,-10.264013499999999,52.14094
141,141,141,Dolgellau,0.5977778065704651,0.4022219700244122,-3.8844,52.74215
142,142,142,Doncaster,0.5489840173101644,0.4510158267998624,-1.128462,53.522819999999996
143,143,143,Donegal,0.6746010805895546,0.3253991535851485,-8.1096143,54.653830000000006
144,144,144,Doon,0.7148275403100899,0.2851724511807304,-7.60964,54.185930000000006
145,145,145,Dorchester,0.36034552009997856,0.6396544162332989,-2.4411810000000003,50.71116
146,146,146,Dorking,0.6837638298148015,0.3162361671644301,-0.332378,51.2322
147,147,147,Dover,0.5198832482705741,0.4801169543459077,1.3134027,51.12788
148,148,148,Down,0.8238765060702189,0.17612340725942166,-5.7156921999999994,54.32875
149,149,149,Downham Market,0.25882440243067906,0.7411756696278836,0.385472,52.606609999999996
150,150,150,Driffield,0.23945647782459265,0.7605434798676551,-0.443377,54.006
151,151,151,Drogheda,0.7703876765204408,0.229612246259736,-6.3560985,53.717859999999995
152,152,152,Dublin,0.8615357705296115,0.13846395946386775,-6.2603097000000005,53.34981
153,153,153,Dudley,0.296623245985481,0.7033765838181154,-2.081112,52.51226
154,154,154,Dumbarton,0.8806192364729009,0.11938096130201285,-4.564554,55.94529
155,155,155,Dumfries,0.2301341254986869,0.7698657749465135,-3.60512,55.070859999999996
156,156,156,Dunbar,0.7947368669027925,0.20526311046945284,-2.516737,56.00209
157,157,157,Dundee,0.7305899660887581,0.26940984593468736,-2.9707209999999997,56.462019999999995
158,158,158,Dunfermline,0.7085146781847896,0.2914851966331161,-3.452151,56.07174000000001
159,159,159,Dungannon,0.7629428691572607,0.2370572316207132,-6.7669352,54.508269999999996
160,160,160,Dunoon,0.8454517827843031,0.15454806783922154,-4.926214,55.95097
161,161,161,Dunvegan,0.6464402619139884,0.3535599183420921,-6.5813982000000015,57.4366
162,162,162,Durham,0.3588472533543153,0.6411524476671057,-1.5848520000000001,54.77525
163,163,163,Eastbourne,0.7297866501134893,0.2702135154167494,0.29047199999999995,50.768029999999996
164,164,164,Edinburgh,0.9637842307425016,0.03621595233861867,-3.1882669999999997,55.95325
165,165,165,Elgin,0.6768190336415071,0.3231806700940309,-3.318485,57.64945
166,166,166,Ely,0.5802591577432243,0.4197405630527473,0.262363,52.39954
167,167,167,Enniskillen,0.7064221696363052,0.2935777644454524,-7.631533599999999,54.343819999999994
168,168,168,Ennistymon,0.9501637845841079,0.04983616532693285,-9.2934951,52.940369999999994
169,169,169,Evesham,0.5794411182346831,0.4205589560706816,-1.9467700000000001,52.09215
170,170,170,Exeter,0.5519086999591274,0.4480912025283019,-3.533899,50.71841
171,171,171,Falkirk,0.912308402661543,0.08769161283202087,-3.7839131,56.00188000000001
172,172,172,Falmouth,0.4815549464593442,0.5184451451407885,-5.066269999999999,50.152570000000004
173,173,173,Faversham,0.5391545864984029,0.4608450826658811,0.889358,51.31599
174,174,174,Felixstowe,0.4338112395919341,0.5661888015495284,1.3512549999999999,51.961729999999996
175,175,175,Fermanagh,0.7064221696363052,0.2935777644454524,-7.6318728,54.343830000000004
176,176,176,Fishguard,0.5010954308753675,0.4989044216957307,-4.975989,51.99393
177,177,177,Folkestone,0.5694668078555347,0.4305333271062591,1.169456,51.0814
178,178,178,Forfar,0.6838015220599752,0.31619823933602265,-2.889062,56.64356
179,179,179,Fort William,0.6558968928633274,0.34410328572193344,-5.1052179,56.81981999999999
180,180,180,Fortuneswell,0.40369513569797216,0.5963048518703336,-2.4422189999999997,50.55919
181,181,181,Fraserburgh,0.6432375989568669,0.35676228739435045,-2.007631,57.69335
182,182,182,Gainsborough,0.14837375630314506,0.851626511952537,-0.774465,53.40058000000001
183,183,183,Galashiels,0.7865706064093315,0.21342919572331928,-2.814449,55.62373
184,184,184,Galway,0.9599614125640028,0.0400382411452508,-9.0567905,53.270669999999996
185,185,185,Gillingham,0.4210418136566079,0.5789584653175627,0.551438,51.38632
186,186,186,Girvan,0.6936079841598343,0.3063917755035345,-4.8542179,55.240159999999996
187,187,187,Glasgow,0.9635315749115699,0.03646819595518553,-4.251806,55.86424
188,188,188,Glastonbury,0.3360758367972905,0.6639242805064448,-2.718454,51.14743
189,189,189,Gloucester,0.483704582316919,0.5162955677975539,-2.238156,51.86424
190,190,190,Golspie,0.6801812996992872,0.3198186979129152,-3.976086,57.97341
191,191,191,Grantham,0.5043734783228363,0.4956265503515185,-0.643582,52.912519999999994
192,192,192,Grantown-on-Spey,0.5690433590386595,0.43095689378623786,-3.609628,57.33041
193,193,193,Great Yarmouth,0.5476571324917757,0.4523430063234052,1.728047,52.59823000000001
194,194,194,Greenock,0.8515779505077264,0.14842201682169862,-4.7719830000000005,55.956480000000006
195,195,195,Grimsby,0.1786370955298179,0.8213628729081461,-0.08078400000000001,53.56746999999999
196,196,196,Guernsey,0.4272533778730029,0.5727465466388317,-2.5852779999999997,49.46569
197,197,197,Guildford,0.5841226128735505,0.4158774017105332,-0.570409,51.23622
198,198,198,Halifax,0.5044706536424258,0.4955293161206168,-1.8575400000000002,53.727019999999996
199,199,199,Harrogate,0.6579305072787259,0.34206949426479993,-1.5418120000000002,53.99211999999999
200,200,200,Hartlepool,0.01,1.0,-1.212926,54.69174
201,201,201,Harwich,0.4235683719659216,0.5764317887735629,1.260297,51.93473
202,202,202,Hastings,0.5456647439695353,0.454334982938661,0.573453,50.85426
203,203,203,Haverfordwest,0.473959370115468,0.5260406639325256,-4.971319,51.800470000000004
204,204,204,Hawes,0.42562495509322396,0.5743751463887554,-2.1968695,54.30383000000001
