index,placename,longitude,latitude,her,hersel,herself,herseln,herselve,hersen
78,Lochgilphead,-5.4323449,56.03829,0.01,0.24195006163894772,0.040582407547230206,0.01,0.01,0.012526655013888124
79,Helston,-5.274996,50.10159,0.01,0.011708963772290632,0.1923365757729083,0.01,0.01,0.01
80,Redruth,-5.226666000000001,50.23302,0.01,0.013084912427766757,0.22030150844987745,0.01,0.01,0.01
81,Ullapool,-5.161313,57.895419999999994,0.01,0.2217730305127933,0.06577253081912712,0.01,0.01,0.013874101486864927
82,Ballachulish,-5.133719999999999,56.673930000000006,0.01,0.08962167828007626,0.01,0.01,0.01,0.01
83,Fort William,-5.1052179,56.81981999999999,0.01,0.26315778360416814,0.11839863709225841,0.01,0.01,0.018815003472387893
84,Achnasheen,-5.078765799999999,57.578590000000005,0.01,0.09351827306922593,0.01,0.01,0.01,0.01
85,Newquay,-5.0737190000000005,50.4155,0.01,0.015079578084085934,0.2608413138924913,0.01,0.01,0.01
86,Falmouth,-5.066269999999999,50.152570000000004,0.01,0.01625678492841237,0.284766996015466,0.01,0.01,0.01
87,Rothesay,-5.055793,55.83596,0.01,0.3794820308850775,0.07665120457273142,0.01,0.01,0.01
88,Truro,-5.051041000000001,50.2632,0.01,0.02247732518378854,0.41119394426214745,0.01,0.01,0.01
89,Milford Haven,-5.0426971,51.71431,0.01,0.011128482971894416,0.18053881977471217,0.01,0.01,0.01
90,Stranraer,-5.024055000000001,54.903369999999995,0.01,0.3105264544070269,0.08510225912160628,0.01,0.01,0.01
91,Fishguard,-4.975989,51.99393,0.01,0.01,0.1388061422815885,0.01,0.01,0.01
92,Inchnadamph,-4.974295,58.15221,0.01,0.09741486785837558,0.01,0.01,0.01,0.01
93,Haverfordwest,-4.971319,51.80048,0.01,0.012225312299777209,0.20283090036238047,0.01,0.01,0.01
94,Dunoon,-4.926214,55.95097,0.01,0.3474882917478711,0.0663411530645011,0.01,0.01,0.01
95,Pembroke,-4.908637000000001,51.674040000000005,0.01,0.015500193260461837,0.26938994326427074,0.01,0.01,0.01
96,Girvan,-4.8542179,55.240159999999996,0.01,0.30474251868826907,0.07433558127817994,0.01,0.01,0.01
97,Wadebridge,-4.836456,50.51665,0.01,0.012624636682244911,0.2109468132836496,0.01,0.01,0.01
98,Invergarry,-4.800261,57.07095,0.01,0.07793189414642304,0.01,0.01,0.01,0.01
99,St Austell,-4.7834252,50.340379999999996,0.01,0.013647319796623762,0.23173193802624498,0.01,0.01,0.01
100,Greenock,-4.7719830000000005,55.956480000000006,0.01,0.5338490139617031,0.12639629813196765,0.01,0.01,0.01
101,Helensburgh,-4.734014,56.00232,0.01,0.3670344960109711,0.07263995958657456,0.01,0.01,0.01
102,Bodmin,-4.7188629,50.4715,0.01,0.011756370034895974,0.19330006589802953,0.01,0.01,0.01
103,Tenby,-4.703579,51.672740000000005,0.01,0.012225312299777209,0.20283090036238047,0.01,0.01,0.01
104,Camelford,-4.682364,50.62206,0.01,0.01,0.137427411520515,0.01,0.01,0.01
105,Irvine,-4.6696364,55.61156999999999,0.01,0.5534123689087543,0.1449998399861036,0.01,0.01,0.01
106,Cardigan,-4.660864,52.0837,0.01,0.01,0.17105280069448245,0.01,0.01,0.01
107,Holyhead,-4.633038,53.30944,0.01,0.011711231201033883,0.18431418421250814,0.01,0.01,0.01
108,Ayr,-4.629179,55.45856,0.01,0.5948162646163704,0.1592625078112626,0.01,0.01,0.01
109,Dumbarton,-4.564554,55.94529,0.01,0.48900839782269134,0.12281418739175867,0.01,0.01,0.01
110,Bude,-4.543678,50.826640000000005,0.01,0.012273193578988975,0.20380404477755548,0.01,0.01,0.01
111,Isle of Man,-4.5126330999999995,54.27697,0.01,0.24407482108534287,0.24540164440478654,0.01,0.01,0.05637893523606328
112,Kilmarnock,-4.498792,55.61472,0.01,0.5261952033109151,0.13562416686573778,0.01,0.01,0.01
113,Newton Stewart,-4.483164,54.9603,0.01,0.2379737730062508,0.06912920549526128,0.01,0.01,0.01
114,Liskeard,-4.4647190000000005,50.45552,0.01,0.012574735370188024,0.20993261349748074,0.01,0.01,0.01
115,Altnaharra,-4.442655,58.28023,0.01,0.09741486785837558,0.01,0.01,0.01,0.01
