index,placename,longitude,latitude,avoid,demsel,demsels,emsel,emself,emselves,him,himself,theirsel,theirself,theirselfs,theirseln,theirselns,theirsels,theirselves,theirsen,theirsens,them,themsel,themself,themselfs,themseln,themselns,themsels,themselves,themsen,themsens
56,Ballymena,-6.2802213,54.86529,0.27153732069473324,0.01,0.01,0.01,0.01,0.01,0.01,,0.13876084120824758,0.1767330686968848,0.01,0.01,0.01,0.18922001596803534,0.01,0.01,0.01,0.01,0.01,0.2435102256101085,0.22140457924678936,0.01,0.01,0.13822245334152314,0.11263326771852644,0.01,0.01
57,Banbridge,-6.2704803,54.34873,0.35721159236041244,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.20982632630911197,0.01,0.01
58,Dublin,-6.2603097000000005,53.34981,0.8130909479550147,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.13812439460085119,0.01,0.01
59,Antrim,-6.2072498,54.719530000000006,0.29306473159446533,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.22527056500532427,0.01,0.01,0.01,0.01,0.2619712346477353,0.01,0.01
60,Antrim,-6.2072498,54.719530000000006,0.29306473159446533,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.22527056500532427,0.01,0.01,0.01,0.01,0.2619712346477353,0.01,0.01
61,Wicklow,-6.044589,52.980819999999994,0.39367969022224275,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.4841766978372801,0.01,0.01,0.01,0.01,0.0584860107042288,0.01,0.01
62,Kilkeel,-6.007004,54.06312,0.17378962348848334,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.23122915959850388,0.01,0.01
63,Belfast,-5.93012,54.597280000000005,0.5338578326477273,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.7440059939341652,0.01,0.01
64,Down,-5.7156921999999994,54.32875,0.2963933866296785,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.4058304377507139,0.01,0.01
65,Balivanich,-7.3743509000000005,57.472269999999995,0.07459575238642162,0.01,0.01,0.01,0.01,0.01,0.01,,0.06787798293549058,0.1287397209077036,0.01,0.01,0.01,0.015091504237615327,0.09596068006794276,0.01,0.01,0.01,0.09111881381578514,0.05678474962027136,0.03531685519673332,0.01,0.01,0.05512061271308309,0.01594603534308207,0.01,0.01
66,Western Isles,-7.0194034,57.759890000000006,0.16845027212039976,0.01,0.01,0.01,0.01,0.01,0.01,,0.10937396098485376,0.26506531870037897,0.01,0.01,0.01,0.03107226233059402,0.1975757603447803,0.01,0.01,0.01,0.14811057186740462,0.10929884900934467,0.07271472558907098,0.01,0.01,0.1134891599324514,0.05005659018840004,0.01,0.01
67,Dunvegan,-6.581398200000001,57.4366,0.0712238380636078,0.01,0.01,0.01,0.01,0.01,0.01,,0.059091216279896046,0.11207443655478722,0.01,0.01,0.01,0.013137917515041871,0.08353862408742672,0.01,0.01,0.01,0.07932353469420643,0.04943399576855661,0.01,0.01,0.01,0.047985280446602,0.01,0.01,0.01
68,Stornoway,-6.384869200000001,58.209430000000005,0.13737794618300772,0.01,0.01,0.5094929546772292,0.01,0.01,0.01,,0.16046354253072456,0.11496080658928118,0.01,0.01,0.01,0.20513879727104253,0.3148535956120167,0.01,0.01,0.01,0.4823935276452966,0.11314129265605219,0.01,0.01,0.01,0.5094930294228616,0.08621237437561446,0.01,0.01
