,placename,preposition_drop_determiner,preposition_drop_no_determiner,preposition_retained,preposition_drop_reduced_determiner,longitude,latitude
164,Grantown-on-Spey,0.01,0.17236024517236,0.969413291862947,0.01,-3.609628,57.33041
165,Dumfries,0.01,0.01,1,0.01,-3.60512,55.07086
166,Whitehaven,0.0397089930071,0.01,0.962408762359124,0.01,-3.589233,54.5497
167,Dartmouth,0.01,0.01,1,0.01,-3.578807,50.35252
168,Bridgend,0.01,0.01,1,0.01,-3.576945,51.50429
169,Paignton,0.01,0.01,1,0.01,-3.564235,50.43508
170,Workington,0.045630509143115,0.01,0.956803021245037,0.01,-3.542752,54.64357
171,Llanidloes,0.01,0.264285713889286,0.953100577834288,0.01,-3.540195,52.44779
172,Exeter,0.01,0.01,1,0.01,-3.533899,50.71841
173,Torquay,0.01,0.01,1,0.01,-3.525315,50.46192
174,Thurso,0.01,0.183774833058775,0.967387867942163,0.01,-3.52208,58.59357
175,Livingston,0.01,0.01,1,0.01,-3.518068,55.90071
176,Rhyl,0.912017561519112,0.308905382933905,0.081805852800482,0.01,-3.491634,53.31914
177,Tiverton,0.01,0.01,1,0.01,-3.491207,50.90205
178,Tiverton,0.01,0.01,1,0.01,-3.491207,50.90205
179,Minehead,0.01,0.01,1,0.01,-3.481152,51.20428
180,Dunfermline,0.01,0.01,1,0.01,-3.452151,56.07174
181,Perth,0.01,0.136699511011699,0.975741695170992,0.01,-3.4308381,56.39499
182,Prestatyn,0.917122135729615,0.310634332810634,0.076666702779258,0.01,-3.407613,53.33651
183,Builth Wells,0.01,0.01,1,0.01,-3.404592,52.15002
184,Braemar,0.01,0.17236024517236,0.969413291862947,0.01,-3.3979439,57.00647
185,Brecon,0.01,0.01,1,0.01,-3.391463,51.94895
186,Merthyr Tydfil,0.01,0.01,1,0.01,-3.381646,51.74873
187,Llandrindod Wells,0.01,0.01,1,0.01,-3.377742,52.2417
188,Corwen,0.854527524949026,0.298922806048923,0.138001148380399,0.01,-3.369242,52.98005
189,Cockermouth,0.045630509143115,0.01,0.956803021245037,0.01,-3.367985,54.66326
190,Lockerbie,0.01,0.01,1,0.01,-3.349008,55.12224
191,Blairgowrie,0.01,0.140151513890152,0.975129094306062,0.01,-3.3378318,56.58941
192,Elgin,0.01,0.17236024517236,0.969413291862947,0.01,-3.318485,57.64945
193,Newtown,0.048615682225225,0.518691595268692,0.86193138673335,0.01,-3.313106,52.51211
