index,placename,longitude,latitude,'ee,du,tha,thee,thou,ye,you
93,Haverfordwest,-4.971319,51.80048,0.2060120369379128,0.01,0.01,0.01,0.17648384927729432,0.025115579316689726,0.18120299174912594
94,Dunoon,-4.926214,55.95097,0.01,0.01,0.03032298902544329,0.01,0.01,0.2763395529162946,0.10623137149945731
95,Pembroke,-4.908637000000001,51.674040000000005,0.652994959286104,0.01,0.01,0.01,0.22375982748499046,0.031843467366002846,0.23218873029977102
96,Girvan,-4.8542179,55.240159999999996,0.18340351876933708,0.01,0.019628050520087523,0.01,0.4189756052286741,0.2571320258075764,0.08004484503416386
97,Wadebridge,-4.836456,50.51665,0.5318529890432309,0.01,0.01,0.01,0.182248471268134,0.025935947987446584,0.17943642369270624
98,Invergarry,-4.800261,57.07095,0.01,0.01,0.01054092597638179,0.01,0.01,0.08405389669245251,0.01
99,St Austell,-4.7834252,50.340379999999996,0.5749367691880797,0.01,0.01,0.01,0.19701186120785438,0.028036939622277,0.1981976240878776
100,Greenock,-4.7719830000000005,55.956480000000006,0.01,0.01,0.04658544813173155,0.01,0.01,0.4245426431519059,0.19117979913861072
101,Helensburgh,-4.734014,56.00232,0.01,0.01,0.03202865609807405,0.01,0.01,0.3283690921108497,0.10633556951776435
102,Bodmin,-4.7188629,50.4715,0.4952744938910867,0.01,0.01,0.01,0.16971422785857923,0.02415218825069729,0.16350800526247633
103,Tenby,-4.703579,51.672740000000005,0.2060120369379128,0.01,0.01,0.01,0.17648384927729432,0.025115579316689726,0.18120299174912594
104,Camelford,-4.682364,50.62206,0.37946065167839993,0.01,0.01,0.01,0.13002864532021466,0.018504496407772564,0.11307587755729478
105,Irvine,-4.6696364,55.61156999999999,0.3108567123415407,0.01,0.01,0.01,0.01,0.4926679105659746,0.20393289184038893
106,Cardigan,-4.660864,52.0837,0.01,0.01,0.01,0.01,0.1513470894164468,0.01,0.15836062609198778
107,Holyhead,-4.633038,53.30944,0.01,0.01,0.020416507470149257,0.01,0.01,0.023257474444873947,0.17235757709197294
108,Ayr,-4.629179,55.45856,0.33411365349589295,0.01,0.01,0.01,0.01,0.5295271712792565,0.22309290559610134
109,Dumbarton,-4.564554,55.94529,0.01,0.01,0.04409492309133987,0.01,0.01,0.4018459830168778,0.17817031608352926
110,Bude,-4.543678,50.826640000000005,0.5170473301042949,0.01,0.01,0.01,0.01,0.02521394621614714,0.18211698774574184
111,Isle of Man,-4.5126330999999995,54.27697,0.3163823659303858,0.01,0.2200874028545365,0.01,0.7227587242536873,0.07714236694827833,0.2131395658132378
112,Kilmarnock,-4.498792,55.61472,0.29556858527332447,0.01,0.01,0.01,0.01,0.4684381953301981,0.1913379111427108
113,Newton Stewart,-4.483164,54.9603,0.16040641401692618,0.01,0.017166874546338796,0.01,0.36643993990010104,0.19555656799722565,0.07054657125089363
114,Liskeard,-4.4647190000000005,50.45552,0.5297507374978887,0.01,0.01,0.01,0.1815280990257049,0.02583343114941093,0.17852098028475497
115,Altnaharra,-4.442655,58.28023,0.01,0.33444169806119756,0.01054092597638179,0.01,0.01,0.08405389669245251,0.01
116,Pwllheli,-4.417633900000001,52.888819999999996,0.01,0.01,0.01890737358526322,0.01,0.01,0.0215383438436706,0.1557615761934722
117,Lairg,-4.402414,58.022059999999996,0.01,0.01,0.01054092597638179,0.01,0.01,0.08405389669245251,0.01
