,placename,where_about_x,where_abouts_x,where_at_x,where_is_x,where_is_x_at,where_to_is_x,where_x_about,where_x_abouts,where_x_to,longitude,latitude
13,Mallow,0.046971351208234806,0.5636329819800197,0.01,0.9780071,0.10564727329242717,0.01,0.01,0.01,0.01,-8.6539164,52.13898
14,Limerick,0.09069509393586334,0.5202808483990415,0.01,0.9780071,0.15504056479340106,0.01,0.01,0.01,0.01,-8.6267343,52.66384
15,Loughrea,0.19294058261753474,0.5530776651733414,0.01,0.9780071,0.16241506726850313,0.01,0.01,0.01,0.01,-8.5660931,53.19891
16,Sligo,0.3392443241476092,0.7447070171075016,0.01,0.9780071,0.2733151058579887,0.01,0.01,0.01,0.01,-8.476088800000001,54.27661
17,Cork,0.10605860484808502,0.5259500263441398,0.01,0.9780071,0.11396451874482925,0.01,0.01,0.01,0.01,-8.4756035,51.898509999999995
18,Nenagh,0.0925756670192719,0.4702419208851632,0.01,0.9780071,0.02599424175589481,0.01,0.01,0.01,0.01,-8.19834,52.8635
19,Roscommon,0.10248825875175327,0.44729843789553003,0.01,0.9780071,0.2426857805751733,0.01,0.01,0.01,0.01,-8.1890955,53.62759000000001
20,Tipperary,0.056852721758641984,0.5646266270081888,0.01,0.9780071,0.08152155311756673,0.01,0.01,0.01,0.01,-8.161851400000002,52.47379
21,Donegal,0.21536478255648872,0.7331814927266627,0.01,0.9780071,0.3665657673346285,0.01,0.01,0.01,0.01,-8.1096143,54.653830000000006
22,Leitrim,0.15157988976874562,0.6247783008176985,0.01,0.9780071,0.2006698487069546,0.01,0.01,0.01,0.01,-8.0020132,54.12469
23,Athlone,0.1060851419623409,0.3945447578105224,0.01,0.9780071,0.2948555745497016,0.01,0.01,0.01,0.01,-7.9406898,53.42393000000001
24,Longford,0.18250227106048614,0.2104489468231028,0.01,0.9780071,0.25234344963572136,0.01,0.01,0.01,0.01,-7.7932573000000005,53.72763000000001
25,Offaly,0.12314104397862367,0.22369885336763465,0.01,0.9780071,0.2255259893310161,0.01,0.01,0.01,0.01,-7.7122229,53.23569000000001
26,Fermanagh,0.2511768675868171,0.5627708920802745,0.01,0.9780071,0.27605928673559205,0.01,0.01,0.01,0.01,-7.6318728,54.343830000000004
27,Enniskillen,0.2511768675868171,0.5627708920802745,0.01,0.9780071,0.27605928673559205,0.01,0.01,0.01,0.01,-7.631533599999999,54.343819999999994
28,Doon,0.1590435511090038,0.4655439623352387,0.01,0.9780071,0.27339439198286325,0.01,0.01,0.01,0.01,-7.60964,54.185930000000006
29,Westmeath,0.13266984492244735,0.2384628488758853,0.01,0.9780071,0.1690698041114856,0.01,0.01,0.01,0.01,-7.4653217000000005,53.534530000000004
30,Strabane,0.31247450255288817,0.6204636016707188,0.01,0.9780071,0.7037517991908648,0.4278876450454489,0.01,0.01,0.01,-7.4633103,54.82739
31,Cavan,0.13876502824386033,0.4131779016819041,0.01,0.9780071,0.17925533304845093,0.01,0.01,0.01,0.01,-7.3633319,53.98972
32,Mullingar,0.11377857196770992,0.20919259626649087,0.01,0.9780071,0.16006303127879296,0.01,0.01,0.01,0.01,-7.3401868000000015,53.525819999999996
33,Laois,0.10930074561454596,0.33709107713681874,0.01,0.9780071,0.15183203627304498,0.01,0.01,0.01,0.01,-7.3323006999999985,52.99429
34,Omagh,0.2476637454825016,0.6943915129189306,0.01,0.9780071,0.6308440406804487,0.01,0.01,0.01,0.01,-7.309959700000001,54.59771
35,Derry,0.19637341659361834,0.6743308919625354,0.01,0.9780071,0.8815927796768946,0.465035911666114,0.01,0.01,0.01,-7.308574799999999,54.99661
