index,placename,longitude,latitude,aint,am_not,amnt,arent,ent,int,m_not
14,Limerick,-8.6267343,52.66384,0.22271769336899364,0.34701174277823144,0.5729674237193848,0.01,0.03732413361108339,0.01,0.34960223014290226
15,Loughrea,-8.5660931,53.19891,0.014977009871749065,0.012356575223801293,0.1426424639639741,0.01,0.01,0.01,0.01
16,Sligo,-8.476088800000001,54.27661,0.19956813685609665,0.19739038373085946,0.37437481497194963,0.01,0.01,0.01,0.2611478690885711
17,Cork,-8.4756035,51.898509999999995,0.22211393854879527,0.4102985454358475,0.35138751452719774,0.01034040421019528,0.013535924039465082,0.01,0.46500619492671547
18,Nenagh,-8.19834,52.8635,0.12746599244718831,0.1762853744566168,0.1530173489074269,0.01,0.01956451091840809,0.01,0.1796807782318146
19,Roscommon,-8.1890955,53.627590000000005,0.1537692880226682,0.18375186742656263,0.49872349395156756,0.01,0.01861487536164941,0.01,0.18830149545542993
20,Tipperary,-8.161851400000002,52.47379,0.1232124212447626,0.22327704093116163,0.1960543310948429,0.010398178768133523,0.01,0.01,0.25590684424979154
21,Donegal,-8.1096143,54.653830000000006,0.22881333291930384,0.21795107987585016,0.2841986703213729,0.01,0.01,0.01,0.2869981695673732
22,Leitrim,-8.0020132,54.12469,0.1316244674491434,0.1216668870901997,0.324583476306024,0.01,0.01,0.01,0.16650565403006234
23,Athlone,-7.9406898,53.423930000000006,0.15809283181779857,0.15390580605417492,0.11281726120116743,0.01,0.011893970931258022,0.01,0.16977967783770842
24,Longford,-7.7932573000000005,53.727630000000005,0.15175083501976738,0.1692386666857164,0.25833091140183045,0.01,0.010560517891989099,0.01,0.18447840365868218
25,Offaly,-7.7122229,53.235690000000005,0.1788217776681827,0.21660412378541652,0.12895558441014526,0.01,0.01,0.01,0.24190024323296747
26,Fermanagh,-7.6318728,54.343830000000004,0.09688582698367293,0.09962318848070235,0.20683368502060964,0.01,0.01,0.01,0.12924074160737958
27,Enniskillen,-7.631533599999999,54.343819999999994,0.12682693229641678,0.13625851713175413,0.25348429484737434,0.01,0.01,0.01,0.17645608667778562
28,Doon,-7.60964,54.185930000000006,0.06272418127899783,0.05944984321195247,0.24454486840090975,0.01,0.01,0.01,0.0884132095616295
29,Westmeath,-7.4653217000000005,53.534530000000004,0.14026514471296095,0.1544410023980344,0.18875263455524285,0.01,0.01,0.01,0.17363094214509356
30,Strabane,-7.4633103,54.82739,0.16296818886500003,0.13784020786192727,0.12482826232523885,0.01,0.01,0.01,0.18505786345118186
31,Balivanich,-7.3743509000000005,57.472269999999995,0.0274264928955995,0.012850124426299814,0.01,0.01,0.01,0.01,0.014909606787006912
32,Cavan,-7.3633319,53.98972,0.1512888498643643,0.17237948110733659,0.30608305678278774,0.01,0.01,0.01,0.21323400225508518
33,Mullingar,-7.340186800000001,53.525819999999996,0.14118625222015804,0.14983003198089168,0.18481911651396343,0.01,0.01,0.01,0.16850935631081482
34,Laois,-7.332300699999999,52.9943,0.1433996747464065,0.2114409928542006,0.1343753760158139,0.011458933798346248,0.01,0.01,0.23539815518649587
35,Omagh,-7.309959700000001,54.59771,0.16178249865054067,0.14895202714017194,0.108400976982269,0.01,0.01,0.01,0.20036207237460232
36,Derry,-7.308574799999999,54.99661,0.2770313547015174,0.2557444761548473,0.061198656527231644,0.01,0.01,0.01,0.3223672115595492
37,Derry,-7.308574799999999,54.99661,0.2770313547015174,0.2557444761548473,0.061198656527231644,0.01,0.01,0.01,0.3223672115595492
38,Kilkenny,-7.2447879,52.65415,0.1464051142081149,0.2220672810544509,0.09483155312638207,0.013365704162163155,0.01582984063252533,0.01,0.2816046986037473
