,placename,awful,awfully,bare,dead,pretty,proper,pure,rather,real,really,right,so,very,well,wicked,wild,longitude,latitude
41,Okehampton,0.0357733398807337,0.18821576244787872,0.04326332995833755,0.06145225230240239,0.4806240218646454,0.2029552721020283,0.042454399263714276,0.6550067766740256,0.09195653002922594,0.7746199833318396,0.05660853373430325,0.3634447581915362,0.46560450527516417,0.14466331665371523,0.03423913825175135,0.04309920634977999,-4.004263,50.73831
42,Nantwich,0.01,0.14148003702810774,0.060067020332454944,0.6291462742611614,0.3127106837365568,0.40872833525422875,0.03663131414297258,0.6073772381082997,0.09216911924780316,0.7120274288894267,0.20322556355598564,0.40782223410526475,0.38955156190082885,0.20715379894800087,0.1117065963313435,0.06987646268228591,-2.524102,53.06718000000001
43,Folkestone,0.019872677490270597,0.2208646907316672,0.22941675163926245,0.10283729799609867,0.3757542359419398,0.22781327948371993,0.014591998131758474,0.7351575509807003,0.09267650119982462,0.645804265497309,0.08869208750827641,0.4909795143138125,0.40815782228646197,0.18979198945117243,0.14835117314694282,0.11034638949594994,1.169456,51.0814
44,Wick,0.015233584365297356,0.18881374144945853,0.01,0.13035409316339072,0.4585956159197566,0.1486588203856245,0.16994942593715032,0.5298362786556028,0.09411321180884333,0.46958997127886004,0.2429230928992423,0.7808503028161149,0.21156885735917344,0.17184723385268758,0.05402532068743708,0.05730089957731011,-3.093716,58.43894
45,High Wycombe,0.01,0.09878053291529673,0.16976518834219675,0.11615218282778453,0.528547087431581,0.23022535044138281,0.016658054269110382,0.7657336866661011,0.09490804164844899,0.6803218051912089,0.05409928671093758,0.35741261282273545,0.508022133073754,0.07505452867662923,0.01,0.05741895116910172,-0.748229,51.628609999999995
46,Lairg,0.01641991108765629,0.19534434621979863,0.01,0.12379110333997823,0.5248340742294056,0.13442633802306664,0.18485119193814561,0.542790252979131,0.09517110464777727,0.4799186122886884,0.22765071861797942,0.7301576691727717,0.22680501066831846,0.17921965775169685,0.058232579502298584,0.06176325106119944,-4.402414,58.022059999999996
47,Achnasheen,0.014242128262620474,0.27962244707208894,0.01,0.12968768709683565,0.6218733420134536,0.12303434575398987,0.16630492688864798,0.6142815798511773,0.09540655102667128,0.5091253496501159,0.16832439736117727,0.6013536239448368,0.2885411443123606,0.20090730358697925,0.05182263496636555,0.07066885918729121,-5.078765799999999,57.578590000000005
48,Dover,0.016942675223949256,0.2196841237162025,0.22819048413290152,0.10228761985008401,0.3637578211378579,0.23007593599308704,0.014514001699418164,0.7308873107597774,0.0966795009523914,0.6338569668496241,0.0944810812627857,0.5034171253766093,0.4044743026262745,0.19411175223422888,0.14755821187681709,0.10975657178282569,1.3134027,51.12788
49,Ullapool,0.01868127666814827,0.22224734924149306,0.01,0.12895452506269814,0.5828932783537834,0.11911175590538833,0.1653647542235611,0.5936585762917161,0.09723958951830562,0.48473043999395343,0.19145527569519782,0.6053029974422219,0.3161441894536051,0.18220514764928386,0.06625242825295671,0.07026934594936837,-5.161313,57.895419999999994
50,Blandford Forum,0.041372085330656456,0.26849797159825395,0.09711223941207867,0.0773531023463939,0.41748000422200304,0.16127492112315275,0.03580318889918885,0.6050245998854946,0.09792324777097146,0.6268900503389151,0.10631389255206455,0.6130467276162461,0.3396292390588281,0.1275105757223564,0.22994990229648027,0.016080780721185493,-2.165353,50.85691
