,placename,do_not_have,dont_have,have_not_got,havent,havent_got,longitude,latitude
58,Wicklow,0.4610530884401886,0.3701299000000001,0.5511982856612608,0.8647058748300003,0.2739778543455547,-6.044589,52.980819999999994
59,Kilkeel,0.39170106099475865,0.3701299000000001,0.6184525941442466,0.804255314832766,0.39941439448050975,-6.007004,54.06312
60,Belfast,0.3401869733728464,0.3701299000000001,0.5601627852896319,0.7236923030697232,0.5081861530845041,-5.93012,54.59728000000001
61,Down,0.4052782968794923,0.3701299000000001,0.6203381268757808,0.7170731723809757,0.4025928034379263,-5.7156921999999994,54.32875
62,Balivanich,0.40439816606586027,0.3701299000000001,0.9087267010421832,0.30704960107801577,0.17101576958242198,-7.3743509000000005,57.472269999999995
63,Western Isles,0.40439816606586027,0.3701299000000001,0.9087267010421832,0.30704960107801577,0.2117216828776644,-7.0194034,57.75989000000001
64,Dunvegan,0.40439816606586027,0.3701299000000001,0.9087267010421832,0.30704960107801577,0.2117216828776644,-6.5813982000000015,57.4366
65,Stornoway,0.40439816606586027,0.3701299000000001,0.9087267010421832,0.30704960107801577,0.2117216828776644,-6.3848692000000025,58.20943000000001
66,Scilly Isles,0.3762215400181349,0.4487954392099388,0.22670251467011826,0.2667338662465525,0.7477720385291077,-6.327496599999999,49.92773
67,Portree,0.40439816606586027,0.3701299000000001,0.9087267010421832,0.30704960107801577,0.2117216828776644,-6.1960231,57.41246999999999
68,Islay,0.4314894011102017,0.3701299000000001,0.8326028281705894,0.23646112729801616,0.2555378752085893,-6.177067,55.73625
69,Mull,0.40439816606586027,0.3701299000000001,0.9087267010421832,0.30704960107801577,0.2117216828776644,-6.0008870000000005,56.4392
70,Broadford,0.40439816606586027,0.3701299000000001,0.9087267010421832,0.30704960107801577,0.2117216828776644,-5.9096592,57.24139
71,Kyle of Lochalsh,0.40439816606586027,0.3701299000000001,0.9087267010421832,0.30704960107801577,0.2117216828776644,-5.7143293,57.28261
72,Campbeltown,0.4029565069553488,0.3701299000000001,0.8260381607536862,0.2429752117869421,0.2588194924227288,-5.605373999999999,55.424119999999995
73,Penzance,0.3530171174558241,0.5007854002217796,0.2213473211368948,0.2604330640572638,0.7149167345562367,-5.537592,50.1188
74,Oban,0.40439816606586027,0.3701299000000001,0.9087267010421832,0.30704960107801577,0.2117216828776644,-5.471047,56.41516
75,Lochgilphead,0.4224427483026295,0.3701299000000001,0.9087267010421832,0.30704960107801577,0.17101576958242198,-5.4323449,56.03829
76,Helston,0.3530171174558241,0.5007854002217796,0.2213473211368948,0.2604330640572638,0.7149167345562367,-5.274996,50.10159
77,Redruth,0.3530171174558241,0.5007854002217796,0.2213473211368948,0.2604330640572638,0.7149167345562367,-5.226666000000002,50.23302
78,Ullapool,0.3939537397439018,0.3701299000000001,0.8993342164327492,0.3038759739834109,0.20288630776437114,-5.161313,57.895419999999994
