,placename,them_aint,them_arent,them_ent,them_int,them_isnt,thems_not,they_aint,they_arent,they_ent,they_int,theym_not,theyre_not,theys_not,longitude,latitude
21,Donegal,0.11345016724930462,0.5987805976472423,0.01,0.01,0.18176960744390253,0.4173790733155129,0.12383176615175087,0.5558714581501546,0.01,0.01,0.01,0.39589805482245904,0.01,-8.1096143,54.653830000000006
22,Leitrim,0.10591247546382164,0.5356282695164354,0.01,0.01,0.3393854686201676,0.01,0.10997706921808696,0.35976099308884296,0.040713569508157285,0.01,0.01,0.6085170742513184,0.01,-8.0020132,54.12469
23,Athlone,0.08107110332731714,0.2332802386236401,0.01,0.01,0.844297650413249,0.01,0.05823666750471439,0.030054362727023425,0.01,0.01,0.01,0.992471746611312,0.01,-7.9406898,53.42393000000001
24,Longford,0.01,0.2866919857794853,0.01,0.01,0.9689087139303804,0.01,0.04640332059508915,0.09171360769965306,0.01,0.01,0.01,0.938906224338972,0.01,-7.7932573000000005,53.72763000000001
25,Offaly,0.01,0.14430990354272213,0.01,0.01,0.9827563167144954,0.01,0.07953793019697926,0.09828213782605837,0.01,0.01,0.01,0.9075714116573156,0.01,-7.7122229,53.23569000000001
26,Fermanagh,0.1155366890625486,0.6109280483138887,0.01,0.01,0.01,0.01,0.16071962359315928,0.5921309243554471,0.01,0.01,0.01,0.3359932321723882,0.01,-7.6318728,54.343830000000004
27,Enniskillen,0.1155366890625486,0.6109280483138887,0.01,0.01,0.01,0.01,0.16071962359315928,0.5921309243554471,0.01,0.01,0.01,0.3359932321723882,0.01,-7.631533599999999,54.343819999999994
28,Doon,0.10716869608732801,0.5622107651885511,0.01,0.01,0.34341088509810835,0.01,0.13328033925919253,0.4892380709268138,0.01,0.01,0.01,0.4570999171208469,0.01,-7.60964,54.185930000000006
29,Westmeath,0.0456218763466357,0.23709453121039176,0.01,0.01,0.8771432231332552,0.33568247511932064,0.10108397080194853,0.06765559557912866,0.01,0.01,0.01,0.9097507132572272,0.01,-7.4653217000000005,53.534530000000004
30,Strabane,0.13345065080308288,0.5695460757721287,0.01,0.01,0.01,0.4909601309193685,0.13088225219311742,0.7110954798574279,0.01,0.01,0.01,0.2378860850867177,0.01,-7.4633103,54.82739
31,Balivanich,0.01,0.18340155443645054,0.01,0.01,0.239842336805664,0.01,0.18005885919410566,0.3381130933809833,0.01,0.01,0.01,0.5935720914955291,0.01,-7.3743509000000005,57.472269999999995
32,Cavan,0.06564844858932953,0.487696513251841,0.01,0.01,0.6310907735016226,0.01,0.1216783760666848,0.3241372398861692,0.01,0.01,0.01,0.6310258300328079,0.01,-7.3633319,53.98972
33,Mullingar,0.046187532347213935,0.2407993683026499,0.01,0.01,0.8880187933736571,0.3398445572055647,0.1045174575129844,0.07966569286477387,0.01,0.01,0.01,0.89373975945949,0.01,-7.3401868000000015,53.525819999999996
