index,placename,longitude,latitude,a load of,a lot of,bare,loads of,lots of
55,Craigavon,-6.4175653,54.442930000000004,0.5120224500595859,0.8399829247640564,0.01,0.1770088506924613,0.20115692130388121
56,Stornoway,-6.384869200000001,58.209430000000005,0.4210940207969913,0.3489803915221358,0.01,0.1783876810634518,0.7152040882822804
57,Drogheda,-6.3560985,53.717859999999995,0.6087706263283217,0.7639072600729792,0.12966772718420208,0.29515341375344584,0.15403491450006665
58,Rosslare,-6.3414908,52.25131,0.6096491395528882,0.5709608058282173,0.11884390509313052,0.24845696819629184,0.10809099414869153
59,Newry,-6.34023,54.1751,0.5739520458582116,0.8385599571789965,0.01,0.18982532250355455,0.1870277986913292
60,Scilly Isles,-6.327496599999999,49.92773,0.29061587181263054,0.0650082042096543,0.1854373212202536,0.37674807169812413,0.8474864972647499
61,Ballymena,-6.2802213,54.86529,0.5267222545497143,0.7935117468883802,0.01,0.17934428334024374,0.24279647719690078
62,Banbridge,-6.2704803,54.34873,0.5623012094268672,0.8378139256533523,0.01,0.12741379545658643,0.18525700973348702
63,Dublin,-6.2603097000000005,53.34981,0.6618847741661771,0.897275978787798,0.13171046775638,0.3545713444382695,0.20712093305134502
64,Antrim,-6.2072498,54.719530000000006,0.48796005912056395,0.8247306530210275,0.01,0.17164937263971203,0.23603760139326102
65,Antrim,-6.2072498,54.719530000000006,0.48796005912056395,0.8247306530210275,0.01,0.17164937263971203,0.23603760139326102
66,Portree,-6.1960231,57.41246999999999,0.31600875434529363,0.36473486107866415,0.01,0.21815828673407286,0.6836883243151686
67,Islay,-6.177067,55.73625,0.13343196690965323,0.6134829348430777,0.01,0.349854152833474,0.30076064471990727
68,Wicklow,-6.044589,52.980819999999994,0.6598052110998459,0.7805012450841079,0.12012705448561407,0.3030603198987615,0.1860153622833495
69,Kilkeel,-6.007004,54.06312,0.49739710835660106,0.7686809993389505,0.022360511866154037,0.20466690408409147,0.14716936928774185
70,Mull,-6.0008870000000005,56.4392,0.2379906778404496,0.5067654764865773,0.05048847472467626,0.34337988134403585,0.4044551961213246
71,Belfast,-5.93012,54.597280000000005,0.5100550365487763,0.9218175667058846,0.01,0.20015608798650963,0.2588003209692295
72,Broadford,-5.9096592,57.24139,0.295055441384551,0.21029957234208269,0.01,0.19017976619094756,0.609776745104912
73,Down,-5.7156921999999994,54.32875,0.5053124580059983,0.8447521111612525,0.01,0.1453014153868538,0.22895756142261345
74,Kyle of Lochalsh,-5.7143293,57.28261,0.29450500529121637,0.2420212930569319,0.01,0.18240306825715613,0.5784982260965967
75,Campbeltown,-5.605373999999999,55.424119999999995,0.05742321560300626,0.7904197445732236,0.01,0.21758791627038146,0.20205930612871315
76,Penzance,-5.537592,50.1188,0.3035493545752676,0.12019277053653483,0.19229372825083935,0.38745467303350356,0.897083441375603
77,Oban,-5.471047,56.41516,0.2310197271777084,0.5490848550791584,0.07413483529859641,0.3543542582228023,0.41767969489223206
78,Lochgilphead,-5.4323449,56.03829,0.2107595918541461,0.5281626183560044,0.06895918109462658,0.3457842425884764,0.3422818625043034
79,Helston,-5.274996,50.10159,0.26943406521803864,0.07092446656240292,0.1694128348740121,0.41153909897797264,0.8781545204674345
80,Redruth,-5.226666000000001,50.23302,0.26544189965945325,0.09208447599970027,0.1893429606522519,0.3646035887704967,0.9054572296070171
81,Ullapool,-5.161313,57.895419999999994,0.3549803275650096,0.3271712908033102,0.01,0.15480766344806646,0.6948464985222895
82,Ballachulish,-5.133719999999999,56.673930000000006,0.10302104251254238,0.26164842128105603,0.05082846989226979,0.32533628413568977,0.49181897746695996
83,Fort William,-5.1052179,56.81981999999999,0.17434898475611985,0.3611101402579289,0.01,0.23249908487155008,0.7106487148217793
84,Achnasheen,-5.078765799999999,57.578590000000005,0.31766166753537184,0.24401107380852669,0.01,0.130835900221194,0.6025230088481447
85,Newquay,-5.0737190000000005,50.4155,0.2991476205208929,0.1115620372483812,0.18996024054807673,0.403920551754069,0.8916441760238641
86,Falmouth,-5.066269999999999,50.152570000000004,0.27648601715589327,0.10161528934201411,0.173048370053357,0.4361930154908286,0.9090569522311158
87,Rothesay,-5.055793,55.83596,0.2076759191410631,0.5820864053554887,0.06135427789546001,0.3719128177901312,0.36157198769793375
88,Truro,-5.051041000000001,50.2632,0.2800927479784874,0.13807502625749832,0.17490776844562336,0.44880218652286596,0.941351285483343
89,Milford Haven,-5.0426971,51.71431,0.6923683794431604,0.2518409332375529,0.17373623270330263,0.636965639620473,0.476659793579958
90,Stranraer,-5.024055000000001,54.903369999999995,0.38632209925864364,0.7743017415444579,0.01,0.22445475712979523,0.20008753141797256
