index,placename,longitude,latitude,himsel,himself,himsen,hissel,hisself
30,Strabane,-7.4633103,54.82739,0.03135830211208992,0.5141621877766788,0.01,0.01,0.1938223016713575
31,Balivanich,-7.3743509000000005,57.472269999999995,0.34617127840172157,0.14016473624464681,0.01,0.01,0.01
32,Cavan,-7.3633319,53.98972,0.01,0.5580220498927176,0.01,0.01,0.01
33,Mullingar,-7.340186800000001,53.525819999999996,0.01,0.5085649324242316,0.01,0.01,0.01
34,Laois,-7.332300699999999,52.9943,0.01,0.5775289536927178,0.01,0.01,0.16967231328158663
35,Omagh,-7.309959700000001,54.59771,0.01,0.5368542831134234,0.01,0.01,0.19154870431481216
36,Derry,-7.308574799999999,54.99661,0.09009193680426936,0.640236739426441,0.01,0.01,0.22273945137709855
37,Derry,-7.308574799999999,54.99661,0.09009193680426936,0.640236739426441,0.01,0.01,0.22273945137709855
38,Kilkenny,-7.2447879,52.65415,0.01,0.6185565234333118,0.01,0.01,0.1174106889857247
39,Tyrone,-7.131232000000001,54.491209999999995,0.01,0.4498991071321815,0.01,0.01,0.28580262318830274
40,Waterford,-7.110070200000001,52.25932,0.01,0.6496169485699594,0.01,0.01,0.15547031435446948
41,Western Isles,-7.0194034,57.759890000000006,0.35851117214103334,0.3628790338123093,0.01,0.01,0.01
42,Monaghan,-6.9683132,54.2492,0.01,0.541515072524927,0.01,0.01,0.20964837256478353
43,Carlow,-6.934135899999999,52.83651,0.01,0.5902796997158961,0.01,0.01,0.17720774239411302
44,Kildare,-6.8194707999999995,53.21204,0.01,0.6467646110397014,0.01,0.01,0.41956394643034645
45,Dungannon,-6.7669352,54.508269999999996,0.01,0.4577881044630716,0.01,0.01,0.2911076316424929
46,Cookstown,-6.7443895000000005,54.641819999999996,0.01,0.5133230515942406,0.01,0.01,0.30394349230158607
47,Coleraine,-6.6646103000000005,55.132580000000004,0.13656958007627593,0.5898481106578952,0.01,0.01,0.24117770006742204
48,Meath,-6.656416900000001,53.60555,0.01,0.6216637862625888,0.01,0.01,0.01
49,Armagh,-6.652792,54.350280000000005,0.01,0.5377888960730153,0.01,0.01,0.2758283021399227
50,Armagh,-6.652792,54.350280000000005,0.01,0.5377888960730153,0.01,0.01,0.2758283021399227
51,Magherafelt,-6.607980499999999,54.75536999999999,0.08543946270861619,0.5154056318927748,0.01,0.01,0.35206143282456065
52,Dunvegan,-6.581398200000001,57.4366,0.3460298867197324,0.09792901116589496,0.01,0.01,0.01
53,Louth,-6.4889423,53.925230000000006,0.01,0.6239414042933817,0.01,0.01,0.01
54,Wexford,-6.4633381,52.33692,0.01,0.634501017038786,0.01,0.01,0.12251268224652709
55,Craigavon,-6.4175653,54.442930000000004,0.01,0.5836236808070163,0.01,0.01,0.01
56,Stornoway,-6.384869200000001,58.209430000000005,0.4094050947965655,0.4423826111686336,0.01,0.01,0.01
57,Drogheda,-6.3560985,53.717859999999995,0.01,0.5430747705225943,0.01,0.01,0.01
58,Rosslare,-6.3414908,52.25131,0.01,0.1569461020576957,0.01,0.01,0.13386130432868093
59,Newry,-6.34023,54.1751,0.01,0.5833112529728762,0.01,0.01,0.01
60,Scilly Isles,-6.327496599999999,49.92773,0.01,0.4218366919205212,0.01,0.01,0.5118496034990214
61,Ballymena,-6.2802213,54.86529,0.11541894793030492,0.5528087699950331,0.01,0.01,0.01
62,Banbridge,-6.2704803,54.34873,0.01,0.5313687896506096,0.01,0.01,0.01
63,Dublin,-6.2603097000000005,53.34981,0.01,0.8596552854027175,0.01,0.01,0.10944372814629559
