index,placename,longitude,latitude,himsel,himself,himsen,hissel,hisself
108,Ayr,-4.629179,55.45856,1.0,0.3212177334525613,0.01,0.01,0.12038615883683315
109,Dumbarton,-4.564554,55.94529,0.3158139239270098,0.25441742431597697,0.01,0.01,0.17972915254101485
110,Bude,-4.543678,50.826640000000005,0.04029857810471673,0.1740513814557132,0.01,0.01,0.09460213576542816
111,Isle of Man,-4.5126330999999995,54.27697,0.1978826313606908,0.3057376300344717,0.01,0.01,0.5308976559987548
112,Kilmarnock,-4.498792,55.61472,0.7555182115095165,0.2762772681258051,0.01,0.01,0.10134866636382653
113,Newton Stewart,-4.483164,54.9603,0.39045899296172876,0.11396703562944406,0.01,0.01,0.28644196069174643
114,Liskeard,-4.4647190000000005,50.45552,0.01,0.18056431520340602,0.01,0.01,0.11822549400278493
115,Altnaharra,-4.442655,58.28023,0.1693070103868762,0.01,0.01,0.01,0.01
116,Pwllheli,-4.417633900000001,52.888819999999996,0.01,0.13774092587783046,0.01,0.01,0.01
117,Lairg,-4.402414,58.022059999999996,0.17130747592874324,0.01,0.01,0.01,0.01
118,Launceston,-4.360451599999999,50.636829999999996,0.01,0.16196636163095643,0.01,0.01,0.01
119,Carmarthen,-4.312131,51.857620000000004,0.01,0.2319192666613589,0.01,0.01,0.01
120,Llangefni,-4.311401999999999,53.255790000000005,0.06261408855330075,0.21614142976703257,0.01,0.01,0.01
121,Caernarfon,-4.273911,53.13955,0.06534783208428446,0.20100697433272766,0.01,0.01,0.01
122,Cumnock,-4.265828900000001,55.45355,0.577866960271834,0.20306763367842495,0.01,0.01,0.07332757468108116
123,Aberaeron,-4.2581619,52.24279,0.01,0.12365873088011484,0.01,0.01,0.0813567150496673
124,Alness,-4.256825,57.69595,0.391734745200203,0.1664468779546002,0.01,0.01,0.01
125,Glasgow,-4.251806,55.86424,0.556578429188215,0.6255755586599782,0.01,0.6994128404352764,0.6035666824065516
126,Dalwhinnie,-4.242783,56.9366,0.10393995047081742,0.01,0.01,0.01,0.01
127,Inverness,-4.224721,57.47776999999999,0.6693169476026729,0.3150333314073254,0.01,0.01,0.01
128,Saltash,-4.21643,50.409209999999995,0.01,0.16508509387030754,0.01,0.01,0.01
129,Bideford,-4.206666,51.01668,0.04521823535577036,0.19414218807228958,0.01,0.01,0.10615117581488603
130,Invergordon,-4.1728819999999995,57.688109999999995,0.39551620787989233,0.16933383283717723,0.01,0.01,0.01
131,Llanelli,-4.160248,51.680890000000005,0.01,0.26957066491066384,0.01,0.01,0.01
132,Plymouth,-4.1426565,50.37546,0.01,0.41058270979183537,0.01,0.01,0.01
133,Tavistock,-4.141654,50.551120000000004,0.01,0.19484871450152366,0.01,0.01,0.01
134,Porthmadog,-4.1333839999999995,52.92784,0.01,0.17821699003737293,0.01,0.01,0.01
135,Bangor,-4.129263,53.22739,0.07735500777248737,0.2860812958618706,0.01,0.01,0.01
136,Tywyn,-4.087249,52.58701,0.01,0.0903577576092862,0.01,0.01,0.0754591739262675
137,Aberystwyth,-4.08292,52.4153,0.01,0.25636471281385104,0.01,0.01,0.14827249713986124
138,Lampeter,-4.0785089999999995,52.1129,0.01,0.13967784594684482,0.01,0.01,0.08945572458870786
139,Barnstaple,-4.058338,51.07816,0.055875515126054424,0.25902964868719003,0.01,0.01,0.13116946257594522
140,Tain,-4.05523,57.8115,0.3682893990612096,0.10526333432195463,0.01,0.01,0.01
141,Okehampton,-4.004263,50.73831,0.018877327331966676,0.13562700210904663,0.01,0.01,0.04431509648960079
142,Llandeilo,-3.9914300000000003,51.88469,0.01,0.19216269401260053,0.01,0.01,0.01
143,Motherwell,-3.9810968,55.78321,0.3137562082411119,0.3631714639800317,0.13201062046972853,0.01,0.40637361549676787
144,Golspie,-3.976086,57.97341,0.18850961217018064,0.01,0.01,0.01,0.01
145,Airdrie,-3.9625660000000003,55.86626999999999,0.34359168113290595,0.30804141923445055,0.1270407999260272,0.01,0.19553740827003996
146,Swansea,-3.9436459999999998,51.62144,0.01,0.42911495785719,0.01,0.01,0.01
147,Stirling,-3.9369029,56.116519999999994,0.8038120575055111,0.33230430223251795,0.01,0.5726872469683115,0.01
148,Tregaron,-3.934385,52.22,0.01,0.13569236916377184,0.01,0.01,0.09745601885174074
149,Tregaron,-3.934385,52.22,0.01,0.13569236916377184,0.01,0.01,0.09745601885174074
150,Castle Douglas,-3.9314139999999997,54.940419999999996,0.0918798642395247,0.13634312328215004,0.01,0.5236888218763122,0.3697555820280597
151,Dolgellau,-3.8844,52.74215,0.01,0.09856149252881381,0.01,0.01,0.07747167449432275
