index,placename,longitude,latitude,'ee,du,tha,thee,thou,ye,you
120,Llangefni,-4.311401999999999,53.25578,0.01,0.01,0.04562532658529021,0.01,0.01,0.06514467963022817,0.8706152242312934
121,Caernarfon,-4.273911,53.13955,0.01,0.01,0.04550543920565235,0.01,0.01,0.06497350222673899,0.8666966088220416
122,Cumnock,-4.265828900000001,55.45355,0.389448111362629,0.01,0.01,0.01,0.01,0.8456456373700378,0.4217023388139151
123,Aberaeron,-4.2581619,52.24279,0.01,0.01,0.01,0.01,0.01,0.01,0.91583008540778
124,Alness,-4.256825,57.69595,0.01,0.01,0.06784832177296277,0.01,0.01,0.6781254820573612,0.4881528259407866
125,Glasgow,-4.251806,55.86424,0.01,0.01,0.07151258172076738,0.01,0.01,0.8168557396053251,0.489601286384699
126,Dalwhinnie,-4.242783,56.9366,0.01,0.01,0.06412636442805882,0.01,0.01,0.7324863343294844,0.37492471448125836
127,Inverness,-4.224721,57.47776999999999,0.01,0.01,0.06948111560755772,0.01,0.01,0.6944448113679682,0.5148374063374077
128,Saltash,-4.21643,50.409209999999995,0.9657068182770696,0.01,0.01,0.01,0.24526296727147237,0.06452092786308081,0.7455595676576516
129,Bideford,-4.206666,51.01668,0.9712767927488568,0.01,0.01,0.01,0.01,0.0648930697122339,0.8091475451762897
130,Invergordon,-4.1728819999999995,57.688109999999995,0.01,0.01,0.06788804943395865,0.01,0.01,0.7754543535747501,0.43332769992862774
131,Llanelli,-4.160248,51.680890000000005,0.01,0.01,0.01,0.01,0.24968569036831953,0.01,0.901766320802048
132,Plymouth,-4.1426565,50.37546,1.0,0.01,0.01,0.01,0.25397249209552986,0.06681212832088464,0.7940762410514361
133,Tavistock,-4.141654,50.551120000000004,0.9712981163019764,0.01,0.01,0.01,0.2466830031649067,0.06489449438420118,0.7534699208676112
134,Porthmadog,-4.1333839999999995,52.92784,0.01,0.01,0.04530745632304194,0.01,0.01,0.06469081862915829,0.8602253790987072
135,Bangor,-4.129263,53.22739,0.01,0.01,0.04611441105649358,0.01,0.01,0.06584300342477906,0.8866013434631292
136,Tywyn,-4.087249,52.58701,0.01,0.01,0.01,0.01,0.01,0.01,0.9020399110431371
137,Aberystwyth,-4.08292,52.4153,0.01,0.01,0.01,0.01,0.01,0.01,0.9551637148429905
138,Lampeter,-4.0785089999999995,52.1129,0.01,0.01,0.01,0.01,0.2439226871220336,0.01,0.8666265680446176
139,Barnstaple,-4.058338,51.07816,0.39268559951511867,0.01,0.01,0.01,0.24932839268437434,0.0655904126806083,0.8245125735218863
140,Tain,-4.05523,57.8115,0.01,0.01,0.06689007885108612,0.01,0.01,0.7640549888900885,0.41783345696649954
141,Okehampton,-4.004263,50.73831,0.9595469641553743,0.01,0.01,0.01,0.2436985337692405,0.06410937489906418,0.7368448431683863
142,Llandeilo,-3.9914300000000003,51.88469,0.01,0.01,0.01,0.01,0.24656105282775642,0.01,0.8827139298975772
143,Motherwell,-3.9810968,55.78321,0.01,0.01,0.06986274577916593,0.01,0.01,0.7980104130085796,0.46398634405519146
144,Golspie,-3.976086,57.97341,0.01,0.01,0.06412636442805882,0.01,0.01,0.8240471100975317,0.3225241661215873
145,Airdrie,-3.9625660000000003,55.86626999999999,0.01,0.01,0.06940109323357448,0.01,0.01,0.7927371656653044,0.4568188414972602
146,Swansea,-3.9436459999999998,51.62144,0.01,0.01,0.01,0.01,0.25444559793917954,0.01,0.9307897254471933
147,Stirling,-3.9369029,56.116519999999994,0.01,0.01,0.06964030455951277,0.01,0.01,0.7954695679904544,0.46053277702501155
148,Tregaron,-3.934385,52.22,0.01,0.01,0.01,0.01,0.2436985337692405,0.01,0.8652597991811821
149,Tregaron,-3.934385,52.22,0.01,0.01,0.01,0.01,0.2436985337692405,0.01,0.8652597991811821
150,Castle Douglas,-3.9314139999999997,54.940419999999996,0.3840127993433389,0.01,0.04492293487636458,0.01,0.650191314690814,0.6414180261811692,0.33373712161038965
151,Dolgellau,-3.8844,52.74215,0.01,0.01,0.044473905769278815,0.01,0.01,0.06350065983261818,0.8329801089607407
152,Aberfeldy,-3.866969,56.62175,0.01,0.01,0.06784591157090185,0.01,0.01,0.9687162830993503,0.32179371656887085
153,Machynlleth,-3.853485,52.59027,0.01,0.01,0.01,0.01,0.01,0.01,0.9179591669333361
