index,placename,longitude,latitude,after_perfective,after_perfective_with_modifier,control
47,Armagh,-6.652792,54.350280000000005,0.041811946407309106,0.14989840106040744,0.19877635092864554
48,Armagh,-6.652792,54.350280000000005,0.041811946407309106,0.14989840106040744,0.19877635092864554
49,Magherafelt,-6.607980499999999,54.75536999999999,0.01,0.2998449286545641,0.19688196727809687
50,Louth,-6.4889423,53.925230000000006,0.2025673819329243,0.6466311578688353,0.25104804072030185
51,Wexford,-6.4633381,52.33692,0.5776709888669127,0.3513947445982628,0.23536103431141328
52,Craigavon,-6.4175653,54.442930000000004,0.040511352330335135,0.5809427654199151,0.22680072109251523
53,Drogheda,-6.3560985,53.717859999999995,0.1552205729919048,0.3510649587921749,0.1833031950435082
54,Rosslare,-6.3414908,52.25131,0.12732974835773883,0.0774541309261367,0.01
55,Newry,-6.34023,54.1751,0.09146202993309871,0.49184550932415616,0.22293919306899632
56,Ballymena,-6.2802213,54.86529,0.01,0.30499338530908215,0.22504791319418502
57,Banbridge,-6.2704803,54.34873,0.014323642329739202,0.5648625328297968,0.18401587321402246
58,Dublin,-6.2603097000000005,53.34981,0.45669726241400094,0.6766586470100607,0.5903630367760818
59,Antrim,-6.2072498,54.719530000000006,0.01,0.12302984468435296,0.25029890402747274
60,Antrim,-6.2072498,54.719530000000006,0.01,0.12302984468435296,0.25029890402747274
61,Wicklow,-6.044589,52.980819999999994,0.10614646370401494,0.4806841329373522,0.260187444308341
62,Kilkeel,-6.007004,54.06312,0.05640411846669058,0.32353957767645025,0.11319702241183249
63,Belfast,-5.93012,54.597280000000005,0.01994548437839534,0.09736958510219153,0.5113857939896004
64,Down,-5.7156921999999994,54.32875,0.050104790300087534,0.0898143783874979,0.25023916392969003
65,Balivanich,-7.3743509000000005,57.472269999999995,0.01,0.01,0.024479655937295647
66,Western Isles,-7.0194034,57.759890000000006,0.01,0.01,0.1209772631411382
67,Dunvegan,-6.581398200000001,57.4366,0.01,0.01,0.01270095916733833
68,Stornoway,-6.384869200000001,58.209430000000005,0.01,0.01,0.18105350779138965
69,Scilly Isles,-6.327496599999999,49.92773,0.01,0.01,0.1261778906769334
70,Portree,-6.1960231,57.41246999999999,0.01,0.01,0.17618825868044616
71,Islay,-6.177067,55.73625,0.01,0.012746538354063993,0.12955139300528798
72,Mull,-6.0008870000000005,56.4392,0.01,0.018589850099561104,0.1313019315266259
73,Broadford,-5.9096592,57.24139,0.01,0.01,0.012796098418888863
74,Kyle of Lochalsh,-5.7143293,57.28261,0.01,0.01,0.012796098418888863
75,Campbeltown,-5.605373999999999,55.424119999999995,0.01,0.01,0.1425820581881381
76,Penzance,-5.537592,50.1188,0.01,0.01,0.2486849703816984
77,Oban,-5.471047,56.41516,0.01,0.01,0.19747359851472845
78,Lochgilphead,-5.4323449,56.03829,0.01,0.016766731733750793,0.10311905661795387
79,Helston,-5.274996,50.10159,0.01,0.01,0.1716314992396194
80,Redruth,-5.226666000000001,50.23302,0.01,0.01,0.19961787595517072
81,Ullapool,-5.161313,57.895419999999994,0.01,0.01,0.12160923590567109
82,Ballachulish,-5.133719999999999,56.673930000000006,0.01,0.01,0.012796098418888863
83,Fort William,-5.1052179,56.81981999999999,0.01,0.01,0.18861589301647752
84,Achnasheen,-5.078765799999999,57.578590000000005,0.01,0.01,0.012796098418888863
85,Newquay,-5.0737190000000005,50.4155,0.01,0.01,0.24050329594395914
86,Falmouth,-5.066269999999999,50.152570000000004,0.01,0.01,0.2644735071442462
87,Rothesay,-5.055793,55.83596,0.01,0.03036461029787113,0.1821623597251626
88,Truro,-5.051041000000001,50.2632,0.01,0.01,0.39113575381727594
89,Milford Haven,-5.0426971,51.71431,0.01,0.01,0.1600513475305587
90,Stranraer,-5.024055000000001,54.903369999999995,0.01,0.01,0.1675078707013622
91,Fishguard,-4.975989,51.99393,0.01,0.01,0.11516120817286944
92,Inchnadamph,-4.974295,58.15221,0.01,0.01,0.012796098418888863
93,Haverfordwest,-4.971319,51.80048,0.01,0.01,0.18238491683210525
94,Dunoon,-4.926214,55.95097,0.01,0.030901026374122693,0.1612976949823651
95,Pembroke,-4.908637000000001,51.674040000000005,0.01,0.01,0.24906783552370065
96,Girvan,-4.8542179,55.240159999999996,0.01,0.01,0.15492871093585697
97,Wadebridge,-4.836456,50.51665,0.01,0.01,0.1905159346148397
98,Invergarry,-4.800261,57.07095,0.01,0.01,0.012796098418888863
99,St Austell,-4.7834252,50.340379999999996,0.01,0.01,0.21133974341341538
100,Greenock,-4.7719830000000005,55.956480000000006,0.01,0.04616270848945313,0.2835090723134622
101,Helensburgh,-4.734014,56.00232,0.01,0.0315182173034367,0.17396551569177773
102,Bodmin,-4.7188629,50.4715,0.01,0.01,0.17283634413723978
103,Tenby,-4.703579,51.672740000000005,0.01,0.01,0.18238491683210525
104,Camelford,-4.682364,50.62206,0.01,0.01,0.11685970285002556
105,Irvine,-4.6696364,55.61156999999999,0.01,0.01,0.3087482474427152
106,Cardigan,-4.660864,52.0837,0.01,0.01,0.14692943653284868
107,Holyhead,-4.633038,53.30944,0.01,0.01,0.16396846055643957
108,Ayr,-4.629179,55.45856,0.01,0.01,0.3369214506599692
109,Dumbarton,-4.564554,55.94529,0.01,0.044752836403963416,0.2645496724243285
110,Bude,-4.543678,50.826640000000005,0.01,0.01,0.18335987240663099
111,Isle of Man,-4.5126330999999995,54.27697,0.01,0.01,0.3157489697522362
112,Kilmarnock,-4.498792,55.61472,0.01,0.01,0.2902564290341719
113,Newton Stewart,-4.483164,54.9603,0.01,0.01,0.12720867555944726
114,Liskeard,-4.4647190000000005,50.45552,0.01,0.01,0.18949984725946986
115,Altnaharra,-4.442655,58.28023,0.01,0.01,0.012747088731887984
116,Pwllheli,-4.417633900000001,52.888819999999996,0.01,0.01,0.14692943653284868
117,Lairg,-4.402414,58.022059999999996,0.01,0.01,0.012746311178168362
118,Launceston,-4.360451599999999,50.636829999999996,0.01,0.01,0.170889886865734
119,Carmarthen,-4.312131,51.857620000000004,0.01,0.01,0.24007762506382702
120,Llangefni,-4.311401999999999,53.25578,0.01,0.01,0.2250080727717419
121,Caernarfon,-4.273911,53.13955,0.01,0.01,0.2100625425159251
122,Cumnock,-4.265828900000001,55.45355,0.01,0.01,0.2164533373651783
123,Aberaeron,-4.2581619,52.24279,0.01,0.01,0.13298725836963723
124,Alness,-4.256825,57.69595,0.01,0.01,0.17851841232299956
125,Glasgow,-4.251806,55.86424,0.01,0.03604518723301748,0.6349842621127543
126,Dalwhinnie,-4.242783,56.9366,0.01,0.01,0.012796098418888863
127,Inverness,-4.224721,57.47776999999999,0.01,0.01,0.32800893686836724
128,Saltash,-4.21643,50.409209999999995,0.01,0.01,0.17397450543293141
129,Bideford,-4.206666,51.01668,0.01,0.01,0.20309005613947803
130,Invergordon,-4.1728819999999995,57.688109999999995,0.01,0.01,0.18140391955862706
131,Llanelli,-4.160248,51.680890000000005,0.01,0.01,0.2773171805009154
132,Plymouth,-4.1426565,50.37546,0.01,0.01,0.41678679137377356
133,Tavistock,-4.141654,50.551120000000004,0.01,0.01,0.20341256223936358
134,Porthmadog,-4.1333839999999995,52.92784,0.01,0.01,0.1869627607978314
135,Bangor,-4.129263,53.22739,0.01,0.01,0.29430902131361797
136,Tywyn,-4.087249,52.58701,0.01,0.01,0.10020206077975044
137,Aberystwyth,-4.08292,52.4153,0.01,0.01,0.26422025455088083
138,Lampeter,-4.0785089999999995,52.1129,0.01,0.01,0.14883383180652704
139,Barnstaple,-4.058338,51.07816,0.01,0.01,0.2673489563467632
140,Tain,-4.05523,57.8115,0.01,0.01,0.11784078590130714
141,Okehampton,-4.004263,50.73831,0.01,0.01,0.14497452122428806
