index,placename,longitude,latitude,FATHER=BATH≠TRAP,FATHER=CLOTH≠LOT,FATHER=DRESS,FATHER=FACE,FATHER=KIT,FATHER=LOT,"FATHER=PALM≠BATH,TRAP",FATHER=SQUARE,FATHER=TRAP
35,Derry,-7.308574799999999,54.99661,0.0342096898039462,0.01,0.01,0.8300438279105369,0.01,0.01,0.03763241471425809,0.01,0.5943935500755819
36,Derry,-7.308574799999999,54.99661,0.0342096898039462,0.01,0.01,0.8300438279105369,0.01,0.01,0.03763241471425809,0.01,0.5943935500755819
37,Kilkenny,-7.2447879,52.65415,0.01,0.6576561433590586,0.01,0.7320930611527898,0.01,0.3288280716795293,0.09957460335039262,0.01,0.01
38,Tyrone,-7.131232000000001,54.491209999999995,0.12718327964124698,0.01,0.01,0.01,0.01,0.01,0.019986877388632286,0.01,0.22098102885854687
39,Waterford,-7.110070200000001,52.25932,0.09985952861528877,0.7255256278916549,0.01,0.01,0.01,0.7255256278916549,0.01,0.01,0.01
40,Monaghan,-6.9683132,54.2492,0.16803034931365507,0.01,0.01,0.01,0.01,0.01,0.02640600241458083,0.01,0.2919528382624782
41,Carlow,-6.934135899999999,52.83651,0.01,0.606308840577309,0.01,0.6749340055353215,0.01,0.01,0.18360039031935366,0.01,0.01
42,Kildare,-6.8194707999999995,53.21204,0.10136654109193131,0.36823738501840325,0.01,0.8198327869396553,0.01,0.01,0.22301679637454117,0.01,0.01
43,Dungannon,-6.7669352,54.508269999999996,0.05589984360760354,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.38850405456705767
44,Cookstown,-6.7443895000000005,54.641819999999996,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5782016403025872
45,Coleraine,-6.6646103000000005,55.132580000000004,0.01,0.01,0.01,0.7316053238368316,0.01,0.01,0.01,0.01,0.6286822004711771
46,Meath,-6.656416900000001,53.60555,0.09042157712397508,0.01,0.01,0.7313120559751269,0.01,0.01,0.09946837603462223,0.01,0.3142150949437892
47,Armagh,-6.652792,54.350280000000005,0.07161780767423669,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.49774394461561744
48,Armagh,-6.652792,54.350280000000005,0.07161780767423669,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.49774394461561744
49,Magherafelt,-6.607980499999999,54.75536999999999,0.01,0.01,0.01,0.6344975222670415,0.01,0.01,0.01,0.01,0.4770811886614046
50,Louth,-6.4889423,53.925230000000006,0.18210758123729237,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.4746180564568554
51,Wexford,-6.4633381,52.33692,0.09508116969715902,0.34540432095852425,0.01,0.01,0.01,0.01,0.20918833406945936,0.01,0.1652035925164029
