,"placename","preposition_drop_determiner","preposition_drop_no_determiner","preposition_retained","preposition_drop_reduced_determiner","longitude","latitude"
101,"Helensburgh",0.016654936639201,0.026358662035671,0.976947719826931,0.01,-4.734014,56.00232
102,"Bodmin",0.027727604966833,0.620113246382719,0.610687058514535,0.01,-4.7188629,50.4715
103,"Tenby",0.038931415768096,0.127285329160723,0.895673615238938,0.01,-4.703579,51.67274
104,"Camelford",0.024003987042516,0.635377871432355,0.605008570520175,0.01,-4.682364,50.62206
105,"Irvine",0.015182620082491,0.01553941996706,0.984806333890878,0.01,-4.6696364,55.61157
106,"Cardigan",0.032405082864356,0.143736425814507,0.891897229786705,0.01,-4.660864,52.0837
107,"Holyhead",0.205646881135392,0.174955202640512,0.711641220055017,0.01,-4.633038,53.30944
108,"Ayr",0.01,0.01,0.994952205526603,0.01,-4.629179,55.45856
109,"Dumbarton",0.029228716534109,0.017102073574303,0.970772107103855,0.01,-4.564554,55.94529
110,"Bude",0.020610530533829,0.617819558854973,0.618698421365478,0.01,-4.543678,50.82664
111,"Isle of Man",0.124147216971865,0.183247676993693,0.782665431774513,0.01,-4.5126331,54.27697
112,"Kilmarnock",0.012108434438106,0.011986715484277,0.989802636126125,0.01,-4.498792,55.61472
113,"Newton Stewart",0.070217885020057,0.054550261571129,0.910102327863867,0.01,-4.483164,54.9603
114,"Liskeard",0.024316379273751,0.618586874098253,0.614782937753142,0.01,-4.464719,50.45552
115,"Altnaharra",0.010377387141631,0.020389195430724,0.986379784631122,0.01,-4.442655,58.28023
116,"Pwllheli",0.093996771019169,0.120216567588323,0.848564610663386,0.01,-4.4176339,52.88882
117,"Lairg",0.010528976500297,0.020782190729741,0.986002750860508,0.01,-4.402414,58.02206
118,"Launceston",0.017772377251937,0.611047931141087,0.625404335024398,0.01,-4.3604516,50.63683
119,"Carmarthen",0.039433461474867,0.128953670460103,0.894205222487939,0.01,-4.312131,51.85762
120,"Llangefni",0.218939785797031,0.168499199663478,0.703116144371795,0.01,-4.311402,53.25579
121,"Caernarfon",0.205646881135392,0.174955202640512,0.711641220055017,0.01,-4.273911,53.13955
122,"Cumnock",0.01,0.011271330352314,0.997132849974427,0.01,-4.2658289,55.45355
123,"Aberaeron",0.03658331320595,0.120571119731553,0.901887933536998,0.01,-4.2581619,52.24279
124,"Alness",0.011597006587149,0.01,0.994322721554858,0.01,-4.256825,57.69595
125,"Glasgow",0.032161260153422,0.020019778523725,0.966288480944416,0.01,-4.251806,55.86424
126,"Dalwhinnie",0.021756147228402,0.01,0.984022200411938,0.01,-4.242783,56.9366
127,"Inverness",0.010896935189273,0.01,0.995628343539625,0.01,-4.224721,57.47777
128,"Saltash",0.015044387724671,0.689010261944578,0.581212244785115,0.01,-4.21643,50.40921
129,"Bideford",0.015953493962103,0.416480712036539,0.743736781354972,0.01,-4.206666,51.01668
130,"Invergordon",0.011541108428084,0.01,0.994427088373122,0.01,-4.172882,57.68811
131,"Llanelli",0.056057107004704,0.117711853452027,0.885443420743423,0.01,-4.160248,51.68089
132,"Plymouth",0.015355358643524,0.695789571371755,0.576858385977523,0.01,-4.1426565,50.37546
133,"Tavistock",0.010322780579346,0.61218444999051,0.631669454389627,0.01,-4.141654,50.55112
134,"Porthmadog",0.105503380656358,0.117050292197097,0.839733346235192,0.01,-4.133384,52.92784
135,"Bangor",0.229052091693639,0.168499199663478,0.693686844251531,0.01,-4.129263,53.22739
136,"Tywyn",0.044650267196258,0.111188559819536,0.899990496398999,0.01,-4.087249,52.58701
137,"Aberystwyth",0.045269194072758,0.142576965593194,0.880596929818499,0.01,-4.08292,52.4153
138,"Lampeter",0.025181786177947,0.144914457622588,0.897926487054367,0.01,-4.078509,52.1129
139,"Barnstaple",0.016138440614366,0.382247625150055,0.764085891817918,0.01,-4.058338,51.07816
140,"Tain",0.010687974472918,0.021194388870764,0.985607401058874,0.01,-4.05523,57.8115
141,"Okehampton",0.011809439975477,0.546461590421805,0.669681784879944,0.01,-4.004263,50.73831
142,"Llandeilo",0.041894994771729,0.133743018367504,0.88903889219115,0.01,-3.99143,51.88469
