index,placename,longitude,latitude,dinna,dinnae,dinnit,divna,divnae,divnt,dont
118,Launceston,-4.360451599999999,50.636829999999996,0.01,0.01,0.01,0.01,0.01,0.01,0.1670901046609125
119,Carmarthen,-4.312131,51.857620000000004,0.01,0.01,0.01,0.01,0.01,0.01,0.23719587162673839
120,Llangefni,-4.311401999999999,53.255790000000005,0.01,0.01,0.01,0.01,0.01,0.01,0.22177124822299704
121,Caernarfon,-4.273911,53.13955,0.01,0.01,0.01,0.01,0.01,0.01,0.20675457572151248
122,Cumnock,-4.265828900000001,55.45355,0.10825244744746099,0.20109581949394012,0.01,0.01,0.01,0.01,0.1957302500570704
123,Aberaeron,-4.2581619,52.24279,0.01,0.01,0.01,0.01,0.01,0.01,0.12982889920377674
124,Alness,-4.256825,57.69595,0.07094223246280991,0.11807907022612987,0.01,0.01,0.01,0.01,0.16457855990210252
125,Glasgow,-4.251806,55.86424,0.0837161218583184,0.42021496786675205,0.01351057989328352,0.01,0.01,0.01,0.6046534523616687
126,Dalwhinnie,-4.242783,56.9366,0.01,0.042763951988555704,0.01,0.01,0.01,0.01,0.01
127,Inverness,-4.224721,57.47776999999999,0.09397048077313326,0.19074170930358839,0.01,0.01,0.01,0.01,0.30891421096909827
128,Saltash,-4.21643,50.409209999999995,0.01,0.011647501699921823,0.01,0.01,0.01,0.01,0.17005496327956657
129,Bideford,-4.206666,51.01668,0.01,0.01,0.01,0.01,0.01,0.01,0.1999534214656193
130,Invergordon,-4.1728819999999995,57.688109999999995,0.07180034974760455,0.11950735466799453,0.01,0.01,0.01,0.01,0.16734557547723666
131,Llanelli,-4.160248,51.680890000000005,0.01,0.01,0.01,0.01,0.01,0.012301236436913254,0.2741808844798206
132,Plymouth,-4.1426565,50.37546,0.01,0.024513149897654546,0.01,0.01,0.01,0.01,0.41302489988627644
133,Tavistock,-4.141654,50.551120000000004,0.01,0.012133386139517298,0.01,0.01,0.01,0.01,0.19957292048867323
134,Porthmadog,-4.1333839999999995,52.92784,0.01,0.01,0.01,0.01,0.01,0.01,0.18350675948166817
135,Bangor,-4.129263,53.22739,0.01,0.01,0.01,0.01,0.01,0.01,0.29129893396036083
136,Tywyn,-4.087249,52.58701,0.01,0.01,0.01,0.01,0.01,0.01,0.09674619848707051
137,Aberystwyth,-4.08292,52.4153,0.01,0.01,0.01,0.01,0.01,0.01,0.26174445965513193
138,Lampeter,-4.0785089999999995,52.1129,0.01,0.01,0.01,0.01,0.01,0.01,0.1457526308794389
139,Barnstaple,-4.058338,51.07816,0.01,0.01,0.01,0.01,0.01,0.01,0.2644376446806233
140,Tain,-4.05523,57.8115,0.113771716506498,0.08203567220398215,0.01,0.01,0.01,0.01,0.10342394682110932
141,Okehampton,-4.004263,50.73831,0.01,0.01,0.01,0.01,0.01,0.01,0.1415741618169538
142,Llandeilo,-3.9914300000000003,51.88469,0.01,0.01,0.01,0.01,0.01,0.03621448897602914,0.1974129471392656
143,Motherwell,-3.9810968,55.78321,0.11992419918296555,0.2646666746064983,0.01,0.01,0.01,0.01,0.34895689215088854
144,Golspie,-3.976086,57.97341,0.04993677014059421,0.035078859585736824,0.01,0.01,0.01,0.01,0.01
145,Airdrie,-3.9625660000000003,55.86626999999999,0.12789684324767073,0.21805020063033229,0.01,0.01,0.01,0.01,0.2963946504634212
146,Swansea,-3.9436459999999998,51.62144,0.01,0.01,0.01,0.01,0.01,0.015658446024435488,0.4324516860923547
147,Stirling,-3.9369029,56.116519999999994,0.03806293602265621,0.832355834892508,0.01,0.01,0.01,0.01,0.29239679453916045
148,Tregaron,-3.934385,52.22,0.01,0.01,0.01,0.01,0.01,0.01,0.1418092244608751
149,Tregaron,-3.934385,52.22,0.01,0.01,0.01,0.01,0.01,0.01,0.1418092244608751
150,Castle Douglas,-3.9314139999999997,54.940419999999996,0.01738958800002969,0.18519837369604356,0.01,0.01,0.01,0.05530030202636295,0.1315303048170472
151,Dolgellau,-3.8844,52.74215,0.01,0.01,0.01,0.01,0.01,0.01,0.10489718539643589
152,Aberfeldy,-3.866969,56.62175,0.06418365887100769,0.32062089745249955,0.01,0.01,0.01,0.01,0.15275418005416322
153,Machynlleth,-3.853485,52.59027,0.01,0.01,0.01,0.01,0.01,0.01,0.135459564207701
154,Brora,-3.8525480000000005,58.012159999999994,0.10500746155881129,0.07138036207831709,0.01,0.01,0.01,0.01,0.08241388194801852
155,Llandudno,-3.827609,53.324059999999996,0.01,0.01,0.01,0.01,0.01,0.01,0.24364019579067894
156,Llandudno,-3.827609,53.324059999999996,0.01,0.01,0.01,0.01,0.01,0.01,0.24364019579067894
157,Aviemore,-3.823812,57.19449,0.04202423230071638,0.07743188394492086,0.01,0.01,0.01,0.01,0.14797667006653153
158,Dalbeattie,-3.8225269999999996,54.934219999999996,0.012113818507512582,0.14203862343878582,0.01,0.01,0.01,0.04377605293537372,0.09040892015873282
159,Falkirk,-3.7839131,56.00188000000001,0.03558239124715187,0.9524868656396427,0.01,0.01,0.01,0.01,0.2861154614789566
160,Kingsbridge,-3.777493,50.28395,0.01,0.010700515884030001,0.01,0.01,0.01,0.01,0.1784039255206437
161,Pitlochry,-3.729711,56.70436,0.03237488966778394,0.28707744811681973,0.01,0.01,0.01,0.01,0.10134666186398186
162,Colwyn Bay,-3.72764,53.29318000000001,0.01,0.01,0.01,0.01,0.01,0.01,0.22328189664459483
163,Totnes,-3.685797,50.43374,0.01,0.01,0.01,0.01,0.01,0.01,0.1867998478134743
164,Grantown-on-Spey,-3.609628,57.33041,0.2124823394719678,0.04270201091530166,0.01,0.01,0.01,0.01,0.08932776972786097
165,Dumfries,-3.60512,55.070859999999996,0.01363212351440439,0.16269557205816104,0.01,0.01,0.01,0.08415727541081704,0.24891407664991766
166,Whitehaven,-3.589233,54.5497,0.01,0.042249192213681126,0.01,0.01,0.01,0.13021126441128653,0.21834051174935312
167,Dartmouth,-3.578807,50.35252,0.01,0.01,0.01,0.01,0.01,0.01,0.15075450171807395
168,Bridgend,-3.576945,51.504290000000005,0.01,0.01,0.01,0.01,0.01,0.01,0.3288667436827392
169,Paignton,-3.564235,50.43508,0.01,0.01,0.01,0.01,0.01,0.01,0.2752841660682947
170,Workington,-3.5427519999999997,54.64357,0.01,0.17421961516485296,0.01,0.01,0.01,0.08230494416815275,0.20771955562556213
171,Llanidloes,-3.5401949999999998,52.447790000000005,0.01,0.01,0.01,0.01,0.01,0.01,0.11773472210701397
172,Exeter,-3.533899,50.71841,0.01,0.01,0.01,0.01,0.01,0.015415278389827949,0.4483451252664551
173,Torquay,-3.525315,50.46192,0.01,0.01,0.01,0.01,0.01,0.01,0.2823556715654336
174,Thurso,-3.5220800000000003,58.59356999999999,0.25111462501733045,0.10935585566263195,0.01,0.01,0.01,0.01,0.14155884307886565
175,Livingston,-3.518068,55.90071,0.026788887081850454,0.8399669322522557,0.01,0.01,0.01,0.01,0.28774321330965114
176,Rhyl,-3.4916339999999995,53.319140000000004,0.01,0.01,0.01,0.01,0.01,0.01,0.21994270031413626
177,Tiverton,-3.491207,50.90205,0.01,0.01,0.01,0.01,0.01,0.01,0.1984977622748245
178,Tiverton,-3.491207,50.90205,0.01,0.01,0.01,0.01,0.01,0.01,0.1984977622748245
179,Minehead,-3.481152,51.20428,0.01,0.01,0.01,0.01,0.01,0.01,0.15261552004912435
