,placename,past_participle,present_participle,longitude,latitude
120,Llangefni,0.6731330520183725,0.32686697287675665,-4.311401999999999,53.255790000000005
121,Caernarfon,0.6732077374061765,0.326792212803565,-4.273911,53.13955
122,Cumnock,0.01933355738949673,0.9806663928202447,-4.265828900000001,55.45355
123,Aberaeron,0.5342283132305166,0.46577161208409573,-4.2581619,52.24279
124,Alness,0.23620772495861178,0.7637922252511297,-4.256825,57.69595
125,Glasgow,0.07613428432727136,0.9238656658824701,-4.251806,55.86424
126,Dalwhinnie,0.1869969005564061,0.8130030621009,-4.242783,56.9366
127,Inverness,0.23924418387542476,0.760755853467269,-4.224721,57.47776999999999
128,Saltash,0.7695449170369818,0.23045504562032437,-4.21643,50.409209999999995
129,Bideford,0.7298328292069657,0.27016710855521114,-4.206666,51.01668
130,Invergordon,0.2519044773889988,0.7480955101634366,-4.1728819999999995,57.688109999999995
131,Llanelli,0.5668324682275913,0.4331675193248441,-4.160248,51.680890000000005
132,Plymouth,0.763699540684865,0.23630039707731182,-4.1426565,50.37546
133,Tavistock,0.7444958113945006,0.255504201053064,-4.141654,50.551120000000004
134,Porthmadog,0.6089022492749293,0.39109777562019993,-4.1333839999999995,52.92784
135,Bangor,0.6659452058204811,0.3340548066270834,-4.129263,53.22739
136,Tywyn,0.5496071548601515,0.45039285758741304,-4.087249,52.58701
137,Aberystwyth,0.4751559057470406,0.5248440320151362,-4.08292,52.4153
138,Lampeter,0.5197661102605275,0.48023381505408463,-4.0785089999999995,52.1129
139,Barnstaple,0.6856343901315708,0.31436553518304144,-4.058338,51.07816
140,Tain,0.2454044836127812,0.7545955412823482,-4.05523,57.8115
141,Okehampton,0.75555348096145,0.24444645680072694,-4.004263,50.73831
142,Llandeilo,0.5714156615258225,0.4285842637887898,-3.9914300000000003,51.88469
143,Motherwell,0.08939977843334948,0.9106001593288273,-3.9810968,55.78321
144,Golspie,0.23531535905000178,0.7646846533975628,-3.976086,57.97341
145,Airdrie,0.09541892278775657,0.9045810398695494,-3.9625660000000003,55.86626999999999
