index,placename,longitude,latitude,after_perfective,after_perfective_with_modifier,control
39,Tyrone,-7.131232000000001,54.491209999999995,0.036039359219431126,0.3268435254795007,0.13301698942012483
40,Waterford,-7.110070200000001,52.25932,0.6538614730782105,0.7643772660439678,0.25400951718779907
41,Western Isles,-7.0194034,57.759890000000006,0.01026954324416118,0.01,0.11994600159905752
42,Monaghan,-6.9683132,54.2492,0.09774230359202733,0.4891936164924665,0.1928763812140573
43,Carlow,-6.934135899999999,52.83651,0.37125799282236455,0.6105145741228047,0.2145549535144511
44,Kildare,-6.8194707999999995,53.21204,0.42324618950455106,0.5329057131746969,0.27942044046128633
45,Dungannon,-6.7669352,54.508269999999996,0.02606371007180749,0.32300628687720306,0.13907175870731603
46,Cookstown,-6.7443895000000005,54.641819999999996,0.03272007044225907,0.36687935935048377,0.17842108484765548
47,Coleraine,-6.6646103000000005,55.132580000000004,0.03897726934261863,0.4529923127626294,0.26746931725016443
48,Meath,-6.656416900000001,53.60555,0.2849896864551751,0.4341892204072908,0.249340297647892
49,Armagh,-6.652792,54.350280000000005,0.040420685412063895,0.45606356404317716,0.19599994072838298
50,Armagh,-6.652792,54.350280000000005,0.040420685412063895,0.45606356404317716,0.19599994072838298
51,Magherafelt,-6.607980499999999,54.75536999999999,0.01959331644188133,0.3217181915939565,0.1952422595280971
52,Dunvegan,-6.581398200000001,57.4366,0.01,0.01,0.01206640483504661
53,Louth,-6.4889423,53.925230000000006,0.2501372312975967,0.5424144086628352,0.25307930870069506
54,Wexford,-6.4633381,52.33692,0.48850378575397174,0.6786496566957951,0.24913344313141286
55,Craigavon,-6.4175653,54.442930000000004,0.03547199098451527,0.4236932287228027,0.2302092661206035
56,Stornoway,-6.384869200000001,58.209430000000005,0.012670067856576286,0.01,0.17989348741656877
57,Drogheda,-6.3560985,53.717859999999995,0.2185196674885643,0.30344717495679857,0.18219120470329397
58,Rosslare,-6.3414908,52.25131,0.10833945674922278,0.1481725780143495,0.01
59,Newry,-6.34023,54.1751,0.12536461410287605,0.46060828112395835,0.22284319570267164
60,Scilly Isles,-6.327496599999999,49.92773,0.01,0.01,0.12598009518474731
61,Ballymena,-6.2802213,54.86529,0.022554182968262358,0.3025837926418208,0.2234747068551096
62,Banbridge,-6.2704803,54.34873,0.034118335081339206,0.336039738487871,0.18588858706199846
63,Dublin,-6.2603097000000005,53.34981,0.5753871607485502,0.7675722029065943,0.5896998451528179
64,Antrim,-6.2072498,54.719530000000006,0.017796716179905605,0.11074772323542771,0.2494444671195121
65,Antrim,-6.2072498,54.719530000000006,0.017796716179905605,0.11074772323542771,0.2494444671195121
66,Portree,-6.1960231,57.41246999999999,0.01,0.01,0.17507655826312918
67,Islay,-6.177067,55.73625,0.020022950598207856,0.06841047563819584,0.12722059381816803
68,Wicklow,-6.044589,52.980819999999994,0.301590565462347,0.46794956596747966,0.24818362267311497
69,Kilkeel,-6.007004,54.06312,0.08193300724680448,0.28639255041992734,0.1128751073696545
70,Mull,-6.0008870000000005,56.4392,0.023164842531307697,0.04148293554530732,0.12895645492730876
71,Belfast,-5.93012,54.597280000000005,0.03376791900808742,0.1850440234499873,0.5094978980986766
72,Broadford,-5.9096592,57.24139,0.01,0.01,0.012146908259310635
73,Down,-5.7156921999999994,54.32875,0.02557109133952427,0.19366189938001524,0.25154684404659056
74,Kyle of Lochalsh,-5.7143293,57.28261,0.01,0.01,0.012149336215926518
75,Campbeltown,-5.605373999999999,55.424119999999995,0.023732093948024058,0.04018903741201197,0.14022675700392906
76,Penzance,-5.537592,50.1188,0.01,0.01,0.24861010572738942
77,Oban,-5.471047,56.41516,0.03202168564267823,0.028671758291633574,0.19438086393175988
78,Lochgilphead,-5.4323449,56.03829,0.010656188552311728,0.03144324377194515,0.1017891922065955
79,Helston,-5.274996,50.10159,0.01,0.01,0.17147403877588574
80,Redruth,-5.226666000000001,50.23302,0.01,0.01,0.19949199668644296
81,Ullapool,-5.161313,57.895419999999994,0.01,0.01,0.12063750531957268
82,Ballachulish,-5.133719999999999,56.673930000000006,0.01,0.01,0.011757657619891624
83,Fort William,-5.1052179,56.81981999999999,0.02848177867587739,0.01,0.1861116674388973
84,Achnasheen,-5.078765799999999,57.578590000000005,0.01,0.01,0.012111806036863954
85,Newquay,-5.0737190000000005,50.4155,0.01,0.01,0.24010867099471944
86,Falmouth,-5.066269999999999,50.152570000000004,0.01,0.01,0.26407971939473757
87,Rothesay,-5.055793,55.83596,0.014713871178891553,0.04434660769102481,0.18072049808402363
88,Truro,-5.051041000000001,50.2632,0.01,0.01,0.3907463899586527
89,Milford Haven,-5.0426971,51.71431,0.01,0.01,0.15941595435319775
