placename,past_participle,present_participle,longitude,latitude
Llanelli,0.40416667,0.5958333, -4.1602480,51.68089
Plymouth,0.54854369,0.4514563, -4.1426565,50.37546
Tavistock,0.56067961,0.4393204, -4.1416540,50.55112
Porthmadog,0.54098361,0.4590164, -4.1333840,52.92784
Bangor,0.45959596,0.5404040, -4.1292630,53.22739
Tywyn,0.47468354,0.5253165, -4.0872490,52.58701
Aberystwyth,0.45226131,0.5477387, -4.0829200,52.41530
Lampeter,0.44326241,0.5567376, -4.0785090,52.11290
Barnstaple,0.47955390,0.5204461, -4.0583380,51.07816
Tain,0.21401752,0.7859825, -4.0552300,57.81150
Okehampton,0.57101449,0.4289855, -4.0042630,50.73831
Llandeilo,0.38934426,0.6106557, -3.9914300,51.88469
Motherwell,0.11352041,0.8864796, -3.9810968,55.78321
Golspie,0.21401752,0.7859825, -3.9760860,57.97341
Airdrie,0.11389237,0.8861076, -3.9625660,55.86627
Swansea,0.38492063,0.6150794, -3.9436460,51.62144
Stirling,0.12978369,0.8702163, -3.9369029,56.11652
Tregaron,0.43750000,0.5625000, -3.9343850,52.22000
Tregaron,0.43750000,0.5625000, -3.9343850,52.22000
Castle Douglas,0.34207077,0.6579292, -3.9314140,54.94042
Dolgellau,0.50783699,0.4921630, -3.8844000,52.74215
Aberfeldy,0.17441860,0.8255814, -3.8669690,56.62175
Machynlleth,0.49030471,0.5096953, -3.8534850,52.59027
Brora,0.21242236,0.7875776, -3.8525480,58.01216
Llandudno,0.48339380,0.5166062, -3.8276090,53.32406
Llandudno,0.48339380,0.5166062, -3.8276090,53.32406
Aviemore,0.22525597,0.7747440, -3.8238120,57.19449
Dalbeattie,0.34720416,0.6527958, -3.8225270,54.93422
Falkirk,0.12519320,0.8748068, -3.7839131,56.00188
Kingsbridge,0.54913295,0.4508671, -3.7774930,50.28395
Pitlochry,0.17695473,0.8230453, -3.7297110,56.70436
Colwyn Bay,0.48829997,0.5117000, -3.7276400,53.29318
Totnes,0.55172414,0.4482759, -3.6857970,50.43374
Grantown-on-Spey,0.20965693,0.7903431, -3.6096280,57.33041
Dumfries,0.33420708,0.6657929, -3.6051200,55.07086
Whitehaven,0.58683729,0.4131627, -3.5892330,54.54970
Dartmouth,0.55388941,0.4461106, -3.5788070,50.35252
Bridgend,0.43684896,0.5631510, -3.5769450,51.50429
Paignton,0.54881517,0.4511848, -3.5642350,50.43508
Workington,0.53617021,0.4638298, -3.5427520,54.64357
Llanidloes,0.47727273,0.5227273, -3.5401950,52.44779
Exeter,0.55974265,0.4402574, -3.5338990,50.71841
Torquay,0.55411656,0.4458834, -3.5253150,50.46192
Thurso,0.21401752,0.7859825, -3.5220800,58.59357
Livingston,0.12005366,0.8799463, -3.5180680,55.90071
Rhyl,0.48743293,0.5125671, -3.4916340,53.31914
Tiverton,0.55048544,0.4495146, -3.4912070,50.90205
Tiverton,0.55048544,0.4495146, -3.4912070,50.90205
Minehead,0.51168831,0.4883117, -3.4811520,51.20428
Dunfermline,0.12335958,0.8766404, -3.4521510,56.07174
Perth,0.16129032,0.8387097, -3.4308381,56.39499
Prestatyn,0.49000779,0.5099922, -3.4076130,53.33651
Builth Wells,0.55612245,0.4438776, -3.4045920,52.15002
Braemar,0.22352941,0.7764706, -3.3979439,57.00647
Brecon,0.49681529,0.5031847, -3.3914630,51.94895
Merthyr Tydfil,0.50314465,0.4968553, -3.3816460,51.74873
Llandrindod Wells,0.55263158,0.4473684, -3.3777420,52.24170
Corwen,0.34506089,0.6549391, -3.3692420,52.98005
Cockermouth,0.52573932,0.4742607, -3.3679850,54.66326
Lockerbie,0.34059098,0.6594090, -3.3490080,55.12224
Blairgowrie,0.18045113,0.8195489, -3.3378318,56.58941
