,Unnamed:_0,Unnamed:_0,placename,avoid,demsel,demsels,emsel,emself,emsels,emsen,hersel,himself,himsen,theirsel,theirself,theirselfs,theirseln,theirsels,theirselves,theirsen,theirsens,them,themsel,themself,themselfs,themselns,themsels,themselves,themsen,themsens,theysen,longitude,latitude
56,56,56,Ballymena,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.5029940127440926,0.8571428583673469,0.01,0.01,0.01,0.01,0.5,0.2500000009375,0.01,0.01,0.25,0.01,0.01,0.01,-6.2802213,54.86529
57,57,57,Banbridge,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.21428571153061227,0.01,0.01,0.01,1.0,0.01,0.01,0.14285714163265306,0.01,0.416666625,0.12499999859375002,0.01,0.01,0.416666625,0.01,0.01,0.01,-6.2704803,54.34873
58,58,58,Dublin,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5,0.01,0.01,0.01,0.7499999999999999,0.01,0.01,0.01,-6.2603097000000005,53.34981
59,59,59,Antrim,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.8571428583673469,0.01,0.01,0.01,0.01,0.8749999999999999,0.01,0.01,0.01,0.125,0.01,0.01,0.01,-6.2072498,54.719530000000006
60,60,60,Antrim,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.8571428583673469,0.01,0.01,0.01,0.01,0.8749999999999999,0.01,0.01,0.01,0.125,0.01,0.01,0.01,-6.2072498,54.719530000000006
61,61,61,Wicklow,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5,0.01,0.01,0.01,0.7499999999999999,0.01,0.01,0.01,-6.044589,52.980819999999994
62,62,62,Kilkeel,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.21428571153061227,0.01,0.01,0.01,0.14285714163265306,0.01,0.01,0.14285714163265306,0.01,0.666666625,0.12499999859375002,0.01,0.01,0.416666625,0.01,0.01,0.01,-6.007004,54.06312
63,63,63,Belfast,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.21428571153061227,0.01,0.01,0.01,0.14285714163265306,0.01,0.01,0.14285714163265306,0.01,0.666666625,0.12499999859375002,0.01,0.01,0.416666625,0.01,0.01,0.01,-5.93012,54.59728000000001
64,64,64,Down,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.21428571153061227,0.01,0.01,0.01,0.14285714163265306,0.01,0.01,0.14285714163265306,0.01,0.666666625,0.12499999859375002,0.01,0.01,0.416666625,0.01,0.01,0.01,-5.7156921999999994,54.32875
65,65,65,Balivanich,0.16666665,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.6167035356045892,0.15773809454931975,0.11805554940972225,0.01,0.17914171410837007,0.2242063503202948,0.06249999929687501,0.01,0.16326530594752184,0.6320797499093075,0.45502650000000006,0.05555555618055556,0.01,0.09607645809830816,0.2727347499999999,0.01,0.01,0.01,-7.3743509000000005,57.472269999999995
66,66,66,Western Isles,0.16666665,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.4773230106997415,0.2648809535289116,0.11805554940972225,0.01,0.17914171410837007,0.2242063503202948,0.06249999929687501,0.01,0.16326530594752184,0.5178975995496145,0.45502650000000006,0.05555555618055556,0.01,0.09607645809830816,0.293568125,0.01,0.01,0.01,-7.0194034,57.75989000000001
67,67,67,Dunvegan,0.16666665,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.4773230106997415,0.2648809535289116,0.11805554940972225,0.01,0.17914171410837007,0.2242063503202948,0.06249999929687501,0.01,0.16326530594752184,0.5178975995496145,0.45502650000000006,0.05555555618055556,0.01,0.09607645809830816,0.293568125,0.01,0.01,0.01,-6.5813982000000015,57.4366
68,68,68,Stornoway,0.16666665,0.01,0.01,0.01,0.01,0.5000001500000151,0.01,1.0,0.01,0.01,0.2981194667323205,0.15773809454931975,0.3680555531597223,0.01,0.31087824466880604,0.17658730310941045,0.06249999929687501,0.01,0.2857142875510204,0.9039420025572052,0.289351875,0.01388888998263889,0.01,0.3978873268091649,0.31539349999999994,0.01,0.01,0.01,-6.3848692000000025,58.20943000000001
69,69,69,Scilly Isles,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.4833332656666694,0.01,0.01,0.5714285705102041,0.01,0.01,0.01,0.2142857145918368,0.01,0.01,0.26190476180272104,0.01,0.458333375,0.01,0.01,0.01,0.44444449999999996,0.01,0.01,0.01,-6.327496599999999,49.92773
