index,placename,longitude,latitude,want,wanting
105,Irvine,-4.6696364,55.61156999999999,0.2963557129920794,0.48252408038346517
106,Cardigan,-4.660864,52.0837,0.1363989204836282,0.036876162688706665
107,Holyhead,-4.633038,53.30944,0.15268592043708612,0.1367207847363958
108,Ayr,-4.629179,55.45856,0.3246126804275481,0.5055902729559894
109,Dumbarton,-4.564554,55.94529,0.2535784039684608,0.32722159280262414
110,Bude,-4.543678,50.826640000000005,0.17320584397626748,0.048941131624668836
111,Isle of Man,-4.5126330999999995,54.27697,0.3042425588842312,0.3689214426855601
112,Kilmarnock,-4.498792,55.61472,0.27805540641903287,0.43948434906157924
113,Newton Stewart,-4.483164,54.9603,0.11440419922243991,0.24761115152534321
114,Liskeard,-4.4647190000000005,50.45552,0.17925192868700818,0.06694379940470735
115,Altnaharra,-4.442655,58.28023,0.01,0.05619591634917464
116,Pwllheli,-4.417633900000001,52.888819999999996,0.13584912486997722,0.09268002216631878
117,Lairg,-4.402414,58.022059999999996,0.01,0.05439625972928271
118,Launceston,-4.360451599999999,50.636829999999996,0.16054604335106515,0.050996796086884746
119,Carmarthen,-4.312131,51.857620000000004,0.2307887770364908,0.03940350629491265
120,Llangefni,-4.311401999999999,53.255790000000005,0.21419186597019121,0.1736314613296996
121,Caernarfon,-4.273911,53.13955,0.19928734179105934,0.14884226137176068
122,Cumnock,-4.265828900000001,55.45355,0.204052783704459,0.3396985989589915
123,Aberaeron,-4.2581619,52.24279,0.12246571911188345,0.03341687777676716
124,Alness,-4.256825,57.69595,0.16719391970716171,0.17695305067476302
125,Glasgow,-4.251806,55.86424,0.6260318869621285,0.6125640496096048
126,Dalwhinnie,-4.242783,56.9366,0.01,0.0613450599912891
127,Inverness,-4.224721,57.47776999999999,0.31770085542998916,0.2642115388862298
128,Saltash,-4.21643,50.409209999999995,0.1637070668373689,0.047498424157682184
129,Bideford,-4.206666,51.01668,0.19353721881438982,0.03613867898169279
130,Invergordon,-4.1728819999999995,57.688109999999995,0.17010091910037975,0.17898429070007663
131,Llanelli,-4.160248,51.680890000000005,0.2684688214569086,0.046091453122756275
132,Plymouth,-4.1426565,50.37546,0.40934115133420973,0.0962014564367013
133,Tavistock,-4.141654,50.551120000000004,0.19343758516339565,0.058443939740645
134,Porthmadog,-4.1333839999999995,52.92784,0.17621644466077116,0.11403139252025907
135,Bangor,-4.129263,53.22739,0.28401714045911947,0.21606022355213306
136,Tywyn,-4.087249,52.58701,0.08894561575405054,0.046066318091059516
137,Aberystwyth,-4.08292,52.4153,0.2552674853846687,0.07005318304037761
138,Lampeter,-4.0785089999999995,52.1129,0.13847826112285586,0.03968253007527773
139,Barnstaple,-4.058338,51.07816,0.2586433856620924,0.044544226783069886
140,Tain,-4.05523,57.8115,0.10611660791462985,0.12994535755968262
141,Okehampton,-4.004263,50.73831,0.13446622287673812,0.0428637926093849
142,Llandeilo,-3.9914300000000003,51.88469,0.19089762268777316,0.042935108249159804
143,Motherwell,-3.9810968,55.78321,0.3626166366539177,0.404863177026283
144,Golspie,-3.976086,57.97341,0.01,0.05446580659299998
145,Airdrie,-3.9625660000000003,55.86626999999999,0.3067585046204909,0.4500168782176105
146,Swansea,-3.9436459999999998,51.62144,0.42801976786928636,0.08606725368237907
147,Stirling,-3.9369029,56.116519999999994,0.3341261283676673,0.4981033831697136
148,Tregaron,-3.934385,52.22,0.13441727292491856,0.04783306384217646
149,Tregaron,-3.934385,52.22,0.13441727292491856,0.04783306384217646
150,Castle Douglas,-3.9314139999999997,54.940419999999996,0.13428918304676019,0.28207662886620627
