,placename,plural_control,plural_dem,longitude,latitude
27,Enniskillen,0.9848988226186368,0.015100992086037837,-7.631533599999999,54.343819999999994
28,Doon,0.9854950774117046,0.014504897846674955,-7.60964,54.185930000000006
29,Westmeath,0.8227352670976383,0.17726465165217312,-7.4653217000000005,53.534530000000004
30,Strabane,0.9828222839558866,0.017177890026186617,-7.4633103,54.82739
31,Cavan,0.909962568214337,0.09003751165411947,-7.3633319,53.98972
32,Mullingar,0.822254375563611,0.1777456953339025,-7.340186800000001,53.525819999999996
33,Laois,0.8276502490240609,0.17234974980750603,-7.332300699999999,52.99429
34,Omagh,0.9831193549123196,0.01688053593124079,-7.309959700000001,54.59771
35,Derry,0.983514463510137,0.01648541041368548,-7.308574799999999,54.99661
36,Kilkenny,0.8650363964743637,0.13496371909865035,-7.2447879,52.65415
37,Tyrone,0.9806599623569263,0.01933986520415347,-7.131232000000001,54.491209999999995
38,Waterford,0.8756430550895478,0.12435674310321011,-7.110070200000001,52.25932
39,Monaghan,0.9634923881377834,0.03650765143678607,-6.9683132,54.2492
40,Carlow,0.8543076133834908,0.14569229558062777,-6.934135899999999,52.83651
41,Kildare,0.8501059398133397,0.14989396087680984,-6.8194707999999995,53.21204
42,Dungannon,1.0,0.01,-6.7669352,54.508269999999996
43,Cookstown,1.0,0.01,-6.7443895000000005,54.641819999999996
44,Coleraine,0.9631741883793279,0.03682580049956096,-6.6646103000000005,55.132580000000004
45,Meath,0.8470312765430573,0.15296870879223157,-6.656416900000001,53.60555
46,Armagh,0.9793867407470636,0.020613467186271824,-6.652792,54.350280000000005
47,Magherafelt,1.0,0.01,-6.607980499999999,54.75536999999999
48,Louth,0.9159889251271326,0.08401114603514422,-6.4889423,53.925230000000006
49,Wexford,0.8516208749183374,0.1483792792534298,-6.4633381,52.33692
50,Craigavon,0.9906196570541886,0.01,-6.4175653,54.442930000000004
51,Drogheda,0.8474914618511029,0.15250865446331807,-6.3560985,53.717859999999995
52,Rosslare,0.8516208749183374,0.1483792792534298,-6.3414908,52.25131
53,Newry,0.9271419745626124,0.0728579397752208,-6.34023,54.1751
54,Ballymena,0.9815469494658217,0.018453102023087108,-6.2802213,54.86529
55,Banbridge,0.9787114642344312,0.021288464827240977,-6.2704803,54.34873
56,Dublin,0.8505035838673994,0.1494962449680171,-6.2603097000000005,53.34981
57,Antrim,0.9792515164141208,0.020748416850490774,-6.2072498,54.719530000000006
58,Wicklow,0.8573941087829046,0.14260570708405237,-6.044589,52.980819999999994
59,Kilkeel,0.9509773761239465,0.04902274426892842,-6.007004,54.06312
60,Belfast,0.9586217766956077,0.041378318019669985,-5.93012,54.597280000000005
61,Down,0.9587730589180873,0.04122693437254365,-5.7156921999999994,54.32875
62,Balivanich,0.8804997215223891,0.11950036804261797,-7.3743509000000005,57.472269999999995
63,Western Isles,0.885625991469035,0.11437401336413688,-7.0194034,57.759890000000006
64,Dunvegan,0.8855959885701636,0.11440392752330412,-6.581398200000001,57.4366
65,Stornoway,0.8853889263103449,0.11461128559511323,-6.384869200000001,58.209430000000005
66,Scilly Isles,0.8364372952090865,0.16356253422073744,-6.327496599999999,49.92773
67,Portree,0.8817695625239282,0.11823026499026236,-6.1960231,57.41246999999999
68,Islay,0.8623378258800779,0.13766225600088638,-6.177067,55.73625
69,Mull,0.8703718415610298,0.12962813856218244,-6.0008870000000005,56.4392
70,Broadford,0.8791060657409998,0.12089373653118048,-5.9096592,57.24139
71,Kyle of Lochalsh,0.8793900368401795,0.1206101372869324,-5.7143293,57.28261
72,Campbeltown,0.8564834574157446,0.14351639652153983,-5.605373999999999,55.424119999999995
73,Penzance,0.8426664886212952,0.15733369550918705,-5.537592,50.1188
74,Oban,0.8678148339402929,0.13218526883802867,-5.471047,56.41516
75,Lochgilphead,0.8680379540896485,0.1319621402277237,-5.4323449,56.03829
76,Helston,0.841475669339319,0.1585243035534548,-5.274996,50.10159
77,Redruth,0.8444214469172658,0.15557839062668832,-5.226666000000001,50.23302
78,Ullapool,0.8850905876257907,0.11490921861925893,-5.161313,57.895419999999994
79,Ballachulish,0.8766631536511836,0.12333699946235649,-5.133719999999999,56.673930000000006
80,Fort William,0.8758395529483547,0.12416060865150952,-5.1052179,56.81981999999999
81,Achnasheen,0.8855672533994126,0.11443265001798696,-5.078765799999999,57.578590000000005
82,Newquay,0.8411785983828859,0.15882159426199183,-5.0737190000000005,50.4155
83,Falmouth,0.8440736668359787,0.15592631439853122,-5.066269999999999,50.152570000000004
84,Rothesay,0.8620204712737033,0.13797944159024836,-5.055793,55.83596
85,Truro,0.8409491395929242,0.15905076570993054,-5.051041000000001,50.2632
86,Milford Haven,0.8172958683050219,0.18270424083387105,-5.0426971,51.71431
87,Stranraer,0.8579485285479701,0.14205162535640592,-5.024055000000001,54.903369999999995
88,Fishguard,0.8161604064843445,0.1838397365086149,-4.975989,51.99393
89,Inchnadamph,0.8852173604379239,0.1147826824443608,-4.974295,58.15221
90,Haverfordwest,0.8165403023447051,0.1834596716017775,-4.971319,51.80048
91,Dunoon,0.867926394014971,0.13207361156614336,-4.926214,55.95097
92,Pembroke,0.8093805964914356,0.1906195298849803,-4.908637000000001,51.674040000000005
93,Girvan,0.8583542015467974,0.1416456058280676,-4.8542179,55.240159999999996
94,Wadebridge,0.8411785983828859,0.15882159426199183,-4.836456,50.51665
95,Invergarry,0.8804954957619849,0.11950433603180545,-4.800261,57.07095
96,St Austell,0.8409491395929242,0.15905076570993054,-4.7834252,50.340379999999996
97,Greenock,0.8654572822106479,0.13454265586263642,-4.7719830000000005,55.956480000000006
98,Helensburgh,0.8652967033152781,0.13470348408466581,-4.734014,56.00232
99,Bodmin,0.8122329847644433,0.1877671922005644,-4.7188629,50.4715
100,Tenby,0.809965019155372,0.19003505648722072,-4.703579,51.672740000000005
