placename,goal_theme_ditransitive,prepositional_dative,theme_goal_ditransitive,longitude,latitude
Alnwick,0.27272727,0.5750529,0.15221987, -1.7062990,55.41274
Otley,0.34532374,0.4388489,0.21582734, -1.6917860,53.90583
Bishop Auckland,0.27701375,0.5697446,0.15324165, -1.6787880,54.66382
Burton upon Trent,0.09345794,0.5576324,0.34890966, -1.6371359,52.81403
Newcastle,0.27835052,0.5608247,0.16082474, -1.6177800,54.97825
Durham,0.27063340,0.5911708,0.13819578, -1.5848520,54.77525
Ashington,0.27272727,0.5750529,0.15221987, -1.5659829,55.18298
Darlington,0.26522593,0.5815324,0.15324165, -1.5594580,54.52361
Leeds,0.35795455,0.4289773,0.21306818, -1.5490774,53.80076
Harrogate,0.31989597,0.4850455,0.19505852, -1.5418120,53.99212
Leamington Spa,0.07164179,0.6552239,0.27313433, -1.5200789,52.28519
Coventry,0.08198758,0.6124224,0.30559006, -1.5196930,52.40682
Blyth,0.25048544,0.5980583,0.15145631, -1.5102770,55.12696
Wakefield,0.30780347,0.4277457,0.26445087, -1.5059240,53.68330
Andover,0.10788382,0.7842324,0.10788382, -1.4919233,51.21120
Witney,0.08438819,0.7383966,0.17721519, -1.4850544,51.78594
Barnsley,0.15675676,0.3567568,0.48648649, -1.4797260,53.55263
Derby,0.10074627,0.5615672,0.33768657, -1.4746186,52.92253
Sheffield,0.12000000,0.4114286,0.46857143, -1.4700850,53.38113
Nuneaton,0.09316770,0.6049689,0.30186335, -1.4653820,52.52049
Northallerton,0.18663594,0.6474654,0.16589862, -1.4299590,54.33796
South Shields,0.26213592,0.5864078,0.15145631, -1.4274060,54.99942
Chesterfield,0.08348794,0.4786642,0.43784787, -1.4216290,53.23505
Southampton,0.13200000,0.7880000,0.08000000, -1.4043509,50.90970
Wetherby,0.30931677,0.4782609,0.21242236, -1.3848160,53.92706
Sunderland,0.26213592,0.5864078,0.15145631, -1.3838010,54.90687
Rotherham,0.11602210,0.4088398,0.47513812, -1.3635009,53.43260
Castleford,0.31486880,0.4183673,0.26676385, -1.3459680,53.72347
Thirsk,0.30310881,0.5064767,0.19041451, -1.3413770,54.23385
Banbury,0.09725686,0.7157107,0.18703242, -1.3397750,52.06290
Stockton,0.25911708,0.5911708,0.14971209, -1.3289821,54.57046
Newbury,0.12556054,0.7399103,0.13452915, -1.3231139,51.40141
Isle of Wight,0.16400000,0.7560000,0.08000000, -1.3047340,50.69385
Isle of Wight,0.16400000,0.7560000,0.08000000, -1.3047340,50.69385
Abingdon,0.09244992,0.7134052,0.19414484, -1.2879529,51.67078
Shetland Islands,0.42857143,0.4661654,0.10526316, -1.2659409,60.52965
Rugby,0.10212766,0.6553191,0.24255319, -1.2650320,52.37088
Oxford,0.08462623,0.7376587,0.17771509, -1.2577263,51.75202
Middlesbrough,0.25911708,0.5911708,0.14971209, -1.2349560,54.57423
Hartlepool,0.27063340,0.5796545,0.14971209, -1.2129260,54.69174
Loughborough,0.09478673,0.5845182,0.32069510, -1.2061660,52.77210
Mansfield,0.08435852,0.6028120,0.31282953, -1.1986740,53.14720
Nottingham,0.10876133,0.5634441,0.32779456, -1.1581086,52.95478
Bicester,0.07430341,0.7770898,0.14860681, -1.1535899,51.89960
Leicester,0.10459588,0.5863708,0.30903328, -1.1397592,52.63688
Doncaster,0.14525140,0.3854749,0.46927374, -1.1284620,53.52282
Worksop,0.10382514,0.4918033,0.40437158, -1.1227450,53.30930
Basingstoke,0.13658537,0.7560976,0.10731707, -1.0923964,51.26654
Portsmouth,0.15948276,0.8060345,0.03448276, -1.0879769,50.81977
York,0.30275229,0.4888598,0.20838794, -1.0872979,53.95997
Selby,0.29228687,0.4600812,0.24763194, -1.0671890,53.78352
Helmsley,0.30691643,0.5072046,0.18587896, -1.0562636,54.24651
Towcester,0.10489510,0.7797203,0.11538462, -0.9896880,52.13511
Reading,0.09693053,0.7576737,0.14539580, -0.9781303,51.45426
Retford,0.13366337,0.4900990,0.37623762, -0.9455030,53.32136
Petersfield,0.17083333,0.7958333,0.03333333, -0.9389900,51.00759
Northampton,0.12456747,0.7612457,0.11418685, -0.9026560,52.24048
Melton Mowbray,0.12788632,0.5577265,0.31438721, -0.8871260,52.76640
Aylesbury,0.03399433,0.7960340,0.16997167, -0.8084000,51.81561
Newark-on-Trent,0.11516315,0.5969290,0.28790787, -0.8065700,53.07004
Malton,0.31512605,0.4957983,0.18907563, -0.7978970,54.13684
Chichester,0.23170732,0.7195122,0.04878049, -0.7749360,50.83761
Gainsborough,0.19259259,0.5259259,0.28148148, -0.7744650,53.40058
Milton Keynes,0.10135135,0.7770270,0.12162162, -0.7594171,52.04062
Aldershot,0.12556054,0.7757848,0.09865471, -0.7557509,51.24837
