placename,past participle,present participle,longitude,latitude
Welshpool,0.12385787,0.8761421, -3.1464070,52.66035
Mold,0.12509308,0.8749069, -3.1419030,53.16720
Taunton,0.13746479,0.8625352, -3.1068490,51.01534
Wick,0.10112360,0.8988764, -3.0937160,58.43894
John o' Groats,0.11235955,0.8876404, -3.0688997,58.63734
Dalkeith,0.15428571,0.8457143, -3.0666060,55.89312
Oswestry,0.12353401,0.8764660, -3.0564120,52.85715
Blackpool,0.10360029,0.8963997, -3.0356748,53.81751
Birkenhead,0.11247296,0.8875270, -3.0230090,53.38999
Cupar,0.15009747,0.8499025, -3.0101370,56.32023
Southport,0.11522048,0.8847795, -3.0101130,53.64571
Bridgwater,0.13696970,0.8630303, -3.0036320,51.12789
Langholm,0.16167665,0.8383234, -2.9989130,55.15306
Newport,0.15897800,0.8410220, -2.9976640,51.58415
Axminster,0.14123989,0.8587601, -2.9949370,50.78273
Wrexham,0.12981455,0.8701854, -2.9924940,53.04304
Liverpool,0.10749834,0.8925017, -2.9915726,53.40837
Weston-super-Mare,0.14485050,0.8551495, -2.9772550,51.34741
Dundee,0.15009747,0.8499025, -2.9707210,56.46202
Kirkwall,0.10795455,0.8920455, -2.9622491,58.98467
Ambleside,0.10656620,0.8934338, -2.9613330,54.42874
Orkney Islands,0.10795455,0.8920455, -2.9605206,58.98094
Lyme Regis,0.13157895,0.8684211, -2.9366390,50.72516
Carlisle,0.10493274,0.8950673, -2.9329310,54.89247
Chester,0.11908397,0.8809160, -2.8930750,53.19339
Forfar,0.15721332,0.8427867, -2.8890620,56.64356
Morecambe,0.07500000,0.9250000, -2.8649680,54.07417
Selkirk,0.15980114,0.8401989, -2.8385240,55.55066
Galashiels,0.14757554,0.8524245, -2.8144490,55.62373
Lancaster,0.08152174,0.9184783, -2.8007399,54.04657
St Andrews,0.15354331,0.8464567, -2.7967214,56.33978
Hawick,0.17112676,0.8288732, -2.7809140,55.42706
Bridport,0.11401099,0.8859890, -2.7583010,50.73358
Shrewsbury,0.12663755,0.8733624, -2.7553268,52.70730
Penrith,0.10135135,0.8986486, -2.7527080,54.66410
Kendal,0.09000000,0.9100000, -2.7462900,54.32801
Street,0.14378660,0.8562134, -2.7429190,51.12468
Glastonbury,0.14435010,0.8556499, -2.7184540,51.14743
Hereford,0.14603175,0.8539683, -2.7159740,52.05640
Ludlow,0.14141414,0.8585859, -2.7139129,52.36775
Preston,0.07684631,0.9231537, -2.7030900,53.76320
Whitchurch,0.12553495,0.8744650, -2.6820450,52.96872
Wells,0.14826911,0.8517309, -2.6445979,51.20935
