,placename,a_load_of,a_lot_of,a_rake_of,bare,loads_of,lots_of,longitude,latitude
17,Cork,0.8719215288973047,0.5928749441723689,0.01,0.05406337542188642,0.2915650759264448,0.29235083928697125,-8.4756035,51.89851
18,Nenagh,0.9715067384764402,0.528783534441701,0.01,0.01,0.32713910625835524,0.3462499799292439,-8.19834,52.8635
19,Roscommon,0.5232107844740073,0.7089632269112063,0.01,0.01,0.3018395239838932,0.19360889486505653,-8.1890955,53.62759000000001
20,Tipperary,0.9145100658959197,0.5394167245082819,0.01,0.01995877670813978,0.3522583087645028,0.3228410968390309,-8.161851400000002,52.47379
21,Donegal,0.5055320431274092,0.5829287642646447,0.01,0.01,0.4479966362018424,0.269327726421802,-8.1096143,54.653830000000006
22,Leitrim,0.35240742345750103,0.8069617459080681,0.01,0.01,0.3714731076115805,0.050350219254998274,-8.0020132,54.12469
23,Athlone,0.5322483965438679,0.7409994257729352,0.01,0.01,0.2897314549064634,0.15869154315089035,-7.9406898,53.42393000000001
24,Longford,0.280811164912844,0.7227694887574588,0.01,0.01,0.33597168167900315,0.18919909243128685,-7.7932573,53.72763000000001
25,Offaly,0.6012695142903803,0.580554519025219,0.01,0.01,0.4468626638081056,0.25972175962274385,-7.7122229,53.23569000000001
26,Fermanagh,0.257806670444976,0.8273203832562867,0.01,0.01,0.27734160671547503,0.09402830161879393,-7.6318728,54.34383
27,Enniskillen,0.257806670444976,0.8273203832562867,0.01,0.01,0.27734160671547503,0.09402830161879393,-7.631533599999999,54.34382
28,Doon,0.3995113783814998,0.7615175706392742,0.01,0.01,0.3793147940959117,0.09714904687581688,-7.60964,54.185930000000006
29,Westmeath,0.3223656035331266,0.7230140669519115,0.01,0.01,0.3438478535390326,0.17837529390791815,-7.4653217,53.53453
30,Strabane,0.6863770210776219,0.5666757537616387,0.01,0.01,0.3845115962389139,0.30305524254325084,-7.4633103,54.82739
31,Cavan,0.4278141068275971,0.7862828045739672,0.01,0.01,0.2645794810094932,0.13046938396570967,-7.3633319,53.98972
32,Mullingar,0.2236408258264021,0.6676311232358307,0.01,0.01,0.4768739905057578,0.182987656587922,-7.3401868000000015,53.52582
33,Laois,0.7826862690158388,0.5410585241139924,0.01,0.01,0.4784020423021066,0.2660031857950922,-7.3323006999999985,52.99429
34,Omagh,0.5284013682991368,0.42289761035181256,0.01,0.01,0.4364696765566565,0.4775328985424309,-7.309959700000001,54.59771
35,Derry,0.6774094496653718,0.586688630368556,0.01,0.01,0.3574841800909961,0.2949639488049562,-7.308574799999999,54.99661
36,Kilkenny,0.6532113937419161,0.6021415253816741,0.01,0.01,0.3901852289743247,0.25894980746483914,-7.2447879,52.65415
37,Tyrone,0.6128205118341636,0.6304977730172572,0.01,0.01,0.3437435061398023,0.2562292422064737,-7.1312320000000025,54.49121
