,placename,bare,pretty,proper,pure,rather,really,so,very,well,longitude,latitude
14,Limerick,0.010351665969864879,0.32454951925175846,0.017543516193453332,0.14938942808100822,0.0373693163747075,0.3533935931507506,0.14237356927716474,0.8989611628851212,0.01,-8.6267343,52.66384
15,Loughrea,0.010104950642330256,0.3246187325169954,0.01841327580885157,0.17459067473604312,0.057455432767691064,0.2627094638679805,0.1957608599146928,0.8835194144562276,0.01,-8.5660931,53.19891
16,Sligo,0.03530324170357708,0.1692899677324208,0.06201070965597392,0.36635730446003023,0.05392456515565843,0.10314931809863356,0.4971562739914903,0.684992706677184,0.04073144049553017,-8.476088800000001,54.27661
17,Cork,0.015295303141790105,0.15079529591155474,0.04762025914168806,0.14072417880677054,0.044374313537336285,0.3537070927290377,0.10237637457948494,0.9926595132407646,0.012415519731225684,-8.4756035,51.898509999999995
18,Nenagh,0.01,0.29117435034477096,0.016839190090912788,0.11564942200201012,0.05520866171110571,0.35949649103263936,0.10453183160128292,0.9453656982792685,0.01,-8.19834,52.8635
19,Roscommon,0.018934718414602477,0.30504362387878947,0.01,0.18494380007997585,0.10787984002113725,0.24373876096055036,0.24373600612988444,0.8414860880038172,0.028848068805674688,-8.1890955,53.627590000000005
20,Tipperary,0.016973756826865933,0.17958677196074796,0.03573428594992589,0.1344186980600914,0.044449121641441464,0.39271948948901153,0.08014883024115937,0.9879130433593851,0.012494236170895756,-8.161851400000002,52.47379
21,Donegal,0.0242473552028629,0.1627752247745156,0.11572867010911288,0.35177792377246925,0.22310585459083476,0.07370104552905091,0.497469632229343,0.6741306454898286,0.05774533328232556,-8.1096143,54.653830000000006
22,Leitrim,0.015389900329801745,0.17568953271817533,0.04598125391564742,0.2689345551070495,0.09034216140742594,0.09491716927385872,0.34561548407506004,0.8386145557498317,0.04250704572724992,-8.0020132,54.12469
23,Athlone,0.011520764528331928,0.2376572339042777,0.01006046089291302,0.17981142590337926,0.02741834049409487,0.23027419277837025,0.3479529873112305,0.7848968750128168,0.02426109002627702,-7.9406898,53.423930000000006
24,Longford,0.01,0.16868727991512678,0.021264152301085103,0.1823528452534574,0.15775783914497424,0.22200703384840628,0.26328359144353003,0.8839425228745127,0.01683606129191534,-7.7932573000000005,53.727630000000005
25,Offaly,0.01,0.12884244540759343,0.04386512064127692,0.18997955724432392,0.01,0.2805725743566897,0.3559645129256544,0.799599721664382,0.01,-7.7122229,53.235690000000005
26,Fermanagh,0.024311600443206217,0.15628905447225958,0.11445111081727671,0.33984257679784724,0.2295593877569937,0.07390633205493424,0.48016405049842686,0.6932436626014542,0.059022266418474516,-7.6318728,54.343830000000004
27,Enniskillen,0.024311600443206217,0.15628905447225958,0.11445111081727671,0.33984257679784724,0.2295593877569937,0.07390633205493424,0.48016405049842686,0.6932436626014542,0.059022266418474516,-7.631533599999999,54.343819999999994
28,Doon,0.01,0.16929564676956854,0.0645063288026258,0.2287916568748455,0.2390243450288329,0.0915227804389,0.34026824957342305,0.8348332378662214,0.05370931908899581,-7.60964,54.185930000000006
29,Westmeath,0.01,0.09115954935420478,0.03857691099066239,0.19426084659762471,0.01,0.223160775951241,0.39612957810789906,0.79578627761654,0.024013092006491137,-7.4653217000000005,53.534530000000004
30,Strabane,0.02704705601248239,0.13849219434091056,0.12807490441158592,0.34785946534921536,0.1362371673438563,0.11196390776428698,0.585862022399146,0.5944974032489804,0.048394520400020874,-7.4633103,54.82739
31,Balivanich,0.01,0.5511832096427213,0.09075172866897656,0.15502520133046033,0.5847996673614115,0.37802638488836565,0.531589121694164,0.3217025226557815,0.1730532201730795,-7.3743509000000005,57.472269999999995
32,Cavan,0.01,0.1611071850823053,0.05091202201293108,0.15647814445073352,0.1362428786008656,0.07153201037572247,0.3613378606137798,0.8543474902630387,0.035265318413552536,-7.3633319,53.98972
33,Mullingar,0.01,0.07969215359381897,0.03907454632285995,0.18831509799093044,0.015412810124766618,0.24115756138703665,0.46709328152477186,0.7278244024875224,0.02216388681952713,-7.340186800000001,53.525819999999996
