index,placename,longitude,latitude,aint,amnt,arent,ent,int
77,Oban,-5.471047,56.41516,0.18536254236829344,0.05146161694005392,0.1758767511608937,0.01,0.01
78,Lochgilphead,-5.4323449,56.03829,0.11651784746848297,0.03311264689181774,0.08577153386152155,0.01,0.01
79,Helston,-5.274996,50.10159,0.1332346280776777,0.01,0.16971107204426142,0.11379606788445584,0.01
80,Redruth,-5.226666000000001,50.23302,0.15154493359928417,0.01,0.19783425526944637,0.12716851908074608,0.01
81,Ullapool,-5.161313,57.895419999999994,0.13561364382901944,0.03876601498199313,0.09546580765481066,0.058899440880869444,0.01
82,Ballachulish,-5.133719999999999,56.673930000000006,0.046561993052052275,0.010196216787952917,0.01,0.01,0.01
83,Fort William,-5.1052179,56.81981999999999,0.1859675563083391,0.030753662516714946,0.16838509240326519,0.01,0.01
84,Achnasheen,-5.078765799999999,57.578590000000005,0.04805109847891293,0.01,0.01,0.02483698754165751,0.01
85,Newquay,-5.0737190000000005,50.4155,0.1780887566084513,0.01,0.23860347111365005,0.1465541037360212,0.01
86,Falmouth,-5.066269999999999,50.152570000000004,0.19375432443030044,0.01,0.2626645461001132,0.1579950401481774,0.01
87,Rothesay,-5.055793,55.83596,0.18037801978229973,0.0483146075295096,0.1589857171637202,0.01,0.01
88,Truro,-5.051041000000001,50.2632,0.2765335706849335,0.01,0.3898069308579564,0.21845069061777442,0.01
89,Milford Haven,-5.0426971,51.71431,0.19000425760277673,0.01,0.1348062669335903,0.01,0.01
90,Stranraer,-5.024055000000001,54.903369999999995,0.06025151237122006,0.03450721208477047,0.20011671587447644,0.01,0.01
91,Fishguard,-4.975989,51.99393,0.15861494390963005,0.01,0.08909791352485297,0.01,0.01
92,Inchnadamph,-4.974295,58.15221,0.04184644893123981,0.01578815883886593,0.01,0.02398785983082094,0.01
93,Haverfordwest,-4.971319,51.800470000000004,0.22371780803510588,0.01,0.1487516480074099,0.01,0.01
94,Dunoon,-4.926214,55.95097,0.16928173941417196,0.043997050039124026,0.13684670370857072,0.01,0.01
95,Pembroke,-4.908637000000001,51.674040000000005,0.2755784427663743,0.01,0.21410683639887462,0.01,0.01
96,Girvan,-4.8542179,55.240159999999996,0.15099346238869776,0.042956011996820975,0.13697305819919492,0.01,0.01
97,Wadebridge,-4.836456,50.51665,0.14318315468684165,0.01,0.18963914555053268,0.12106171450107024,0.01
98,Invergarry,-4.800261,57.07095,0.039014513851574756,0.014124835381029497,0.01,0.01,0.01
99,St Austell,-4.7834252,50.340379999999996,0.1566112242288793,0.01,0.21064011382357195,0.13086855285485188,0.01
100,Greenock,-4.7719830000000005,55.956480000000006,0.28299630920830393,0.06759301633579134,0.24231383982985494,0.01,0.01
101,Helensburgh,-4.734014,56.00232,0.1811988492235349,0.0467298216550647,0.1478529995624863,0.01,0.01
102,Bodmin,-4.7188629,50.4715,0.13178260963265365,0.01,0.17180914517491455,0.11273562547230723,0.01
103,Tenby,-4.703579,51.672740000000005,0.2608080307060227,0.01,0.1307253748836097,0.01,0.01
104,Camelford,-4.682364,50.62206,0.09568651217012697,0.01,0.11535628013590714,0.08637378753952345,0.01
105,Irvine,-4.6696364,55.61156999999999,0.2949191068263186,0.07280757072839786,0.2692089568773857,0.01,0.01
106,Cardigan,-4.660864,52.0837,0.19413129603249868,0.01,0.11498001060721288,0.01,0.01
107,Holyhead,-4.633038,53.30944,0.059545356732104496,0.013416876707974578,0.20039997249393945,0.01,0.01
108,Ayr,-4.629179,55.45856,0.31867309948513506,0.07825471509039982,0.2945579015590868,0.01,0.01
109,Dumbarton,-4.564554,55.94529,0.25796965001239,0.06433450987273896,0.22977854405171091,0.01,0.01
110,Bude,-4.543678,50.826640000000005,0.15173838078281376,0.01,0.17900702523164208,0.07881082770215052,0.01
111,Isle of Man,-4.5126330999999995,54.27697,0.08063158823414336,0.021498660982035702,0.39439463246594625,0.01,0.01
112,Kilmarnock,-4.498792,55.61472,0.27930423917303304,0.06922684897257832,0.2525456353869537,0.01,0.01
113,Newton Stewart,-4.483164,54.9603,0.08476409904658982,0.02032676315246469,0.13670311098513002,0.01,0.01
114,Liskeard,-4.4647190000000005,50.45552,0.14252793873664407,0.01,0.1886144137870419,0.1205831947190352,0.01
115,Altnaharra,-4.442655,58.28023,0.04023575482952589,0.015393454798623736,0.01,0.023388163373640886,0.01
116,Pwllheli,-4.417633900000001,52.888819999999996,0.0671206870080508,0.01,0.17670865059862406,0.01,0.01
117,Lairg,-4.402414,58.022059999999996,0.04023575482952589,0.015393454798623736,0.01,0.023388163373640886,0.01
118,Launceston,-4.360451599999999,50.636829999999996,0.14304005473986192,0.01,0.16660136367997264,0.0748782693796032,0.01
119,Carmarthen,-4.312131,51.857620000000004,0.3054884993081324,0.01,0.18736088673846768,0.01,0.01
120,Llangefni,-4.311401999999999,53.255790000000005,0.052853386015817086,0.01,0.28967894825446155,0.01,0.01
