index,placename,longitude,latitude,aint,amnt,arent,ent,int
30,Strabane,-7.4633103,54.82739,0.052377014115047305,0.18850768743156182,0.7853808438005079,0.01,0.01
31,Balivanich,-7.3743509000000005,57.472269999999995,0.32473980944392183,0.07083764953286195,0.4899758743095538,0.01,0.01
32,Cavan,-7.3633319,53.98972,0.0536023873081735,0.9414595415118396,0.4351135556785057,0.01,0.01
33,Mullingar,-7.340186800000001,53.525819999999996,0.03831560353299437,0.8716290095360631,0.47006074906941486,0.01,0.01
34,Laois,-7.332300699999999,52.9943,0.07425279915813295,0.8104988563204693,0.48369240087385823,0.01,0.01
35,Omagh,-7.309959700000001,54.59771,0.05285107981286096,0.18900291360333374,0.7891774222008131,0.01,0.01
36,Derry,-7.308574799999999,54.99661,0.056232631759915594,0.19253540505570174,0.8162587468798748,0.01,0.01
37,Derry,-7.308574799999999,54.99661,0.056232631759915594,0.19253540505570174,0.8162587468798748,0.01,0.01
38,Kilkenny,-7.2447879,52.65415,0.05241519760590113,0.766619940733051,0.5363264388426341,0.01,0.01
39,Tyrone,-7.131232000000001,54.491209999999995,0.03344512573461444,0.18858144334744145,0.785946348474266,0.01,0.01
40,Waterford,-7.110070200000001,52.25932,0.047037249068584565,0.7649276244868738,0.5509237619992142,0.01,0.01
41,Western Isles,-7.0194034,57.759890000000006,0.3618098859277392,0.07382446495133778,0.5121518248670242,0.01,0.01
42,Monaghan,-6.9683132,54.2492,0.015654369464590784,0.2295333769848081,0.8075844735699904,0.01,0.01
43,Carlow,-6.934135899999999,52.83651,0.08027558302996261,0.7882572107134693,0.4918292153853936,0.01,0.01
44,Kildare,-6.8194707999999995,53.21204,0.05564327046597238,0.808930669746343,0.5229329366845751,0.01,0.01
45,Dungannon,-6.7669352,54.508269999999996,0.016202242253772755,0.15141117513746594,0.8225597086332836,0.01,0.01
46,Cookstown,-6.7443895000000005,54.641819999999996,0.017466398857815868,0.15273783053789772,0.8355479264698517,0.01,0.01
47,Coleraine,-6.6646103000000005,55.132580000000004,0.020539168334321792,0.15596251667764363,0.8574542824083656,0.01,0.01
48,Meath,-6.656416900000001,53.60555,0.04124522876715023,0.8869756203205447,0.48995374369288563,0.01,0.01
49,Armagh,-6.652792,54.350280000000005,0.014304363440451344,0.22969761592160892,0.8083510136437914,0.01,0.01
50,Armagh,-6.652792,54.350280000000005,0.014304363440451344,0.22969761592160892,0.8083510136437914,0.01,0.01
51,Magherafelt,-6.607980499999999,54.75536999999999,0.017896955208527725,0.1531896732178594,0.8399715553589293,0.01,0.01
52,Dunvegan,-6.581398200000001,57.4366,0.3411721964941506,0.07071442117693261,0.46278097607012353,0.01,0.01
53,Louth,-6.4889423,53.925230000000006,0.03663083979804416,0.7477630362691502,0.5611928666855076,0.01,0.01
54,Wexford,-6.4633381,52.33692,0.05559826369463427,0.7357715677967721,0.5521512441099555,0.01,0.01
55,Craigavon,-6.4175653,54.442930000000004,0.019397732640645603,0.16149355119283282,0.8458012379052321,0.01,0.01
56,Stornoway,-6.384869200000001,58.209430000000005,0.4456933331387518,0.062004842646675135,0.4300683212722523,0.12675779163908013,0.01
57,Drogheda,-6.3560985,53.717859999999995,0.05475318989178372,0.8893262497145888,0.4547869086183094,0.01,0.01
58,Rosslare,-6.3414908,52.25131,0.06240456736360919,0.694018263723027,0.4385893127254122,0.01,0.01
59,Newry,-6.34023,54.1751,0.020822354588564938,0.6820030875492545,0.5970596615373667,0.01,0.01
60,Scilly Isles,-6.327496599999999,49.92773,0.295851822211118,0.01,0.5679498835738532,0.19771532318264606,0.01
61,Ballymena,-6.2802213,54.86529,0.019448181022466506,0.1548175918957272,0.8463161864960446,0.01,0.01
62,Banbridge,-6.2704803,54.34873,0.014809877097703343,0.1676459309918519,0.8334737501447914,0.01,0.01
63,Dublin,-6.2603097000000005,53.34981,0.03400349899376912,0.9197937235169747,0.5456685132977266,0.01,0.01
64,Antrim,-6.2072498,54.719530000000006,0.01731459827165139,0.13931083281746953,0.8623511849264223,0.01,0.01
