placename,boilings,bossers,bullets,candy,comfits,cooshies,da-da,dods,dud-dews,fairings,frawzies,goffs,goodie,goodies,grots,gummies,humbugs,ju-jues,jubjubs,ket(s),lollies,lollypops,losion,lozengers,munch,peppermints,peps,smackry,snag,spice,spoggs,stash,suck,suckers,sucks,swadgies,swedgers,swedgies,sweeties,sweets,taffies,toffee,toffees,treats,tuck,tuffies,tutoos,longitude,latitude
Cavan,0.000000000,0.00000000,0.000000000,0.023809524,0.000000000,0.00000000,0.000000000,0.00000000,0.000000000,0.00000000,0.00000000,0.000000000,0.047619048,0.095238095,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.023809524,0.023809524,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.00000000,0.00000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.000000000,0.000000000,0.07142857,0.7142857,0.00000000,0.000000000,0.000000000,0.000000000,0.00000000,0.00000000,0.00000000, -7.3633319,53.98972
Mullingar,0.000000000,0.00000000,0.000000000,0.071428571,0.000000000,0.00000000,0.000000000,0.00000000,0.000000000,0.00000000,0.00000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.071428571,0.035714286,0.000000000,0.035714286,0.000000000,0.000000000,0.000000000,0.00000000,0.00000000,0.00000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.000000000,0.000000000,0.10714286,0.6428571,0.00000000,0.000000000,0.035714286,0.000000000,0.00000000,0.00000000,0.00000000, -7.3401868,53.52582
Laois,0.000000000,0.00000000,0.000000000,0.071428571,0.000000000,0.00000000,0.000000000,0.00000000,0.000000000,0.00000000,0.00000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.071428571,0.071428571,0.000000000,0.035714286,0.000000000,0.000000000,0.000000000,0.00000000,0.00000000,0.00000000,0.000000000,0.035714286,0.000000000,0.000000000,0.000000000,0.00000000,0.000000000,0.000000000,0.10714286,0.5357143,0.00000000,0.035714286,0.035714286,0.000000000,0.00000000,0.00000000,0.00000000, -7.3323007,52.99429
Omagh,0.000000000,0.00000000,0.000000000,0.000000000,0.000000000,0.00000000,0.000000000,0.00000000,0.000000000,0.00000000,0.00000000,0.000000000,0.047619048,0.214285714,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.00000000,0.00000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.000000000,0.000000000,0.04761905,0.6904762,0.00000000,0.000000000,0.000000000,0.000000000,0.00000000,0.00000000,0.00000000, -7.3099597,54.59771
Derry,0.000000000,0.00000000,0.000000000,0.000000000,0.000000000,0.00000000,0.000000000,0.00000000,0.000000000,0.00000000,0.00000000,0.000000000,0.047619048,0.214285714,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.00000000,0.00000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.000000000,0.000000000,0.04761905,0.6904762,0.00000000,0.000000000,0.000000000,0.000000000,0.00000000,0.00000000,0.00000000, -7.3085748,54.99661
Derry,0.000000000,0.00000000,0.000000000,0.000000000,0.000000000,0.00000000,0.000000000,0.00000000,0.000000000,0.00000000,0.00000000,0.000000000,0.047619048,0.214285714,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.00000000,0.00000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.000000000,0.000000000,0.04761905,0.6904762,0.00000000,0.000000000,0.000000000,0.000000000,0.00000000,0.00000000,0.00000000, -7.3085748,54.99661
Kilkenny,0.000000000,0.00000000,0.000000000,0.071428571,0.000000000,0.00000000,0.000000000,0.00000000,0.000000000,0.00000000,0.00000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.071428571,0.071428571,0.000000000,0.035714286,0.000000000,0.000000000,0.000000000,0.00000000,0.00000000,0.00000000,0.000000000,0.035714286,0.000000000,0.000000000,0.000000000,0.00000000,0.000000000,0.000000000,0.10714286,0.5357143,0.00000000,0.035714286,0.035714286,0.000000000,0.00000000,0.00000000,0.00000000, -7.2447879,52.65415
Tyrone,0.000000000,0.00000000,0.000000000,0.000000000,0.000000000,0.00000000,0.000000000,0.00000000,0.000000000,0.00000000,0.00000000,0.000000000,0.047619048,0.214285714,0.000000000,0,0.028571429,0.000000000,0.000000000,0.000000000,0.028571429,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.00000000,0.00000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.000000000,0.000000000,0.07619048,0.5761905,0.00000000,0.000000000,0.028571429,0.000000000,0.00000000,0.00000000,0.00000000, -7.1312320,54.49121
Waterford,0.000000000,0.00000000,0.000000000,0.000000000,0.000000000,0.00000000,0.000000000,0.00000000,0.000000000,0.00000000,0.00000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.035714286,0.035714286,0.000000000,0.035714286,0.000000000,0.000000000,0.000000000,0.00000000,0.00000000,0.00000000,0.000000000,0.035714286,0.000000000,0.000000000,0.000000000,0.00000000,0.000000000,0.000000000,0.00000000,0.7857143,0.00000000,0.035714286,0.035714286,0.000000000,0.00000000,0.00000000,0.00000000, -7.1100702,52.25932
Monaghan,0.000000000,0.00000000,0.000000000,0.023809524,0.000000000,0.00000000,0.000000000,0.00000000,0.000000000,0.00000000,0.00000000,0.000000000,0.047619048,0.095238095,0.000000000,0,0.028571429,0.000000000,0.000000000,0.000000000,0.052380952,0.023809524,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.00000000,0.00000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.000000000,0.000000000,0.10000000,0.6000000,0.00000000,0.000000000,0.028571429,0.000000000,0.00000000,0.00000000,0.00000000, -6.9683132,54.24920
