index,placename,longitude,latitude,aint,arent,ent,innit,int,isnt
21,Donegal,-8.1096143,54.653830000000006,0.1293425199832414,0.3224448189870047,0.01,0.07921418240949632,0.01,0.8477281506393743
22,Leitrim,-8.0020132,54.12469,0.12754917831386567,0.4458473937946031,0.049374335442481085,0.149019606937441,0.01,0.7352446719522787
23,Athlone,-7.9406898,53.423930000000006,0.07682755533051193,0.1739606075781899,0.01,0.18729119087646579,0.020802312679056974,0.7627422644416805
24,Longford,-7.7932573000000005,53.727630000000005,0.09316143180634251,0.3803021173259727,0.04211567583815193,0.19580625279912955,0.011369187724923527,0.7489596259946071
25,Offaly,-7.7122229,53.235690000000005,0.12312869477917723,0.16048789564863383,0.01,0.16623397899333014,0.028786855451188052,0.7763474115240037
26,Fermanagh,-7.6318728,54.343830000000004,0.1408289546743259,0.2681629998971242,0.01,0.09131435821130357,0.01,0.7387075349792993
27,Enniskillen,-7.631533599999999,54.343819999999994,0.1439134386759514,0.2709039545414139,0.01,0.0950809962820263,0.01,0.7677285365638921
28,Doon,-7.60964,54.185930000000006,0.10831792196742537,0.7003107384341951,0.05170285778199676,0.1528483192125778,0.01,0.6783610782113925
29,Westmeath,-7.4653217000000005,53.534530000000004,0.13959603878670426,0.22529414034209275,0.01,0.19423363453666034,0.01,0.7174240458249513
30,Strabane,-7.4633103,54.82739,0.09552101460153514,0.35749200781659796,0.01,0.025395545812533383,0.01,0.8491202123653089
31,Balivanich,-7.3743509000000005,57.472269999999995,0.12222972284867031,0.01,0.01,0.1383082939666838,0.06565241218174417,0.5819272244068254
32,Cavan,-7.3633319,53.98972,0.10708568360734406,0.8166097289795656,0.06028903237887937,0.17547402922924685,0.01,0.7567877594597578
33,Mullingar,-7.340186800000001,53.525819999999996,0.13889544398301518,0.20728286223983258,0.01,0.21434037295998054,0.01,0.7040067377913553
34,Laois,-7.332300699999999,52.9943,0.16743939607828187,0.01,0.01,0.1675937696289449,0.03944151121450984,0.7357153226008543
35,Omagh,-7.309959700000001,54.59771,0.11432483168000102,0.36922374541967723,0.01,0.06841626293915747,0.01,0.8187545635559239
36,Derry,-7.308574799999999,54.99661,0.10075047206804034,0.3958267440341783,0.01,0.02236838275096475,0.01,0.916955335271968
37,Derry,-7.308574799999999,54.99661,0.10075047206804034,0.3958267440341783,0.01,0.02236838275096475,0.01,0.916955335271968
38,Kilkenny,-7.2447879,52.65415,0.15594922862063915,0.01,0.01,0.08395641569945744,0.028557292975311142,0.8159033854944766
39,Tyrone,-7.131232000000001,54.491209999999995,0.08572168606168333,0.39853315274153805,0.01,0.02441665219574397,0.01,0.8217284161495783
