index,placename,longitude,latitude,coalescence,no coalescence,yod-dropping
69,Scilly Isles,-6.327496599999999,49.92773,0.01,0.051519103384611235,0.1947346793481918
70,Portree,-6.1960231,57.41246999999999,0.03800595879154703,0.34570860776712115,0.01
71,Islay,-6.177067,55.73625,0.01,0.29724103375111893,0.01
72,Mull,-6.0008870000000005,56.4392,0.031015521022577038,0.2821224074544794,0.01
73,Broadford,-5.9096592,57.24139,0.012422949915572589,0.11300124654738275,0.01
74,Kyle of Lochalsh,-5.7143293,57.28261,0.012422949915572589,0.11300124654738275,0.01
75,Campbeltown,-5.605373999999999,55.424119999999995,0.01,0.31685033253427963,0.01
76,Penzance,-5.537592,50.1188,0.01,0.08426536904791392,0.3185107764628538
77,Oban,-5.471047,56.41516,0.04133869542368944,0.3760237419667797,0.01
78,Lochgilphead,-5.4323449,56.03829,0.026599118059728737,0.2419500616389477,0.01
79,Helston,-5.274996,50.10159,0.01,0.06366748987103898,0.24065380432541436
80,Redruth,-5.226666000000001,50.23302,0.01,0.07114921060988948,0.2689336149846961
81,Ullapool,-5.161313,57.895419999999994,0.029460287923043307,0.2679757450181477,0.01
82,Ballachulish,-5.133719999999999,56.673930000000006,0.012422949915572589,0.11300124654738275,0.01
83,Fort William,-5.1052179,56.81981999999999,0.0399518066156844,0.36340836758370093,0.01
84,Achnasheen,-5.078765799999999,57.578590000000005,0.012422949915572589,0.11300124654738275,0.01
85,Newquay,-5.0737190000000005,50.4155,0.01,0.08199520500696379,0.3099298882575232
86,Falmouth,-5.066269999999999,50.152570000000004,0.01,0.08839626715856433,0.3341249674357084
87,Rothesay,-5.055793,55.83596,0.039027346082728925,0.35499931874121343,0.01
88,Truro,-5.051041000000001,50.2632,0.01,0.12222045445674345,0.46197545075160307
89,Milford Haven,-5.0426971,51.71431,0.07095866728617009,0.08068150073420303,0.17971109188819312
90,Stranraer,-5.024055000000001,54.903369999999995,0.01,0.33352841376271297,0.0168842233267303
91,Fishguard,-4.975989,51.99393,0.05690138532364384,0.1293961495430033,0.09170597533504711
92,Inchnadamph,-4.974295,58.15221,0.012422949915572589,0.11300124654738275,0.01
93,Haverfordwest,-4.971319,51.80048,0.07795239208617305,0.11079189160164878,0.17947592221610909
94,Dunoon,-4.926214,55.95097,0.03573699073474029,0.325069691846358,0.01
95,Pembroke,-4.908637000000001,51.674040000000005,0.09883405125552477,0.11237640000731859,0.25030874939115083
96,Girvan,-4.8542179,55.240159999999996,0.01,0.33535281606314743,0.01
97,Wadebridge,-4.836456,50.51665,0.01,0.06864646126880374,0.2594735883459016
98,Invergarry,-4.800261,57.07095,0.012422949915572589,0.11300124654738275,0.01
99,St Austell,-4.7834252,50.340379999999996,0.01,0.07420730064727082,0.2804927482716554
100,Greenock,-4.7719830000000005,55.956480000000006,0.05490302182481092,0.4994071414265892,0.01
101,Helensburgh,-4.734014,56.00232,0.03774719521425288,0.3433548506487217,0.01
102,Bodmin,-4.7188629,50.4715,0.01,0.06392526142136114,0.24162814310267008
103,Tenby,-4.703579,51.672740000000005,0.07795239208617305,0.13295026992197853,0.1615283296893891
104,Camelford,-4.682364,50.62206,0.01,0.04897712613279868,0.18512637694147763
