index,placename,longitude,latitude,them_aint,them_arent,them_ent,them_int,them_isnt,thems_not,they_aint,they_arent,they_ent,they_int,theym_not,theyre_not,theys_not
20,Tipperary,-8.161851400000002,52.47379,0.023552159945857506,0.14566440155180038,0.01,0.01,0.3568088582200778,0.01,0.1339541386310864,0.2300200607539848,0.01,0.01,0.01,0.28004939713285654,0.01
21,Donegal,-8.1096143,54.653830000000006,0.09613605645728036,0.31513186246751795,0.01,0.01,0.18205440932571673,0.386249838384607,0.1772585190063715,0.4086519640321419,0.01,0.01,0.01,0.23630699946142494,0.01
22,Leitrim,-8.0020132,54.12469,0.060064398306936814,0.1839705966722183,0.01,0.01,0.22748985049398412,0.01,0.10200006918075977,0.20861560375356825,0.013479253087181536,0.01,0.01,0.15676008449609327,0.01
23,Athlone,-7.9406898,53.423930000000006,0.047532276108713245,0.08553670870847932,0.01,0.01,0.5850821899133939,0.01,0.08163722844054698,0.14350116585741154,0.01,0.01,0.01,0.20475495118173484,0.01
24,Longford,-7.7932573000000005,53.727630000000005,0.01,0.11100373927056076,0.01,0.01,0.7095050437989776,0.01,0.08200588811362375,0.17012651292451433,0.01,0.01,0.01,0.2143596921229381,0.01
25,Offaly,-7.7122229,53.235690000000005,0.01,0.07456026073763164,0.01,0.01,0.8708932953974967,0.01,0.12607386986155297,0.2217915332167164,0.01,0.01,0.01,0.26981379833095365,0.01
26,Fermanagh,-7.6318728,54.343830000000004,0.055592008780803906,0.1750002484488398,0.01,0.01,0.01,0.01,0.10187700049805068,0.20994270121180775,0.01,0.01,0.01,0.09896834938783802,0.01
27,Enniskillen,-7.631533599999999,54.343819999999994,0.06813059073790119,0.21833711182236867,0.01,0.01,0.01,0.01,0.1318052725205212,0.27233304335658587,0.01,0.01,0.01,0.1369711627328973,0.01
28,Doon,-7.60964,54.185930000000006,0.041147471188659336,0.12507586000299273,0.01,0.01,0.15584326195987067,0.01,0.06643558110987158,0.13884454909516047,0.01,0.01,0.01,0.07325878377411077,0.01
29,Westmeath,-7.4653217000000005,53.534530000000004,0.026997399772374007,0.08783306210073483,0.01,0.01,0.61350495784455,0.21693715517689924,0.10346097008063969,0.1540261058352102,0.01,0.01,0.01,0.19853803908072784,0.01
30,Strabane,-7.4633103,54.82739,0.08169376177446423,0.21227337597645643,0.01,0.01,0.01,0.3282244294724012,0.1230370456469404,0.3132950416307639,0.01,0.01,0.01,0.13408030461862527,0.01
31,Balivanich,-7.3743509000000005,57.472269999999995,0.01,0.01475122480460759,0.01,0.01,0.06213023997155235,0.01,0.03309881135000209,0.037887426994244564,0.01,0.01,0.01,0.017339713297220186,0.01
32,Cavan,-7.3633319,53.98972,0.04443694004251041,0.20363929603481584,0.01,0.01,0.5049057062919116,0.01,0.13419987853465898,0.25262067023482015,0.01,0.01,0.01,0.20329307821717535,0.01
33,Mullingar,-7.340186800000001,53.525819999999996,0.02681793145932123,0.08713524061458389,0.01,0.01,0.6094266522433706,0.2154950570546345,0.10256836510192179,0.15255900327832028,0.01,0.01,0.01,0.19182913312267216,0.01
