index,placename,longitude,latitude,kl,tl
57,Banbridge,-6.2704803,54.34873,0.44198799420025076,0.48092816487999307
58,Dublin,-6.2603097000000005,53.34981,0.4024205137278596,0.6180877413967167
59,Antrim,-6.2072498,54.719530000000006,0.2584072514927792,0.7019198441716404
60,Antrim,-6.2072498,54.719530000000006,0.2584072514927792,0.7019198441716404
61,Wicklow,-6.044589,52.980819999999994,0.5083100370436928,0.4335085156838581
62,Kilkeel,-6.007004,54.06312,0.37522338803026,0.5260138608473384
63,Belfast,-5.93012,54.597280000000005,0.289769644978411,0.7232869406525113
64,Down,-5.7156921999999994,54.32875,0.45534192639608523,0.48621899672069163
65,Balivanich,-7.3743509000000005,57.472269999999995,0.3341023413068608,0.5071571831086256
66,Western Isles,-7.0194034,57.759890000000006,0.3747676226509051,0.5258048627413134
67,Dunvegan,-6.581398200000001,57.4366,0.3264628798625189,0.5036539925521627
68,Stornoway,-6.384869200000001,58.209430000000005,0.3908132040193134,0.5331628066922441
69,Scilly Isles,-6.327496599999999,49.92773,0.8547830673995646,0.01
70,Portree,-6.1960231,57.41246999999999,0.38961922387709214,0.5326152890446576
71,Islay,-6.177067,55.73625,0.3295054197706215,0.5797086610890144
72,Mull,-6.0008870000000005,56.4392,0.3778751348453216,0.5272298594446655
73,Broadford,-5.9096592,57.24139,0.3264628798625189,0.5036539925521627
74,Kyle of Lochalsh,-5.7143293,57.28261,0.3264628798625189,0.5036539925521627
75,Campbeltown,-5.605373999999999,55.424119999999995,0.23695161565671502,0.6873021893941874
76,Penzance,-5.537592,50.1188,0.8952963401534731,0.01
77,Oban,-5.471047,56.41516,0.39451097644119426,0.534858476147828
78,Lochgilphead,-5.4323449,56.03829,0.32153912813787383,0.5755155793862452
79,Helston,-5.274996,50.10159,0.8720943244376236,0.01
80,Redruth,-5.226666000000001,50.23302,0.8812523462406318,0.01
81,Ullapool,-5.161313,57.895419999999994,0.47048687977785225,0.4207003570976545
82,Ballachulish,-5.133719999999999,56.673930000000006,0.3264628798625189,0.5036539925521627
83,Fort William,-5.1052179,56.81981999999999,0.3925225414862028,0.5339466492334287
84,Achnasheen,-5.078765799999999,57.578590000000005,0.4179899943372721,0.4029231940417301
85,Newquay,-5.0737190000000005,50.4155,0.8930213704697982,0.01
86,Falmouth,-5.066269999999999,50.152570000000004,0.8992905270102356,0.01
87,Rothesay,-5.055793,55.83596,0.3427009831884266,0.5866541858169168
88,Truro,-5.051041000000001,50.2632,0.9265834114811741,0.01
89,Milford Haven,-5.0426971,51.71431,0.8679201317626811,0.01
90,Stranraer,-5.024055000000001,54.903369999999995,0.24261292819209263,0.6911592231759742
91,Fishguard,-4.975989,51.99393,0.8022187721126443,0.05249592743188365
92,Inchnadamph,-4.974295,58.15221,0.3264628798625189,0.5036539925521627
93,Haverfordwest,-4.971319,51.80048,0.8756453126342055,0.01
94,Dunoon,-4.926214,55.95097,0.3860498715140827,0.5309785085488224
95,Pembroke,-4.908637000000001,51.674040000000005,0.8953130871948602,0.01
96,Girvan,-4.8542179,55.240159999999996,0.23981837634514824,0.6892553041092802
97,Wadebridge,-4.836456,50.51665,0.8782951204615459,0.01
98,Invergarry,-4.800261,57.07095,0.28069924482705605,0.5540193832452611
99,St Austell,-4.7834252,50.340379999999996,0.8847344366837427,0.01
100,Greenock,-4.7719830000000005,55.956480000000006,0.4111780000186688,0.5425013918201357
101,Helensburgh,-4.734014,56.00232,0.3892225418225385,0.5324333844905794
102,Bodmin,-4.7188629,50.4715,0.8724264818990541,0.01
103,Tenby,-4.703579,51.672740000000005,0.8756453126342055,0.01
104,Camelford,-4.682364,50.62206,0.8506729107212478,0.01
105,Irvine,-4.6696364,55.61156999999999,0.36579024521264003,0.59880728873951
106,Cardigan,-4.660864,52.0837,0.7668660128342676,0.10584112998094128
107,Holyhead,-4.633038,53.30944,0.3866233548457338,0.531241488001807
108,Ayr,-4.629179,55.45856,0.3699016923293742,0.6009713613685126
109,Dumbarton,-4.564554,55.94529,0.30961602779690484,0.6492157067824104
110,Bude,-4.543678,50.826640000000005,0.8759673429706323,0.01
111,Isle of Man,-4.5126330999999995,54.27697,0.3667929268256384,0.5993350532401068
112,Kilmarnock,-4.498792,55.61472,0.31358651892097783,0.6515992064695296
113,Newton Stewart,-4.483164,54.9603,0.23306386912760627,0.6846534803529372
114,Liskeard,-4.4647190000000005,50.45552,0.8779683781289896,0.01
115,Altnaharra,-4.442655,58.28023,0.4179899943372721,0.4029231940417301
116,Pwllheli,-4.417633900000001,52.888819999999996,0.38218377144338933,0.5292056499047065
117,Lairg,-4.402414,58.022059999999996,0.4179899943372721,0.4029231940417301
118,Launceston,-4.360451599999999,50.636829999999996,0.8717553870758785,0.01
119,Carmarthen,-4.312131,51.857620000000004,0.8439420376173546,0.05388740619445151
120,Llangefni,-4.311401999999999,53.25578,0.3026294256130587,0.6450216250935584
121,Caernarfon,-4.273911,53.13955,0.34851832991125303,0.5897161638647547
122,Cumnock,-4.265828900000001,55.45355,0.3498314641052759,0.5904073360206427
123,Aberaeron,-4.2581619,52.24279,0.6658904069212281,0.21097718145965558
124,Alness,-4.256825,57.69595,0.4870502406757463,0.42630925303433365
125,Glasgow,-4.251806,55.86424,0.3509009265012381,0.673999175645472
126,Dalwhinnie,-4.242783,56.9366,0.3264628798625189,0.5036539925521627
127,Inverness,-4.224721,57.47776999999999,0.5173464353893857,0.43656853582565286
128,Saltash,-4.21643,50.409209999999995,0.872816496526391,0.01
129,Bideford,-4.206666,51.01668,0.882302629671444,0.01
130,Invergordon,-4.1728819999999995,57.688109999999995,0.48778738025059504,0.42655887261284925
131,Llanelli,-4.160248,51.680890000000005,0.8532290292222577,0.054197129113548285
132,Plymouth,-4.1426565,50.37546,0.931220657880983,0.01
133,Tavistock,-4.141654,50.551120000000004,0.8823389454687681,0.01
134,Porthmadog,-4.1333839999999995,52.92784,0.39214418732651163,0.5337731492126635
135,Bangor,-4.129263,53.22739,0.3141475375032085,0.6519359878835737
136,Tywyn,-4.087249,52.58701,0.5105016272395118,0.36589641054234257
137,Aberystwyth,-4.08292,52.4153,0.6043919246432624,0.32456705631625965
138,Lampeter,-4.0785089999999995,52.1129,0.7676117444189219,0.10589242495683535
139,Barnstaple,-4.058338,51.07816,0.9000783468094667,0.01
140,Tain,-4.05523,57.8115,0.4692702163217575,0.42028835504340567
141,Okehampton,-4.004263,50.73831,0.8623257489209076,0.01
142,Llandeilo,-3.9914300000000003,51.88469,0.832892165235258,0.05351889086942172
143,Motherwell,-3.9810968,55.78321,0.32499812132982275,0.658449631245976
144,Golspie,-3.976086,57.97341,0.4179899943372721,0.4029231940417301
145,Airdrie,-3.9625660000000003,55.86626999999999,0.3177500697849305,0.6540986005926818
146,Swansea,-3.9436459999999998,51.62144,0.8842091322270449,0.0552303213834213
147,Stirling,-3.9369029,56.116519999999994,0.3712043887751739,0.6016570395840439
148,Tregaron,-3.934385,52.22,0.6700681680848817,0.21159022970536184
149,Tregaron,-3.934385,52.22,0.6700681680848817,0.21159022970536184
150,Castle Douglas,-3.9314139999999997,54.940419999999996,0.2860878530004314,0.6350916612894305
151,Dolgellau,-3.8844,52.74215,0.41833709768874566,0.4715576727665788
152,Aberfeldy,-3.866969,56.62175,0.3901695215390345,0.5328676363582222
153,Machynlleth,-3.853485,52.59027,0.4279250399432057,0.47535641829132386
154,Brora,-3.8525480000000005,58.012159999999994,0.46140179540527143,0.4176238502741972
155,Llandudno,-3.827609,53.324059999999996,0.30653450249905667,0.6473658563851283
156,Llandudno,-3.827609,53.324059999999996,0.30653450249905667,0.6473658563851283
157,Aviemore,-3.823812,57.19449,0.48154950691057885,0.4244465246029243
158,Dalbeattie,-3.8225269999999996,54.934219999999996,0.1789214370637597,0.7324743850843706
159,Falkirk,-3.7839131,56.00188000000001,0.3713056030191899,0.6017103140076038
160,Kingsbridge,-3.777493,50.28395,0.8755910298408688,0.01
161,Pitlochry,-3.729711,56.70436,0.3755175666068439,0.5261487608817075
162,Colwyn Bay,-3.72764,53.29318000000001,0.2052073287742221,0.7527247586317046
163,Totnes,-3.685797,50.43374,0.8782024173028542,0.01
164,Grantown-on-Spey,-3.609628,57.33041,0.4654597824734644,0.41899801746877774
165,Dumfries,-3.60512,55.070859999999996,0.21092438148432324,0.7571291157006819
166,Whitehaven,-3.589233,54.5497,0.15616293843222281,0.8063250164791292
167,Dartmouth,-3.578807,50.35252,0.8658056796134851,0.01
168,Bridgend,-3.576945,51.504290000000005,0.9148434599315988,0.01
169,Paignton,-3.564235,50.43508,0.9027027186488371,0.01
170,Workington,-3.5427519999999997,54.64357,0.10685086179983339,0.8596215062695628
171,Llanidloes,-3.5401949999999998,52.447790000000005,0.6136489724357314,0.26290242243197415
172,Exeter,-3.533899,50.71841,0.9370019856224747,0.01
173,Torquay,-3.525315,50.46192,0.9043975355408552,0.01
174,Thurso,-3.5220800000000003,58.59356999999999,0.48346341846969143,0.4250946376781175
175,Livingston,-3.518068,55.90071,0.37053661720619807,0.6013055559983826
176,Rhyl,-3.4916339999999995,53.319140000000004,0.25344658373747186,0.6985401573953185
177,Tiverton,-3.491207,50.90205,0.8817857415766253,0.01
178,Tiverton,-3.491207,50.90205,0.8817857415766253,0.01
179,Minehead,-3.481152,51.20428,0.8663838424095662,0.01
180,Dunfermline,-3.452151,56.071740000000005,0.4176526230567216,0.5454704281126563
181,Perth,-3.4308381000000003,56.39499,0.3975883646693912,0.5362696590509858
182,Prestatyn,-3.4076129999999996,53.33651,0.24712136582357555,0.6942308070426206
183,Builth Wells,-3.4045919999999996,52.15002,0.7262222550674486,0.15955425519023844
184,Braemar,-3.3979439,57.00646999999999,0.4179899943372721,0.4029231940417301
185,Brecon,-3.391463,51.94895,0.7845123279900719,0.107054927718844
186,Merthyr Tydfil,-3.381646,51.74873,0.8742972780912454,0.054899759181235123
187,Llandrindod Wells,-3.377742,52.2417,0.6704892613059804,0.2116520212847176
188,Corwen,-3.369242,52.98005,0.2762895359948556,0.6292096973743148
189,Cockermouth,-3.367985,54.66326,0.04900436507337391,0.9034109199899809
190,Lockerbie,-3.349008,55.122240000000005,0.2062572009246412,0.7535335690558329
191,Blairgowrie,-3.3378318,56.58941,0.4832243241961394,0.4250136725341666
192,Elgin,-3.318485,57.64945,0.5116567525073048,0.43464182304102994
193,Newtown,-3.313106,52.51211,0.6166688439160024,0.26347544632263337
194,Ruthin,-3.3103108,53.114869999999996,0.19760403393568393,0.7468672605347451
195,Ruthin,-3.3103108,53.114869999999996,0.19760403393568393,0.7468672605347451
196,Sidmouth,-3.2375599999999998,50.67865,0.8762832609668963,0.01
197,Barrow-in-Furness,-3.2188939999999997,54.10896999999999,0.11456245981016196,0.8671655486578818
198,Peebles,-3.1936419999999996,55.65306999999999,0.3416718986977458,0.5861125240817703
199,Edinburgh,-3.1882669999999997,55.95325,0.44845376136592746,0.5595947558076447
200,Cardiff,-3.17909,51.48158,0.901249409325558,0.05579861783395142
201,Llangollen,-3.1716599999999997,52.96921,0.3325889880609433,0.581331706587906
202,Kirkcaldy,-3.158137,56.11682,0.5225402825164464,0.4383273424003746
203,Welshpool,-3.146407,52.66035,0.43969847718561506,0.4800210575693364
204,Mold,-3.1419029999999997,53.1672,0.2610073738756446,0.7036912990780464
205,Mold,-3.1419029999999997,53.1672,0.2610073738756446,0.7036912990780464
206,Taunton,-3.106849,51.01534,0.9075865672734783,0.01
207,Wick,-3.093716,58.43894,0.4808413758426334,0.4242067282539755
208,John o' Groats,-3.0688997000000002,58.63734,0.4179899943372721,0.4029231940417301
209,Dalkeith,-3.066606,55.893119999999996,0.4132711159046878,0.5434612217582677
210,Oswestry,-3.056412,52.85715,0.45121085095204744,0.4845822634218314
211,Blackpool,-3.0356748,53.81751,0.22795313546784393,0.7702478880448095
212,Birkenhead,-3.023009,53.389990000000004,0.2269519906950427,0.7694766166781197
213,Cupar,-3.010137,56.32023,0.4848104222410512,0.42555077722772017
