placename,FATHER=BATH≠TRAP,FATHER=CLOTH≠LOT,FATHER=DRESS,FATHER=FACE,FATHER=KIT,FATHER=LOT,"FATHER=PALM≠BATH,TRAP",FATHER=SQUARE,FATHER=TRAP,longitude,latitude
Aberfeldy,0.10000000,0.00000000,0.00000000,0.083333333,0.01666667,0.00000000,0.03333333,0.00000000,0.76666667, -3.8669690,56.62175
Machynlleth,0.33333333,0.00000000,0.00000000,0.000000000,0.00000000,0.00000000,0.60000000,0.00000000,0.06666667, -3.8534850,52.59027
Brora,0.06666667,0.00000000,0.00000000,0.100000000,0.00000000,0.00000000,0.13333333,0.00000000,0.70000000, -3.8525480,58.01216
Llandudno,0.13333333,0.00000000,0.00000000,0.000000000,0.00000000,0.00000000,0.76666667,0.00000000,0.10000000, -3.8276090,53.32406
Llandudno,0.13333333,0.00000000,0.00000000,0.000000000,0.00000000,0.00000000,0.76666667,0.00000000,0.10000000, -3.8276090,53.32406
Aviemore,0.06666667,0.00000000,0.00000000,0.083333333,0.00000000,0.00000000,0.13333333,0.00000000,0.71666667, -3.8238120,57.19449
Dalbeattie,0.15000000,0.00000000,0.03333333,0.083333333,0.03333333,0.00000000,0.18333333,0.00000000,0.51666667, -3.8225270,54.93422
Falkirk,0.10000000,0.00000000,0.00000000,0.100000000,0.00000000,0.00000000,0.10000000,0.00000000,0.70000000, -3.7839131,56.00188
Kingsbridge,0.53333333,0.00000000,0.00000000,0.016666667,0.00000000,0.00000000,0.23333333,0.00000000,0.21666667, -3.7774930,50.28395
Pitlochry,0.10000000,0.00000000,0.00000000,0.083333333,0.01666667,0.00000000,0.06666667,0.00000000,0.73333333, -3.7297110,56.70436
Colwyn Bay,0.13333333,0.00000000,0.00000000,0.000000000,0.00000000,0.00000000,0.76666667,0.00000000,0.10000000, -3.7276400,53.29318
Totnes,0.56666667,0.00000000,0.00000000,0.016666667,0.00000000,0.00000000,0.26666667,0.00000000,0.15000000, -3.6857970,50.43374
Grantown-on-Spey,0.06666667,0.00000000,0.00000000,0.050000000,0.00000000,0.00000000,0.13333333,0.00000000,0.75000000, -3.6096280,57.33041
Dumfries,0.15000000,0.00000000,0.03333333,0.100000000,0.03333333,0.00000000,0.11666667,0.00000000,0.56666667, -3.6051200,55.07086
Whitehaven,0.06896552,0.00000000,0.03448276,0.000000000,0.03448276,0.00000000,0.63793103,0.00000000,0.22413793, -3.5892330,54.54970
Dartmouth,0.56666667,0.00000000,0.00000000,0.016666667,0.00000000,0.00000000,0.26666667,0.00000000,0.15000000, -3.5788070,50.35252
Bridgend,0.42500000,0.00000000,0.00000000,0.041666667,0.00000000,0.00000000,0.29166667,0.00000000,0.24166667, -3.5769450,51.50429
Paignton,0.56666667,0.00000000,0.00000000,0.016666667,0.00000000,0.00000000,0.26666667,0.00000000,0.15000000, -3.5642350,50.43508
Workington,0.05084746,0.00000000,0.03389831,0.016949153,0.03389831,0.00000000,0.61016949,0.00000000,0.25423729, -3.5427520,54.64357
Llanidloes,0.34166667,0.00000000,0.00000000,0.008333333,0.00000000,0.00000000,0.47500000,0.00000000,0.17500000, -3.5401950,52.44779
Exeter,0.60000000,0.00000000,0.00000000,0.000000000,0.00000000,0.00000000,0.26666667,0.00000000,0.13333333, -3.5338990,50.71841
Torquay,0.56666667,0.00000000,0.00000000,0.016666667,0.00000000,0.00000000,0.26666667,0.00000000,0.15000000, -3.5253150,50.46192
Thurso,0.06666667,0.00000000,0.00000000,0.133333333,0.00000000,0.00000000,0.13333333,0.00000000,0.66666667, -3.5220800,58.59357
Livingston,0.10000000,0.00000000,0.00000000,0.100000000,0.00000000,0.00000000,0.10000000,0.00000000,0.70000000, -3.5180680,55.90071
Rhyl,0.13333333,0.00000000,0.00000000,0.000000000,0.00000000,0.00000000,0.80000000,0.00000000,0.06666667, -3.4916340,53.31914
Tiverton,0.58333333,0.00000000,0.00000000,0.000000000,0.00000000,0.00000000,0.28333333,0.00000000,0.13333333, -3.4912070,50.90205
Tiverton,0.58333333,0.00000000,0.00000000,0.000000000,0.00000000,0.00000000,0.28333333,0.00000000,0.13333333, -3.4912070,50.90205
Minehead,0.59166667,0.00000000,0.00000000,0.041666667,0.00000000,0.00000000,0.22500000,0.00000000,0.14166667, -3.4811520,51.20428
