,placename,daps,guddies,gutties,gym-shoes,plimsolls,pumps,sand-shoes,sannies,plimmies,dappers,runners,rubbers,sandies,gym-shoes.1,gymmies,longitude,latitude
67,Inverness,0.03636363598677686,0.01,0.8611111111709105,0.5370370436008229,0.01,0.22025316770645728,0.6000000035999999,0.2590277949113863,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-4.224721,57.47776999999999
68,Wick,0.03636363598677686,0.01,0.8611111111709105,0.5370370436008229,0.01,0.22025316770645728,0.6000000035999999,0.2590277949113863,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.093716,58.43894
69,John o' Groats,0.03636363598677686,0.01,0.8611111111709105,0.5370370436008229,0.01,0.22025316770645728,0.6000000035999999,0.2590277949113863,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.0688997,58.63734
70,Dalwhinnie,0.045454545801652896,0.01,0.9866898141657422,0.5370370436008229,0.01,0.15822784413074828,0.3750000033750001,0.3237847144986074,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-4.242783,56.9366
71,Minehead,0.7647610120855415,0.01,0.01,0.0996563725582282,0.029639176191365982,0.2134934112473384,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.481152,51.20428
72,Cardiff,0.8268273509720628,0.01,0.01,0.0557156695666559,0.03314120986095101,0.16652683147672245,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.17909,51.48158
73,Newport,0.8173374607936954,0.01,0.01,0.05985551620112376,0.035603716363003086,0.17372732211327965,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-2.997664,51.58415
74,Swansea,0.8722413444100942,0.01,0.01,0.0430586518873216,0.07683741489736451,0.11431873676674364,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.943646,51.62144
75,Milford Haven,0.8990595607639783,0.01,0.01,0.06666668170370357,0.07931034423275862,0.07970318738212817,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-5.0426971,51.71431
76,Tenby,0.8990595607639783,0.01,0.01,0.06666668170370357,0.07931034423275862,0.07970318738212817,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-4.703579,51.67274000000001
77,Pembroke,0.8990595607639783,0.01,0.01,0.06666668170370357,0.07931034423275862,0.07970318738212817,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-4.9086370000000015,51.67404000000001
78,Llanelli,0.9198606269382326,0.01,0.01,0.01,0.0801393715667828,0.08119789826896094,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-4.160248,51.68089000000001
79,Bridgend,0.8582507538697269,0.01,0.01,0.04581358742144987,0.0817535537347946,0.1256824056332569,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.576945,51.50429000000001
80,Aberaeron,1.0,0.01,0.01,0.01,0.0912698420760582,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-4.2581619,52.24279
81,Carmarthen,0.9740259738276268,0.01,0.01,0.01,0.0912698420760582,0.02531645165838807,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-4.312131,51.85762
82,Lampeter,1.0,0.01,0.01,0.01,0.0912698420760582,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-4.078509,52.1129
83,Haverfordwest,0.948051947655254,0.01,0.01,0.07671956384773672,0.0912698420760582,0.02531645165838807,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-4.971319,51.80048
84,Cardigan,0.9740259738276268,0.01,0.01,0.01,0.0912698420760582,0.02531645165838807,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-4.660864,52.0837
85,Fishguard,0.9740259738276268,0.01,0.01,0.01,0.0912698420760582,0.02531645165838807,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-4.975989,51.99393
86,Llandeilo,0.9740259738276268,0.01,0.01,0.01,0.0912698420760582,0.02531645165838807,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.99143,51.88469
87,Tregaron,0.9904306218216616,0.01,0.01,0.01,0.10087719125073097,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.934385,52.22
88,Tregaron,0.9904306218216616,0.01,0.01,0.01,0.10087719125073097,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.934385,52.22
89,Aberystwyth,0.9617224872866464,0.01,0.01,0.01,0.10087719125073097,0.03464356710614863,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-4.08292,52.4153
90,Taunton,0.6752241957544639,0.01,0.02498388166840166,0.22437138714377808,0.11121857009268213,0.22464070036690664,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.106849,51.01534
91,Motherwell,0.01584855817605507,0.01,0.8757062147135908,0.2340597392906465,0.11138014509281677,0.1915897838944758,0.17433414017433413,0.8467009995040267,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.9810968,55.78321
92,Bridgwater,0.7065139579249041,0.01,0.01,0.26640421237241163,0.1131889762609908,0.19206618085674235,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.003632,51.12789
93,Stornoway,0.01,0.01,0.7673267336643976,0.2392739392500916,0.11386138509488447,0.2288507378373928,0.3118811853118812,0.8944152379827461,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-6.3848692000000025,58.20943000000001
94,Airdrie,0.0164458658122015,0.01,0.860029312351391,0.2428810558887029,0.11557789042964822,0.20119585377275734,0.04522613404522613,0.8786118105400865,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.962566,55.86626999999999
95,Falkirk,0.01,0.01,0.9087102183269936,0.2914572799553323,0.11557789042964822,0.17715157679855772,0.04522613404522613,0.8786118105400865,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.7839131,56.00188000000001
96,Fortuneswell,0.19935394574568946,0.01,0.0655668363239977,0.49069372285016,0.11675126993062605,0.5790014737108868,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-2.442219,50.55919
97,Weymouth,0.19935394574568946,0.01,0.0655668363239977,0.49069372285016,0.11675126993062605,0.5790014737108868,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-2.457621,50.61443
98,Blandford Forum,0.16783216793897013,0.01,0.01,0.4957264794776829,0.11794871893162392,0.6401168433620845,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-2.165353,50.85691
99,Girvan,0.01686972872113828,0.01,0.8821950163112635,0.14948452661512035,0.11855670093213055,0.1751272299620897,0.2319587642319588,0.9613402201049724,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-4.8542179,55.24016
100,Oban,0.01,0.01,0.9487757722186648,0.14948452661512035,0.11855670093213055,0.1751272299620897,0.0927835020927835,0.9613402201049724,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-5.471047,56.41516
101,Glasgow,0.01686972872113828,0.01,0.8821950163112635,0.19931271289423444,0.11855670093213055,0.1751272299620897,0.0927835020927835,0.9613402201049724,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-4.251806,55.86424
102,Islay,0.01,0.01,0.9058441563823504,0.15064935993939388,0.11948051893290045,0.17698504414024555,0.23376623423376625,0.9688311869967536,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-6.177067,55.73625
103,Kilmarnock,0.017001181084726844,0.01,0.8722943719355759,0.15064935993939388,0.11948051893290045,0.17698504414024555,0.23376623423376625,0.9688311869967536,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-4.498792,55.61472
104,Cumnock,0.017001181084726844,0.01,0.9058441563823504,0.15064935993939388,0.11948051893290045,0.17698504414024555,0.23376623423376625,0.9082792208107584,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-4.265828900000002,55.45355
105,Irvine,0.017001181084726844,0.01,0.8722943719355759,0.15064935993939388,0.11948051893290045,0.17698504414024555,0.23376623423376625,0.9688311869967536,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-4.6696364,55.61156999999999
106,Rothesay,0.017001181084726844,0.01,0.8722943719355759,0.15064935993939388,0.11948051893290045,0.17698504414024555,0.23376623423376625,0.9688311869967536,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-5.055793,55.83596
107,Ayr,0.017001181084726844,0.01,0.8722943719355759,0.15064935993939388,0.11948051893290045,0.17698504414024555,0.23376623423376625,0.9688311869967536,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-4.629179,55.45856
108,Greenock,0.01,0.01,0.8960514824233371,0.15183246326352529,0.12041884993368235,0.17887202439436556,0.2356020902356021,0.9764398043071012,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-4.7719830000000005,55.956480000000006
109,Dunoon,0.01,0.01,0.8960514824233371,0.15183246326352529,0.12041884993368235,0.17887202439436556,0.2356020902356021,0.9764398043071012,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-4.926214,55.95097
110,Stranraer,0.017134697448314657,0.01,0.8960514824233371,0.15183246326352529,0.12041884993368235,0.21227383757583485,0.2356020902356021,0.7933573361427487,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-5.0240550000000015,54.90337
111,Campbeltown,0.017134697448314657,0.01,0.8960514824233371,0.15183246326352529,0.12041884993368235,0.16217111248717522,0.2356020902356021,0.9764398043071012,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-5.6053739999999985,55.42412
112,Weston-super-Mare,0.7265087855539968,0.01,0.01,0.24369747032679745,0.12079831926733192,0.17795979502681505,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-2.977255,51.34741
